Dataset,Global-LIME-ITEA,Global-LIME-KR,Global-LIME-RF,Global-LIME-XGB,Global-PE-ITEA,Global-PE_adj-ITEA,Global-SHAP-ITEA,Global-SHAP-KR,Global-SHAP-RF,Global-SHAP-XGB,Global-SHAP_adj-ITEA,Global-SHAP_adj-KR,Global-SHAP_adj-RF,Global-SHAP_adj-XGB,Local-LIME-ITEA,Local-LIME-KR,Local-LIME-RF,Local-LIME-XGB,Local-PE-ITEA,Local-PE_adj-ITEA,Local-SHAP-ITEA,Local-SHAP-KR,Local-SHAP-RF,Local-SHAP-XGB,Local-SHAP_adj-ITEA,Local-SHAP_adj-KR,Local-SHAP_adj-RF,Local-SHAP_adj-XGB,RMSE-test-ITEA,RMSE-test-KR,RMSE-test-RF,RMSE-test-XGB,RMSE-train-ITEA,RMSE-train-KR,RMSE-train-RF,RMSE-train-XGB,Tottime-train-ITEA,Tottime-train-KR,Tottime-train-RF,Tottime-train-XGB
I.10.7,0.5514618969966075,0.6119918447172444,0.4389605918048247,0.541794671800782,0.0,0.6991900075563631,0.5970482950873123,0.6245531736102755,0.41932995687978936,0.5792436262800807,0.1227477958523859,0.14445299120013638,0.059720386167939205,0.11440187353220953,0.5655285497188893,0.6156070066824566,0.43764076442489575,0.5345016796436358,0.00027216552697590865,0.7323031870810232,0.669171256601629,0.6378826927784157,0.43399584071922187,0.5998004625598213,0.15185789227354082,0.1447815885721671,0.09925701903402954,0.15757336834003485,0.001500229976738117,0.060332824570474175,0.14525456310645796,0.1040573436251673,0.00026656752988737145,0.060332824570474175,0.05271788851039375,0.1040573436251673,98.96692443688711,0.01709028085072835,0.4539847691853841,0.21330792903900148
I.11.19,0.46865023443749887,0.4880436188855017,0.9596247814526181,0.5005663288421579,0.33417496990100126,0.5691596222777621,0.27467592243294786,0.2610874693788784,0.871698576435366,0.36516603437769796,0.2902749096701349,0.14387494569938158,1.062950127504194,0.642226270420329,2.2699462331817357,2.249504334841071,2.351087588053395,2.336967409100868,1.3168188128368956,2.3391575352957097,2.028325374185003,2.005745983513541,2.213048047900353,2.1520797161844203,1.1705633031657299,0.5669884200246583,2.160567112505728,2.0916330399337526,1.6693061015673718,0.3365244436386222,4.905396017875183,3.459365887331747,0.4327351683665695,0.3365244436386222,1.8401938516301328,3.459365887331747,165.47431384722393,0.015382949511210125,0.388619867960612,0.20884425640106202
I.12.1,0.04566666666666649,0.04233333333333315,0.02699999999999984,0.07766666666666652,0.0,0.020000000000000018,0.06000000000000005,0.06000000000000005,0.04133333333333337,0.03033333333333336,0.029999999999999805,0.039999999999999813,0.01566666666666665,0.0046666666666666705,0.456,0.4656666666666668,0.46900000000000003,0.47400000000000003,0.0,0.56,0.4800000000000001,0.4800000000000001,0.4256666666666666,0.4499999999999999,0.10999999999999997,0.10999999999999997,0.23099999999999998,0.23666666666666672,8.367281836914826e-16,0.07921077309218912,0.6461547142303667,0.5970987411456125,2.2369272070029525e-15,0.07921077309218912,0.3083765660162363,0.5970987411456125,66.61833770275116,0.020985611279805503,0.4803824822107951,0.1888142983118693
I.12.11,1.0386763636116552,1.1734784465612285,0.7063468541562038,0.9810597493144793,0.4349115742999112,0.9733322532578546,0.6447841467208583,0.6543699259593153,0.5717477967017159,0.5812429693385582,0.6561174741175221,0.7129375849259176,0.5450250294078115,0.5638360560979284,1.753823647259997,1.7396332376578696,1.6460445896982707,1.6902329253657677,1.083392916135729,1.8207915128551104,1.492130591100878,1.4647124383716283,1.435077049836565,1.495504275739762,1.2964562710223348,1.214090410241657,1.3504401536931132,1.36649344362487,7.1434145438653935,6.055623497231882,9.38587354265176,8.92504417785812,2.445281963637769,6.055623497231882,3.9357011515876774,8.92504417785812,149.9881753842036,0.026274498303731283,0.4738599856694539,0.20123187700907388
I.12.2,0.24441532762617157,0.2896298995051216,0.2552835103576318,0.3418836598223431,0.00913992360525858,0.1927843247649011,0.2374490234697764,0.142653426176871,0.1773502877341912,0.20404011360837845,0.17849794373134392,0.15795568998931322,0.21246457582597988,0.270751811079826,1.1935787568135057,1.2388289644311068,1.2725392847257522,1.3091700894486744,0.013621562073830541,1.1153629208689801,1.1769381691770822,1.0949212349593682,1.1117015226360962,1.1747471858286915,1.1894954841691048,1.0502997286251055,1.15035815228284,1.2123236037679088,0.0004544841747484259,0.021739905296658514,0.029068107597342165,0.02775596839250801,6.0036176944987985e-05,0.021739905296658514,0.013157540117830888,0.02775596839250801,103.31994375387828,0.015930541356404624,0.2190200646718343,0.13155844211578369
I.12.4,0.10126272113282962,0.15445710363997292,0.22763723744014172,0.27061677558267777,0.0,0.15577761927397224,0.06480740698407857,0.11775681155103794,0.19098358372015417,0.20842704136659893,0.15769168230019825,0.05099019513592772,0.39104744913381567,0.3819083971098907,0.7167791089566797,0.7969424120000714,0.6949993992644342,0.7014622783158381,0.0,0.7453357170388178,0.7877621239100108,0.8231960013119605,0.7171162734277111,0.7500778101599143,0.8608159616317264,0.8777040278619567,0.7447569259234182,0.7670203907905168,6.749696249161826e-18,0.015616396531512257,0.008802236353002734,0.010636834137417766,5.157019913743183e-18,0.015616396531512257,0.003191195337240044,0.010636834137417766,72.98994283676147,0.011657142639160156,0.34211538632710775,0.18558518091837564
I.12.5,0.16466666666666666,0.17299999999999993,0.2026666666666666,0.21999999999999992,0.0,0.030000000000000027,0.050000000000000044,0.040000000000000036,0.07600000000000007,0.10300000000000008,0.0,0.0,0.14966666666666661,0.09033333333333338,0.442,0.4340000000000001,0.4976666666666667,0.5143333333333334,0.0,0.545,0.4350000000000001,0.4350000000000001,0.4316666666666667,0.36800000000000005,0.015000000000000003,0.08499999999999999,0.1886666666666666,0.20500000000000002,1.9715760473480456e-15,0.08600748823654994,0.8518050072791091,0.839828754325678,2.480547330877581e-15,0.08600748823654994,0.32493232078535106,0.839828754325678,68.15371890068054,0.014006932576497396,0.45469791094462075,0.2088199536005656
I.13.12,0.2393501342063272,0.21568232423008035,0.3483674216024159,0.30486103724855057,0.10518957494465675,0.49165789584734026,0.18552124738675096,0.18708286933869703,0.2767680464672571,0.21313205665143803,0.22571786528969226,0.19565275362232956,0.2575412620446548,0.12031169227078974,1.4389725433388911,1.4731513629918125,1.411759240419575,1.5743519358067688,0.517553798584951,1.3712359816568265,1.3154330154519447,1.2952455010934356,1.3472373801003836,1.4490594205811882,1.2588347302279552,1.267644704671267,1.3577550702549703,1.4641144706221925,1.5719630691029678,1.9178695202341358,4.118412855740325,4.103247617250212,0.21615382025337151,1.9178695202341358,1.4213299439198972,4.103247617250212,156.39751386642456,0.017165374755859376,0.3419325908025106,0.19502752621968586
I.13.4,0.1703991087239977,0.17186648147770464,0.417205172558997,0.23775324639639217,0.030446526550659155,0.1927030090719873,0.1799339043691228,0.17073371078963878,0.36049465209842935,0.21410208970374503,0.13147625051406842,0.12942179105544774,0.3080616317783237,0.15196732144331238,1.2391164776336312,1.2329446748349084,1.0384353559675263,1.2107818002601511,0.15742626294033973,1.286610825302392,1.2479039687586817,1.244776490125113,1.0642294066615425,1.1482162645428968,0.9957651073768067,1.0035578381335195,1.2029156478787906,1.0914336089192334,0.7283311180651335,0.29426773665300765,9.994440517889592,6.039532729214646,0.26397040880643535,0.29426773665300765,3.8696909072879135,6.039532729214646,144.8260397752126,0.023891329765319824,0.3060755809148153,0.19991360505421957
I.14.3,0.20467584208084943,0.20528314175470128,0.1647896783220852,0.10447945417114106,0.0,0.10984838035522722,0.08041558721209881,0.0725718035235909,0.09434772102137937,0.04496735852114591,0.0748331477354789,0.05887840577551902,0.06725166972314171,0.09016835864423486,0.9220332871488742,0.9232730382126078,1.0390263386822292,0.9989364759550964,0.0,0.9844348015525779,0.832660683511168,0.8266835136967142,0.814891761835065,0.8146272621823746,0.2350446851674626,0.25137461678601714,0.6736916199926821,0.6976624327171914,4.576695762288395e-15,0.13740525931894162,4.798255057068981,4.761008445546689,9.148639034788854e-15,0.13740525931894162,2.156911426090345,4.761008445546689,74.05563519795736,0.018451627095540366,0.4929084857304891,0.18145074049631754
