Y,sigma,mu_S
3.0642065655643296,1.8384753515795889,0.5397627574710351
2.7455686089331226,1.2339730164866327,0.614503529960061
3.818057579894416,3.289329429538524,0.4450646240413842
3.0167638443714067,3.71286586540381,0.3200561962220118
2.8218155525038155,4.625380082537516,0.25081110174789656
1.762962817417951,1.4234989303522485,0.3637226316336169
1.2244270389907754,4.779568322643012,0.10592720516805323
2.3622019239299332,4.636107163610187,0.20955970631481335
4.768015149763051,3.6950478456946434,0.5077706667180526
2.7995617781377606,1.2450248511158477,0.6235035163967764
2.242694311254605,1.1886291943406966,0.5123513651955545
2.28017277777494,3.5073151330751635,0.2529413531619729
2.3090066972008083,2.9723963169183576,0.2906314618416589
3.8821504040941694,2.5019074148262073,0.5542908398517489
1.5493792651184517,1.3837756754672794,0.3249842846086461
1.4142388342995162,3.758488449155244,0.1486016882683177
1.4120122740111,1.375939674239243,0.2971481745350321
3.942817971935346,4.019063439912725,0.3927842334668624
4.529264945990343,1.5308316987305493,0.8948174918668432
4.772353461766682,4.192134997682616,0.4595752483223864
4.2159870925521865,4.053377765142804,0.4171454508737926
2.6982498283064107,1.1917446997238246,0.6155483867820941
1.864542738847342,2.3983599202109365,0.2743297918149308
2.5057084141553414,4.35927259566186,0.23377318184781484
3.728796037168845,1.353288072829537,0.7922523553789635
4.797460024276244,4.916881859013687,0.4054044122047044
4.461923776465877,3.8818981066702665,0.4569865735593121
3.1238740950380217,4.5055444790525305,0.28370255720607873
4.334296288534682,2.529872287660415,0.6139451990496
3.269962667383464,1.0574184487116862,0.7946761314964994
1.5023993635135335,2.300087426801108,0.22763023659798354
3.7408031458431985,2.5531832031494672,0.5264016702723671
3.613200937428246,1.6342989097757954,0.6857993457044259
2.084718474454843,2.7420976268680057,0.2785494503786735
1.399368789289387,1.7297123663750718,0.25632165618014946
3.467134754698473,3.913646960670054,0.3528066609638632
4.058091337188136,4.7414743499797,0.35340150367496503
4.74563030188985,1.5339772084227516,0.9363995631286124
3.948223426395266,1.7277171637390447,0.7237230235746291
3.7118607267547183,3.3203511596581348,0.4295785909042211
1.7457505782011005,3.8481514753388084,0.18004290780529916
3.2493394544106913,4.781329797609231,0.2810200739416734
1.6915147186144095,3.5202281853569666,0.1871050143103372
2.1562048698475804,1.7211126531447638,0.3961991186501733
4.8068964468113675,3.9865967271867584,0.481981671046741
4.5482829484783736,1.1829594618902657,1.0417699063774486
2.714578046876148,2.689314503645684,0.3678973484360948
2.748705636102914,4.352458472008918,0.25677038415874465
2.5969351033558965,1.8516204743509617,0.4553437469526809
1.1665105237586766,4.046534099680892,0.11557541281970515
1.8998551669513777,3.9321541189583176,0.19259892545213406
4.581022541228852,1.2225792275191751,1.0305645091316165
1.9346565870609356,4.064220499680495,0.1910122779194739
1.30942999996895,1.5279578573159391,0.2589896813705665
1.0187855682496243,2.5160517904506183,0.14487635975906046
1.0824860278188138,3.812220307963577,0.11247261747632846
1.9874179291424945,1.3661468246873754,0.4199692741816814
4.631179177877491,4.42985198082769,0.4264553798362976
3.079344419042787,4.692474465835224,0.27047503133516226
4.110726318502098,1.354175416026583,0.8730713715123768
4.683255357485212,1.2016449769286672,1.0635809602732669
4.423922815000606,4.561529066887248,0.39772540625024977
3.9898973044900172,4.854631497627054,0.3407470910942188
1.3421189466487211,1.7690958936905803,0.24233883516037785
2.2030205433251577,3.608433417533549,0.2390205459997969
4.264644816604381,2.0083660574137125,0.7087975225113877
3.1705402814604104,3.031346099549582,0.3932359320146999
4.666156414907318,3.715453706051569,0.4947727944947286
3.246491848513706,4.377290597831252,0.3018705972319097
3.821796163816237,2.4036448162173576,0.5614269952032762
1.4369592237518476,4.6236436453466885,0.12776051563481144
2.139745801132432,4.204185087619518,0.2055793332776321
4.265846931536053,1.7906571885927844,0.7643086633810345
1.0480170833466889,2.8574162124483453,0.13584443907875587
3.744247196895009,3.6832800016839777,0.3997462457453623
1.422926644213471,3.7548977556071454,0.14962747017383338
1.4932890577317846,1.265519265960274,0.32956882781105634
4.378672935483412,1.1177620513995818,1.0337971946823874
2.824864782668852,4.188242110619118,0.2722371780691397
2.079665453646473,2.5172422771879828,0.2956386409794259
3.830703281979034,4.579784775623819,0.34326622226667897
1.634692370349086,2.296253149281945,0.24796220076500905
4.977821695163887,1.7630648413629049,0.900779022744275
1.2904262716163153,3.959957685801088,0.13008440327126472
2.0358675792296825,2.554397615592007,0.2863871462071353
3.0999994577851897,2.1644058363546987,0.4898233061907598
4.220940379817228,2.758236187548352,0.5615586899250625
4.147618398417179,4.424686380571316,0.3822910770724003
1.6963384825477452,3.840065483069496,0.17523920786624908
4.449975309322227,2.857395064530376,0.576810935213865
1.2408755414458557,1.5620347479459724,0.24216602496134895
1.426398796811124,1.6685703576176023,0.2672589824621597
4.9296722041365895,2.5671757093329446,0.6909769248594752
2.457499609315935,1.808071561999364,0.4375778100836897
1.6188346427550075,4.59088817275805,0.1447743715070961
2.2675824045185933,4.219242773723593,0.21723289209066807
1.3785337613658228,3.075498110419141,0.16912457373511686
1.161154081009995,2.9218580320217002,0.14803622052726695
2.489739728579356,1.5309896407420966,0.4918510310159455
4.9205400480473855,2.5253457054082205,0.6978805001306401
