q,v,B,p,omega
2.300487430221524,4.354027662888167,4.576530104177792,1.1587635374934435,39.559660073687404
4.071468137744667,1.8604794695596383,3.8236280749494886,3.876145584653428,7.472251549022723
4.948773697554583,3.5329086218548507,3.0125878830258426,1.9533272179128107,26.964645955116385
1.0402491448452906,4.925353166334267,4.585824965894028,1.8336360796450808,12.813833379562311
1.8285796910373169,3.0578780648385906,4.7571711027127455,3.5006267707691188,7.598660095683884
1.860283988848616,4.746321271735965,1.6219805455908762,1.2485038758066476,11.470758219803653
4.324697138494745,3.600017520589395,3.1856184689085567,3.5597611736965957,13.932633464659286
1.0582455087489389,2.0054279538367976,4.847572082666517,2.632680237169745,3.907686015510986
1.823455541304792,2.041119379492824,1.903683152627284,2.2688449442587855,3.1228666155411564
3.5427838735609294,1.0853929493727632,1.119537028133148,3.3053359510416875,1.302430356917021
4.8795044842013136,3.1457175825308568,2.2107936476271344,1.5957567097418597,21.26556765309613
4.590236502938503,3.510570490542257,3.5810618471021405,2.149106848012815,26.851377712692013
3.7410146271841063,4.980225825163638,3.320379650415163,1.7013309318752732,36.36113137752872
1.3447703835045672,2.2560176486962704,1.939469290930224,2.5319582350762477,2.323897659054673
1.9259473087505368,4.432900969272484,2.127322626277662,3.9714598254672726,4.573151786291554
2.8830646828505517,1.9343916130077607,3.333704821237613,4.552976954865666,4.083480421205971
4.922092254239205,3.4146589913510725,3.2758029974102114,4.485338938182358,12.27494621349352
3.1242106228533184,1.6817838863720498,4.0870419036882915,3.7768969351436823,5.6857066448749185
2.8350409319081256,3.9144394981462582,2.0249816944964696,3.673859003195017,6.1168458408129585
2.9031074620267154,4.591364359878955,4.620016983263235,3.983445743987076,15.459289728240922
4.301305937305531,3.0936409479798623,2.4979602775333642,2.528055518370482,13.148286592166611
3.381098332826609,4.412134454948112,2.5296568718440593,3.776892640182993,9.991564970271329
4.0540094271230185,4.147557757021469,4.822339821771432,4.945695819949623,16.39485597593543
1.9639645368434069,2.426162227862637,3.2353105765836228,2.082691321161369,7.401922758554899
4.759356175050126,2.182364306824145,3.1382547561304226,4.017813947887828,8.112857183652276
2.9184745616080026,2.885304125603644,1.0988275678946122,1.3039131160745083,7.096241739489825
2.7621106191065605,1.4539279145630184,2.7493489904292554,2.8525616138642023,3.8706043418303904
2.730587626469556,4.367287123464637,3.094898082588005,4.078508646299508,9.04925502627123
1.3396578154333063,1.0811944350876508,4.992478756439799,3.915408155647361,1.8468723025150058
3.255914717440385,4.5767574312544745,4.598500106973573,3.977535554046345,17.227927948498696
4.0015432698992655,4.6268866182150425,1.023927986555623,4.95352162554704,3.827116872112924
1.2755901242276333,2.6448240469192,1.3348222798939369,3.8127368106176034,1.1811214391342597
1.1043989147203492,2.6776551977521907,3.8431933865171866,3.0484694317122325,3.728129736593434
2.345839045071741,1.0525594860779175,1.1546295850805786,2.944337366148538,0.9682777913427566
4.694643089397532,1.4320582283773402,4.07948874307284,2.8108574248951816,9.757311708062444
2.468723363276508,2.739866952745996,3.3291629842214343,1.9374819176957685,11.622493191593636
3.211483297233194,1.5522339003846801,3.8515441407932087,1.0608514457638374,18.09852318953196
1.3604668763639176,2.2548326470855766,2.889757478455563,3.9607949469610166,2.238109463818121
2.8953019168263623,3.3645032551622167,4.014604131066548,1.311473839077416,29.81933170272079
1.5140198063727803,1.97212821033001,4.3965873730349125,2.307600190461742,5.688815439178018
1.07592139295109,3.8130067362730737,3.054743455055837,1.9382873215678182,6.4655385177848945
3.2598325876166734,4.530315323407291,1.9792642377147158,1.4765408414352872,19.79620952399869
2.4867154214002367,4.204876411370892,1.7337805337424361,4.6450825105178914,3.9028334009148504
4.272443093612734,3.236487561801478,1.7343465791598076,3.3368216527522883,7.187090644261924
2.43862660538625,2.2829737110150865,4.231529575221517,1.4403210838435143,16.356270364368523
3.5656337112019743,1.859695581979838,2.5076544324148387,3.2988656162823737,5.040593213884908
