mom,H,kb,T,alpha,epsilon,c,M,f
1.27,1.11,2.45,1.73,1.95,1.8900000000000001,1.45,2.73,0.7340066621247552
2.49,2.15,1.81,1.87,2.25,2.95,2.21,2.79,1.9021994592669322
1.67,1.4100000000000001,2.87,2.33,2.9299999999999997,2.55,2.55,1.99,0.4399427775263305
2.83,2.4699999999999998,1.01,1.23,1.71,1.85,2.99,1.19,5.907018662981732
2.45,2.35,2.83,2.6100000000000003,1.03,1.47,2.67,2.9699999999999998,0.8763098542340205
1.69,1.75,2.19,2.91,2.69,1.97,1.99,2.51,0.6935852912103737
1.77,1.05,2.99,2.27,1.49,1.4100000000000001,2.33,1.21,0.3352412261636406
2.73,1.99,2.51,1.65,2.19,1.01,2.87,2.31,1.7126155788040651
2.89,1.51,2.41,1.81,2.0700000000000003,2.91,1.85,1.81,1.249650899076651
1.81,2.67,1.09,1.9300000000000002,2.83,2.19,2.5300000000000002,2.89,2.799226839172591
1.07,1.25,2.21,1.07,2.73,1.51,2.6100000000000003,1.07,0.6941088067379093
1.33,1.65,1.21,1.63,1.8900000000000001,2.21,1.65,2.4299999999999997,1.6273987619597583
1.29,2.55,2.01,2.45,2.05,2.9299999999999997,1.63,1.45,0.7680111468025909
2.27,2.79,2.63,1.11,2.71,1.6099999999999999,2.29,1.55,2.5563161610245944
1.9100000000000001,1.33,1.07,1.9100000000000001,1.83,2.15,2.75,1.35,1.3849935605087647
2.91,2.75,1.05,1.49,2.4299999999999997,2.27,2.4699999999999998,1.23,5.516482009133187
2.59,1.9100000000000001,1.75,2.51,2.67,2.63,1.19,2.77,2.2971408795433277
1.51,2.23,1.87,1.47,1.67,2.1100000000000003,2.6500000000000004,2.35,1.3704510347985381
2.85,2.19,2.6500000000000004,2.6500000000000004,2.85,2.5700000000000003,2.25,2.6100000000000003,1.1208140039035173
2.37,2.13,1.25,2.55,1.43,1.15,1.43,1.09,2.076540425303597
1.55,2.81,1.15,1.17,1.51,1.29,2.13,2.17,3.882051009303506
2.05,2.9299999999999997,1.29,2.13,2.5300000000000002,1.87,2.01,2.4699999999999998,2.8031282402448787
2.4299999999999997,1.5899999999999999,1.11,1.99,2.0300000000000002,1.3900000000000001,1.29,1.85,3.5352429087656647
1.37,1.29,1.17,2.5700000000000003,1.69,2.4299999999999997,1.07,2.9299999999999997,1.3986757720046268
1.57,1.15,2.39,1.75,2.87,2.45,1.11,2.75,1.4131252605364493
1.65,1.01,1.63,1.19,1.81,1.9300000000000002,2.0700000000000003,2.67,1.3562505604026274
2.33,1.47,1.13,2.81,1.87,1.43,2.35,2.49,1.5113233594315438
1.71,1.3900000000000001,2.0700000000000003,1.37,1.33,2.25,1.57,1.75,1.0912005373526756
1.35,1.23,1.97,2.73,2.29,1.5899999999999999,2.73,2.25,0.4178963151514201
1.95,2.85,2.59,1.05,2.23,1.37,1.31,1.53,3.084161875613976
2.35,2.83,1.6099999999999999,1.79,1.13,1.13,2.63,2.63,2.6177300120313003
2.01,1.07,1.69,2.77,2.75,2.85,2.95,2.09,0.5589228833371411
2.5700000000000003,1.55,2.95,1.15,2.6500000000000004,1.09,2.37,1.25,1.5840776530118337
1.49,2.73,1.73,1.85,2.59,2.81,2.5700000000000003,2.21,1.4145356657203847
1.99,2.9699999999999998,2.85,2.9699999999999998,2.21,1.65,1.4100000000000001,1.43,0.9247402435140235
1.31,2.4299999999999997,1.8900000000000001,1.53,1.73,1.03,1.17,1.6099999999999999,1.9957539021835902
1.15,2.51,2.1100000000000003,2.35,2.95,2.5300000000000002,1.71,2.69,0.8309080345524844
2.55,1.73,2.05,1.55,2.63,2.37,1.79,1.77,1.8803149857571282
2.25,2.39,1.45,1.35,1.15,1.79,1.6099999999999999,2.0700000000000003,3.3368441192697462
2.95,2.99,1.3900000000000001,2.71,1.97,1.63,2.9699999999999998,1.73,2.527211288137955
1.75,1.8900000000000001,2.75,2.9299999999999997,1.9100000000000001,2.0300000000000002,1.33,1.13,0.5410291127548631
1.25,2.87,2.55,2.19,1.9300000000000002,1.19,2.77,1.31,0.7043825449162483
2.0300000000000002,1.13,2.15,2.0300000000000002,2.9699999999999998,2.69,1.47,1.5899999999999999,0.9034389974754402
1.47,2.45,1.9300000000000002,1.45,2.89,1.69,2.09,2.81,1.8647918158119023
1.13,1.45,1.5899999999999999,2.15,2.45,1.99,1.5899999999999999,1.65,0.7449144859980628
2.15,2.41,2.6100000000000003,2.39,1.07,1.49,1.87,2.99,1.0422821814381749
1.23,2.25,2.67,2.29,1.17,2.4699999999999998,1.97,2.59,0.5162212194975893
1.9300000000000002,1.53,2.4699999999999998,2.25,1.19,2.39,1.73,2.1100000000000003,0.6532398052769305
1.8900000000000001,2.09,2.4299999999999997,2.95,2.77,1.77,2.49,1.11,0.6249051356864063
2.29,1.95,1.4100000000000001,1.4100000000000001,2.79,1.53,2.45,1.9100000000000001,2.9144755773417965
2.79,1.83,1.53,1.69,2.81,1.23,1.01,2.29,7.508347086221492
2.99,2.1100000000000003,1.67,2.37,1.53,1.05,1.09,1.47,2.955988491693864
1.3900000000000001,1.19,1.85,1.67,1.79,2.51,1.3900000000000001,1.57,0.796115046033839
2.4699999999999998,2.0300000000000002,2.81,1.3900000000000001,2.13,2.17,2.51,2.39,1.519200356468095
1.87,1.57,1.79,1.27,2.35,1.31,1.03,2.27,4.4488939912493635
1.83,1.17,2.91,1.21,1.45,1.83,2.27,2.37,0.7974797688475628
2.5300000000000002,1.87,1.51,1.33,2.01,2.83,2.15,1.37,2.6209562483592084
2.75,1.09,2.69,1.71,2.27,1.95,2.81,1.51,0.7847328945653627
1.53,2.71,1.31,2.4699999999999998,1.4100000000000001,2.71,1.51,1.63,1.4572989301953188
2.31,1.81,1.77,1.09,2.41,2.73,2.85,1.97,2.423514855266615
1.5899999999999999,1.63,2.33,2.5300000000000002,1.29,2.05,2.9299999999999997,1.3900000000000001,0.4671324491308745
1.03,1.43,2.71,1.51,2.37,2.33,1.13,2.5300000000000002,0.8672166292806569
1.19,1.03,2.9699999999999998,1.29,2.17,2.75,1.8900000000000001,2.0300000000000002,0.45920121386334867
2.09,2.6500000000000004,2.49,1.97,1.77,2.89,1.9100000000000001,1.05,1.2041915709239488
1.73,2.69,1.35,2.87,1.6099999999999999,1.35,1.37,1.9300000000000002,1.7486786530142293
2.6100000000000003,2.05,1.03,1.57,2.55,1.57,1.49,1.87,5.516772747186666
2.77,1.27,1.47,2.05,1.85,2.99,2.1100000000000003,2.85,1.5314536176483762
1.05,2.21,1.33,2.63,2.39,2.59,2.4299999999999997,2.41,0.7764516767216055
2.69,1.77,2.17,1.5899999999999999,1.05,2.01,2.91,1.33,1.4439337153866099
1.21,2.59,2.13,1.83,2.1100000000000003,1.9100000000000001,1.53,2.13,1.116030009969368
2.71,2.01,1.9100000000000001,2.1100000000000003,2.31,2.31,2.0300000000000002,2.6500000000000004,1.784025666106885
2.9699999999999998,2.29,1.99,1.43,1.57,1.71,2.69,1.83,2.632362763768001
1.85,2.37,2.35,2.67,1.21,1.45,1.15,2.71,1.2029584216300626
1.01,2.6100000000000003,1.71,2.89,1.5899999999999999,2.79,1.55,2.55,0.6570407080970684
2.51,1.6099999999999999,1.83,2.21,2.49,2.13,2.17,2.83,1.4352394644041944
1.45,2.89,1.55,1.25,1.47,2.67,2.41,1.95,2.301173969669372
2.6500000000000004,1.97,1.95,2.83,2.99,1.17,2.79,2.91,1.4047695287159916
2.67,1.49,2.31,2.31,1.27,1.75,1.9300000000000002,2.23,0.9629363290121749
1.4100000000000001,2.77,2.5700000000000003,1.31,1.99,1.81,1.23,2.33,1.8692421769306908
1.43,1.31,2.29,1.01,1.3900000000000001,2.41,2.83,1.67,0.8842923526527433
2.63,2.49,2.23,2.09,1.65,2.77,2.89,1.29,1.4570055525964558
2.81,2.95,2.79,2.23,2.5700000000000003,2.09,1.75,1.4100000000000001,1.5880507614192325
1.17,2.91,2.09,1.77,2.4699999999999998,2.35,1.83,2.01,1.1198846176701764
2.21,1.21,2.77,2.99,1.75,1.73,2.31,1.17,0.3820520043596511
2.19,2.27,2.89,2.49,2.51,1.11,1.21,2.5700000000000003,1.8988133867038814
1.63,2.63,1.27,2.69,1.01,1.67,1.67,1.71,1.4317663698001266
2.1100000000000003,2.0700000000000003,2.73,2.75,2.09,2.9699999999999998,1.27,2.45,0.8822028923849663
1.79,2.31,1.19,2.4299999999999997,1.37,2.29,2.59,1.27,1.5000315863088765
2.87,1.35,1.37,2.41,1.55,2.23,1.69,1.03,1.3913752011268683
1.09,2.5300000000000002,1.65,1.95,1.11,1.25,1.81,1.49,0.9939141559409562
2.0700000000000003,2.33,1.43,1.13,1.23,2.0700000000000003,1.35,2.19,3.899452126590771
2.23,1.69,2.5300000000000002,2.85,1.35,1.33,1.05,2.87,1.3398618392097512
2.41,2.5700000000000003,2.27,1.03,2.6100000000000003,1.21,1.77,1.79,3.919358461007985
1.6099999999999999,1.67,1.57,2.79,2.33,1.27,2.05,1.01,0.7758808972150998
2.39,1.37,1.23,2.0700000000000003,1.25,2.87,2.19,2.95,1.537474985849582
1.11,1.85,2.9299999999999997,2.59,1.09,1.07,2.39,2.05,0.32407539459805873
2.13,1.71,2.37,1.8900000000000001,2.91,2.6500000000000004,1.25,1.69,1.3779255670423567
2.17,1.79,1.49,1.6099999999999999,1.63,2.49,2.23,2.15,1.875214977023384
2.9299999999999997,2.17,2.0300000000000002,2.01,2.15,1.55,1.95,1.15,1.8594820633021003
1.97,1.9300000000000002,2.25,2.17,1.31,2.6100000000000003,2.71,1.8900000000000001,0.8308367472359393
