m,q,h,n,epsilon,E_n
1.22,1.42,4.0600000000000005,4.5,4.58,-8.855542475876601e-05
3.86,1.18,2.8600000000000003,1.42,4.78,-0.002482337331711143
1.06,3.22,1.82,4.220000000000001,3.8200000000000003,-0.016547979009573024
1.02,2.62,2.9,4.02,2.74,-0.00588797723831519
4.1,3.3,3.06,4.859999999999999,1.3399999999999999,-0.153046936556125
1.1,4.1,2.38,3.74,3.58,-0.03826264190176738
1.94,2.7,3.42,3.42,4.300000000000001,-0.005094780339144188
3.02,1.1400000000000001,4.9,4.74,4.54,-5.734239291051289e-05
2.66,1.54,4.18,2.1799999999999997,1.26,-0.01418625924323508
2.26,4.78,2.7,1.8599999999999999,3.62,-0.44623073596394575
3.1,3.14,1.3,3.7,2.34,-0.29735033462208527
1.9,1.02,2.98,1.5,3.94,-0.0008288134898787889
2.46,3.58,3.14,3.34,2.02,-0.11254397703671226
4.9,3.18,3.38,1.26,2.7800000000000002,-0.4468384023545231
1.5,4.62,2.8200000000000003,1.22,3.22,-0.6960485817630064
3.06,3.5,2.7800000000000002,3.98,2.46,-0.07747786892818931
4.98,2.5,3.94,4.98,3.3,-0.005799898342234405
2.94,1.62,1.1,2.7,4.62,-0.013443753841950684
3.54,4.220000000000001,2.66,1.1400000000000001,2.58,-2.2927182661144827
1.78,1.46,4.98,2.42,4.02,-0.0004307248364876767
1.18,4.34,4.82,3.9,3.1,-0.015410057533630313
4.859999999999999,1.3399999999999999,3.8200000000000003,1.58,3.66,-0.00401386170623634
1.8599999999999999,2.98,2.3,2.62,1.94,-0.1341610037908899
4.38,1.98,3.1,3.1,2.54,-0.014123120870859908
1.62,1.5,1.38,1.46,1.38,-0.13260747528515898
2.5,4.38,1.1400000000000001,3.06,2.9,-1.1238229901775925
1.3399999999999999,4.26,4.42,4.26,4.34,-0.008260569925720305
2.1,3.46,3.22,3.94,4.220000000000001,-0.013125160231035306
3.18,3.7,4.5,1.82,1.06,-0.988472280976946
1.3,1.82,2.06,2.02,4.74,-0.004582949315757885
4.42,1.8599999999999999,1.3399999999999999,1.94,4.9399999999999995,-0.04009748234055067
1.82,1.26,4.46,4.54,3.7,-0.00010215948859154715
2.2199999999999998,2.94,1.98,4.66,1.3,-0.144099804162526
4.0600000000000005,4.82,2.2199999999999998,2.94,4.26,-0.3543271178355174
3.2600000000000002,1.3,1.9,4.82,3.9,-0.0009123690194199186
3.3,4.02,3.5,1.06,1.02,-7.5228084285459556
2.62,2.1,3.74,4.38,3.38,-0.002077608231481985
4.54,2.7800000000000002,2.62,1.3399999999999999,1.42,-1.3638172567904576
2.7800000000000002,1.78,1.06,2.58,1.1400000000000001,-0.3589004253468
3.62,3.98,1.46,4.0600000000000005,4.7,-0.1462841852688169
3.98,3.9,4.300000000000001,2.5,1.5,-0.4426414364521361
4.62,3.66,1.42,1.6600000000000001,2.66,-2.6358469658640473
2.8200000000000003,2.1799999999999997,4.54,2.7800000000000002,3.7800000000000002,-0.003497842083155076
2.9,4.9,3.18,3.86,4.82,-0.05969932286851991
4.34,3.8200000000000003,1.02,1.18,1.82,-24.073878263481305
2.7,4.58,3.3,2.66,2.62,-0.28076434419845486
3.22,2.2199999999999998,1.58,2.8200000000000003,3.14,-0.04994661907298651
3.34,3.74,1.22,3.5,3.42,-0.3830318838502664
2.38,4.0600000000000005,4.78,3.38,2.26,-0.060629645969830635
2.02,3.02,2.14,2.2199999999999998,3.06,-0.09938316096273603
