q,v,r,I
3.02,2.98,2.54,0.5639097739566225
1.94,2.3,1.22,0.5820896361278991
1.18,4.859999999999999,1.26,0.7243823552725407
3.58,1.9,4.98,0.21738392026326744
4.220000000000001,4.38,2.2199999999999998,1.325115453213224
3.8200000000000003,2.58,4.1,0.38257742856987415
1.62,4.74,3.46,0.3532135771716896
4.1,2.8200000000000003,2.5,0.7360597808113976
4.46,4.98,2.42,1.4607266983576321
2.1799999999999997,4.62,3.14,0.5104920142816346
2.74,2.1,4.26,0.21497125411989812
1.5,4.82,4.859999999999999,0.23676753879720236
3.42,4.18,2.62,0.8684028261314881
2.62,2.54,2.7,0.3922756723288686
4.66,1.46,3.94,0.27482907888832975
1.9,1.02,1.94,0.15899086583097585
4.859999999999999,1.06,1.46,0.5615771265974027
1.1400000000000001,2.14,2.66,0.14596781923570973
4.26,1.1,3.38,0.22065090631024306
3.94,4.54,2.8600000000000003,0.9954195664512541
2.38,2.94,3.22,0.3458506111188229
2.1,1.1400000000000001,1.62,0.23519563812468983
3.5,3.5,4.46,0.43714081903043
2.8200000000000003,4.66,2.1,0.9959461610281978
2.06,4.9399999999999995,4.38,0.36977725179916976
2.9,3.94,3.18,0.571856723197483
2.14,1.3,1.8599999999999999,0.2380478772482005
1.26,3.98,4.66,0.17127257695648856
3.06,2.62,3.86,0.3305639921648558
1.82,1.94,3.7800000000000002,0.1486625061028741
2.42,1.3399999999999999,2.38,0.21685195355394882
1.7,1.38,4.5,0.08297277699857476
2.3,4.300000000000001,4.54,0.3467053716252963
2.26,3.3,3.8200000000000003,0.3107271114082082
4.38,4.5,4.74,0.6618025165276914
2.7800000000000002,1.54,4.58,0.14877164680459004
3.14,4.220000000000001,1.74,1.2120289194954523
1.58,3.8200000000000003,2.98,0.3223475082300146
1.74,3.9,2.26,0.4778873645228327
1.3,4.1,3.34,0.2539807924191025
4.0600000000000005,4.140000000000001,3.66,0.7309125534059603
2.66,2.34,2.74,0.36154891524861066
1.8599999999999999,2.74,4.02,0.20177046068993423
3.2600000000000002,1.62,1.5,0.5603527236379452
1.46,2.26,1.1,0.4774069547509252
4.98,1.58,2.58,0.4853855636528176
4.300000000000001,2.7800000000000002,2.9,0.6560476516277646
2.34,1.7,4.78,0.13245154050618402
1.38,1.42,3.42,0.09119299019967196
4.34,1.22,1.18,0.7141471124431927
2.58,3.22,3.98,0.3322099510628718
4.5,3.34,3.62,0.6608007720086152
3.46,3.58,1.6600000000000001,1.1876026801751138
4.140000000000001,3.7,4.7,0.5187096634641816
4.62,3.86,4.18,0.6790052466857389
3.1,1.26,1.06,0.5864709506763615
1.78,2.46,2.46,0.28329579870357374
4.78,4.0600000000000005,3.7,0.8347805809718365
3.3,1.8599999999999999,3.58,0.2728751510329758
4.9399999999999995,3.62,2.7800000000000002,1.023789933929405
3.38,3.46,1.02,1.8247894396775466
4.74,3.7800000000000002,1.38,2.0663847437435563
3.7800000000000002,2.06,2.02,0.6135186687465202
3.98,3.02,3.74,0.5114916454511618
1.22,1.82,1.58,0.22366306053243318
3.7,1.5,2.1799999999999997,0.40518804319266943
1.02,4.26,2.94,0.23522450976969514
2.46,3.2600000000000002,4.34,0.29409193124879357
2.98,1.6600000000000001,4.220000000000001,0.18656579916753266
1.54,2.1799999999999997,4.62,0.1156525919801106
4.7,2.42,3.06,0.5915778832441887
2.94,3.18,4.140000000000001,0.35941338018230623
3.66,2.5,2.06,0.7069260821800206
1.3399999999999999,4.78,4.300000000000001,0.2370742422074902
4.42,2.02,1.42,1.0007035168321678
3.18,3.66,3.54,0.523269082389252
1.1,4.9,1.7,0.5046147901560682
2.02,1.74,4.42,0.12656058687316601
3.62,3.42,2.8200000000000003,0.6987240629272697
4.54,3.74,4.9,0.5515076064741115
4.9,2.66,2.14,0.9693577234858711
4.82,1.98,3.1,0.4899713273844556
3.86,2.8600000000000003,1.3,1.3515437767363752
3.22,4.34,1.9,1.1706097361687469
2.7,4.46,1.82,1.0530460575343976
2.8600000000000003,4.58,4.82,0.4325184167162072
2.5,1.18,3.3,0.14227487337002764
1.06,4.02,4.9399999999999995,0.137285636336677
4.58,1.78,3.02,0.4296340258484661
2.2199999999999998,2.7,2.3,0.41477162125774814
3.9,2.38,2.34,0.6313146075978516
3.74,3.06,4.0600000000000005,0.4486287760396274
3.54,3.1,1.78,0.981217048028348
4.02,3.38,1.54,1.4042426654256084
1.98,4.42,1.1400000000000001,1.221807368388624
1.6600000000000001,3.14,1.3399999999999999,0.6190889741583548
3.34,3.54,3.5,0.5376526814689525
1.42,2.9,1.98,0.3310101291173863
4.18,2.2199999999999998,3.9,0.3786908230552697
2.54,4.7,3.2600000000000002,0.5828195431383578
