h,omega,kb,T,E_n
4.271702354610277,3.189098762442221,4.028870934136707,3.705930368896495,13.872868659214882
3.2166563985378835,2.467826445852024,1.4197616137293232,3.461828655107356,4.310306838155799
1.8862919503436395,2.507701576352538,4.929037905398671,2.8169327137645697,13.511747693212236
1.4612497147619674,2.280495341270419,4.749847483365455,3.1937044386957463,14.90597235397656
3.602879141176205,4.5335344719659485,2.5622373176804003,3.25924625145163,7.118489660859969
1.3864035858262374,1.7003886019176622,3.0461015678302994,1.5801688223570487,4.628193746969828
1.137385102878842,2.958718832289367,1.4033912001328726,1.541084291154201,1.9059914304703665
2.512890575855507,3.891624260594092,1.9896503969094703,1.7740915276836926,2.808620731877687
2.7929054310525188,3.502558752316482,4.818890309298999,3.525166048679936,16.220825851028525
3.8038716561723103,1.0549159585813994,3.936007690539424,1.183585959934303,4.346571569418622
3.775949917463151,3.3256351659095955,3.840844517183122,3.8238587371632384,13.710214967037576
1.9464230670362792,3.0711631771064045,4.087792684863593,3.793477391360297,15.036116197579767
1.5262114863024199,4.514338577799724,2.8535412715467716,2.0394078323723233,5.288466787900845
4.219491814937342,4.01702213526674,1.3827219162286872,1.8588411295161875,1.453162417956731
1.3073913502333716,3.2536184108045223,2.0280533223507833,3.8034568784277374,7.380061449744611
4.119468766480283,4.0011184062197245,2.6494357475104358,2.1994476721065523,4.61373978024404
4.769725523017486,3.138201770988747,2.3038454810561,3.9801179260538593,8.029951696159713
3.2193133214207568,4.6079327937330214,2.2984703185492554,2.04072169073235,3.6086720580638985
4.015511087801962,1.8338392682579625,2.188969005338816,2.9101043624297414,5.802094018309612
2.1088602096804863,4.206378063437305,2.8121982938502343,1.3476794417333529,3.1277625296330704
2.60111536118139,1.104232003767704,4.413582952969122,1.3111617016636004,5.561364638995024
1.5253353437262631,3.794575854912812,2.1689563944853907,3.235908531837917,6.5680227100889805
3.0408042367639125,1.5855054541164009,1.1212872606530238,3.5841189065384267,3.647368398099768
2.5720589695148024,3.9478498012544914,3.74857345083584,2.8953163966722184,10.065314000020443
1.3995084771758861,1.311332540050914,2.966676498982808,3.51007103895983,10.267885735751983
2.0104383736633067,3.206043924506241,4.956987784142681,1.444047386192186,6.6574514366877375
4.793812498242417,3.51647466861808,1.712523109174501,1.7533834941710884,1.85840486028456
4.773273144852856,4.111638873198332,3.240797957190991,2.228494384186628,5.7725442871244885
4.083893939494727,3.388164021063101,4.782802333946753,3.3460611213852345,14.927688694660626
2.7191093867083724,4.973477151738184,1.3318952545180367,1.1597946644934325,0.7107438422972838
2.1706591663415704,3.9149754632833695,3.0287973705437743,4.176499389988424,11.985563416080806
2.1328581744282293,3.4431619334557486,4.188884272024984,2.2635530315280734,8.909365811584625
