q,h,m,mom
1.78,4.18,4.54,0.13041590733270242
4.140000000000001,1.18,2.7800000000000002,0.13983879999865595
1.7,4.9,2.8200000000000003,0.23506394963749788
3.62,3.7800000000000002,2.14,0.5088347147879111
2.8200000000000003,1.94,4.66,0.09342326852651728
3.38,3.9,2.98,0.35201014426801414
1.3,2.42,2.94,0.08515330798760251
2.62,1.02,1.8599999999999999,0.1143348575050487
1.46,4.98,2.3,0.2515616870070767
3.74,4.46,2.58,0.5144899443314053
4.78,2.1799999999999997,3.9,0.21262284217881872
1.54,3.58,2.02,0.2171913446173855
2.38,3.94,2.2199999999999998,0.3361323721534507
2.06,4.66,1.46,0.5232273259263557
1.9,1.6600000000000001,4.38,0.05730304686208195
4.34,3.06,4.18,0.25282790744468986
1.94,4.140000000000001,3.7,0.17273903255903605
1.1,3.18,2.54,0.10959133679831692
3.34,4.1,4.62,0.2358731375216899
2.46,3.02,2.46,0.24032396406876197
4.54,1.54,1.62,0.343440648185585
3.54,1.1400000000000001,1.9,0.1690225495635929
2.3,4.74,4.300000000000001,0.20175664995207473
1.98,3.1,1.7,0.2873214825582511
4.02,4.9399999999999995,4.82,0.3278657867088517
2.26,1.74,4.74,0.06601908209014443
2.94,1.7,2.62,0.15180465755215514
4.9,1.26,1.5,0.3275408728831206
1.82,2.1,3.1,0.09811132137052002
4.26,1.58,4.34,0.12341475702337895
4.74,1.1,4.42,0.09387261009967675
2.14,2.38,3.58,0.11321340169771528
4.859999999999999,1.78,4.98,0.13823469695776786
3.58,2.2199999999999998,3.02,0.20942050094654757
4.7,2.3,3.22,0.2671529401899671
4.58,2.02,2.74,0.268693042246164
3.7800000000000002,2.34,1.26,0.5586338502525526
3.8200000000000003,1.46,2.66,0.16684942643084938
4.98,4.54,1.3,1.3839868997512617
3.94,4.62,1.82,0.7958971423387781
1.06,3.34,1.54,0.18294550666316436
2.5,1.8599999999999999,1.38,0.2681414802091715
1.02,1.9,2.34,0.06590647002395154
4.300000000000001,4.0600000000000005,1.42,0.9783545762317993
4.0600000000000005,3.74,4.1,0.29471613632738736
3.1,2.26,3.94,0.14150247859160137
1.8599999999999999,2.06,1.74,0.1752350804456627
4.5,2.14,2.42,0.3166657235485439
2.98,1.3399999999999999,3.06,0.10384599979649613
4.42,4.42,4.0600000000000005,0.38292052096311624
3.7,4.300000000000001,4.220000000000001,0.30001838206067005
1.22,4.859999999999999,4.9,0.09629198863065976
3.22,2.8200000000000003,1.22,0.592291207070347
1.58,3.7,3.62,0.12851102172862158
3.14,4.78,2.7,0.4423682170101622
2.74,1.62,2.06,0.1714701362612391
2.34,2.8600000000000003,1.3399999999999999,0.39743602281649276
1.62,3.14,1.1,0.36799516569084234
3.2600000000000002,4.38,4.26,0.2667302349085159
4.46,3.5,1.1400000000000001,1.0896529217826694
4.9399999999999995,3.98,1.98,0.7901962543228213
4.62,1.38,3.74,0.13565618384715078
4.18,3.3,3.42,0.32096246856865557
2.02,2.5,2.9,0.1385745625196675
4.66,2.66,2.38,0.41445819592224753
3.02,4.82,3.34,0.3468148223986326
1.42,4.7,3.38,0.1571301908572943
1.38,4.26,1.78,0.26282024703613316
2.9,2.9,4.78,0.1400097355023891
3.46,3.2600000000000002,3.2600000000000002,0.27533805154897895
1.1400000000000001,2.62,3.7800000000000002,0.0628788338659885
1.6600000000000001,2.7800000000000002,4.140000000000001,0.08870389267880177
1.3399999999999999,4.02,3.3,0.12989937082536693
3.18,2.98,2.5,0.3016431805432074
3.66,3.22,3.66,0.25623945837795153
1.74,4.220000000000001,1.06,0.5512466585543251
3.5,1.06,3.86,0.07648508275530204
2.8600000000000003,3.66,3.54,0.2353065370492548
2.42,3.86,2.8600000000000003,0.2599122647569952
3.86,2.46,4.859999999999999,0.15548062526989728
3.06,4.5,4.7,0.23314506025270199
2.7,1.22,2.1799999999999997,0.12024228957447324
1.18,3.46,3.14,0.10347098752477552
2.54,3.38,4.5,0.15181966860361554
1.26,3.8200000000000003,4.46,0.08587943633294963
2.66,2.54,4.58,0.11739240802468141
2.58,2.94,1.02,0.5917755266375708
4.220000000000001,1.42,1.6600000000000001,0.2872650846336969
3.9,3.62,3.98,0.28228008625268575
2.7800000000000002,3.54,1.94,0.403679285040196
3.3,2.58,3.18,0.21305741910132026
1.5,2.74,2.1,0.15574448002564045
4.82,1.5,4.02,0.14312067643711487
3.98,4.34,3.46,0.3972709773142957
2.1799999999999997,1.82,3.5,0.09020902174448626
4.38,2.7,1.18,0.7975281173748959
2.1,3.42,3.8200000000000003,0.1496139792259152
3.42,1.3,2.26,0.1565493090678245
2.2199999999999998,1.98,1.58,0.22138654046035916
4.1,4.58,4.9399999999999995,0.30249104467404964
