pr,V,E_n
3.3,4.7,23.264999999999997
3.1,1.06,4.929
1.18,2.74,4.8498
2.34,1.26,4.4226
1.06,2.02,3.2118
3.5,4.5,23.625
2.58,3.54,13.6998
1.1,4.140000000000001,6.831000000000001
1.02,4.66,7.1298
4.9399999999999995,2.7,20.006999999999998
1.6600000000000001,1.74,4.3326
4.1,2.98,18.326999999999998
3.8200000000000003,2.54,14.554200000000002
3.7,4.9399999999999995,27.417
2.14,2.14,6.869400000000001
3.58,3.66,19.6542
1.46,4.62,10.1178
4.0600000000000005,3.22,19.609800000000003
3.7800000000000002,1.46,8.2782
1.38,2.42,5.009399999999999
2.1,2.7800000000000002,8.757000000000001
4.54,4.0600000000000005,27.648600000000005
2.3,1.58,5.451
4.62,1.42,9.840599999999998
3.14,1.9,8.949
2.26,3.94,13.356599999999998
4.140000000000001,3.42,21.238200000000003
2.94,2.8200000000000003,12.436200000000001
3.98,3.2600000000000002,19.4622
2.46,4.78,17.6382
1.22,1.98,3.6234
3.46,1.02,5.293799999999999
2.1799999999999997,1.1400000000000001,3.7278
4.46,3.9,26.090999999999998
1.58,3.34,7.9158
3.22,1.82,8.790600000000001
1.9,4.46,12.710999999999999
4.7,1.3399999999999999,9.447
4.220000000000001,4.42,27.978600000000004
2.7800000000000002,3.74,15.5958
3.42,2.3,11.799
4.98,1.38,10.3086
3.94,2.1,12.411000000000001
1.62,2.66,6.463800000000001
1.7,2.34,5.967
3.74,4.34,24.3474
4.58,3.5,24.045
1.74,3.62,9.4482
3.18,2.26,10.7802
4.859999999999999,4.38,31.930199999999996
4.78,1.18,8.4606
3.34,1.3,6.513
2.02,3.38,10.2414
3.9,3.3,19.304999999999996
3.02,4.58,20.747400000000003
1.78,2.46,6.5682
1.1400000000000001,4.859999999999999,8.310599999999999
2.8200000000000003,4.300000000000001,18.189000000000004
1.26,3.46,6.5394000000000005
1.3399999999999999,2.9,5.828999999999999
3.86,3.02,17.4858
3.66,1.1,6.039000000000001
4.74,4.26,30.2886
1.5,1.62,3.6450000000000005
3.06,1.5,6.885
3.54,3.06,16.248600000000003
2.38,4.1,14.636999999999999
3.2600000000000002,2.06,10.073400000000001
2.98,2.2199999999999998,9.923399999999999
4.02,2.38,14.351399999999998
1.98,4.98,14.7906
4.82,3.14,22.7022
1.3,3.8200000000000003,7.449000000000002
3.38,3.58,18.1506
2.42,1.94,7.042199999999999
2.5,3.1,11.625
1.82,3.7,10.101
2.2199999999999998,4.18,13.919399999999998
2.74,4.02,16.522199999999998
2.66,1.78,7.102200000000001
4.5,4.54,30.645
4.300000000000001,2.58,16.641000000000002
4.34,1.54,10.0254
4.9,1.22,8.967
4.26,2.8600000000000003,18.2754
4.66,3.18,22.2282
1.8599999999999999,4.74,13.2246
1.94,2.5,7.275
2.8600000000000003,3.86,16.559400000000004
4.42,3.98,26.3874
2.54,2.94,11.2014
4.18,4.220000000000001,26.459400000000002
2.06,4.9,15.141
1.42,1.8599999999999999,3.9617999999999993
1.54,1.6600000000000001,3.8346000000000005
4.38,1.7,11.169
2.9,3.7800000000000002,16.443
2.62,4.82,18.942600000000002
2.7,2.62,10.611000000000002
3.62,2.1799999999999997,11.837399999999997
