n_0,kb,T,mom,B,n
1.57,1.95,2.6500000000000004,1.27,2.35,0.6700976113538036
1.01,2.09,1.77,1.81,1.33,0.414167808589137
2.35,1.09,2.51,2.6500000000000004,1.35,0.5922670826066265
1.97,1.3900000000000001,1.01,2.37,2.77,0.018347884903789618
1.63,2.77,1.31,1.73,1.15,0.7061768892740946
2.91,2.01,2.83,1.75,2.6500000000000004,1.0768582787769505
1.71,2.41,2.19,1.43,2.37,0.7046618945445557
1.53,1.5899999999999999,2.5300000000000002,1.45,2.33,0.5568067702081688
2.67,2.9699999999999998,2.31,2.17,2.81,0.9390392844734434
1.11,1.35,2.4699999999999998,2.21,1.47,0.36673627802508907
1.51,1.23,2.45,1.31,1.6099999999999999,0.6015548435990293
1.95,1.65,2.23,2.01,1.19,0.7999436111084066
2.5700000000000003,1.83,1.17,2.91,1.77,0.22996426638013923
2.6500000000000004,2.85,1.13,1.25,2.89,0.7803642693013255
2.4299999999999997,1.55,1.83,1.9300000000000002,2.01,0.5812329882304724
1.81,1.25,2.81,1.53,1.13,0.8054449062641799
2.89,1.63,1.45,2.83,2.17,0.21383061462373235
2.15,2.73,2.5700000000000003,1.19,1.4100000000000001,1.0449748398273275
1.65,1.51,1.63,1.51,2.13,0.4161578876808084
2.63,2.95,1.6099999999999999,2.23,1.43,1.065642807790222
1.13,1.8900000000000001,1.03,1.55,2.69,0.130901521580257
1.85,1.19,2.09,1.03,1.63,0.7480029484536472
1.23,2.81,1.53,2.15,2.99,0.2625615325390754
1.09,2.23,1.33,1.97,2.83,0.16258013937008306
1.33,2.4299999999999997,1.23,1.09,2.9699999999999998,0.403962324924948
2.51,2.6500000000000004,1.11,1.49,1.5899999999999999,0.9349936665011287
2.0700000000000003,1.37,1.27,1.4100000000000001,1.07,0.7392318674156783
1.75,2.0700000000000003,2.73,2.9299999999999997,1.01,0.7673579262178477
2.77,2.39,2.79,1.37,2.23,1.2513471143321007
1.15,2.25,2.0300000000000002,2.67,1.8900000000000001,0.343286456449979
1.07,2.99,2.59,1.5899999999999999,1.31,0.5162149601663814
2.41,1.47,1.69,1.3900000000000001,2.1100000000000003,0.6763307739092741
2.45,1.85,1.65,1.35,1.03,1.108036182011401
2.83,2.79,1.37,2.05,2.5700000000000003,0.6705566321700404
1.77,2.69,1.09,1.71,2.95,0.30697351973338083
2.55,2.19,1.51,2.1100000000000003,1.05,1.0341084468812405
1.49,1.77,1.55,1.21,1.29,0.6387928258148332
1.17,2.45,1.73,2.69,1.71,0.3547562564195867
2.21,1.31,2.13,1.11,2.87,0.6403238051150559
2.25,1.69,2.87,1.47,2.79,0.8156221914558677
1.47,1.6099999999999999,1.47,2.6100000000000003,1.25,0.3482664367023172
2.39,2.05,1.87,2.33,2.27,0.5656292198702487
1.69,1.9300000000000002,2.01,2.5300000000000002,2.51,0.31682680742303815
2.81,2.49,1.95,1.57,1.87,1.182220695682383
2.85,1.07,1.9100000000000001,2.29,2.0700000000000003,0.2775450247008983
1.5899999999999999,1.43,2.0700000000000003,2.59,1.81,0.3131061220574366
2.6100000000000003,2.63,1.21,2.09,1.53,0.842595514511053
2.29,1.11,2.95,2.79,2.73,0.22157165195218734
1.8900000000000001,1.29,2.91,2.81,2.19,0.3535451411874854
1.83,1.81,2.77,1.15,1.67,0.8517449397090089
2.99,1.9100000000000001,2.9699999999999998,2.39,2.4699999999999998,0.9389866902585376
2.0300000000000002,2.1100000000000003,2.4299999999999997,1.99,2.9299999999999997,0.5903384004481407
1.4100000000000001,1.49,1.29,1.07,1.83,0.45037461686942387
1.67,2.5300000000000002,1.25,2.55,2.91,0.15838939221192677
2.95,2.27,1.79,1.85,1.9100000000000001,1.0516552611164665
1.29,2.37,1.5899999999999999,2.71,2.71,0.18007955258549088
1.27,1.17,2.49,2.13,1.51,0.3793576287527117
2.4699999999999998,2.51,2.71,2.63,1.79,0.9886235268696076
1.55,1.71,2.67,1.29,1.27,0.7276500441446955
1.03,2.87,1.4100000000000001,2.85,2.29,0.19746378672794565
1.73,2.59,2.41,2.5700000000000003,2.49,0.5498315573219619
2.79,1.87,2.63,2.51,1.17,1.1785706940977299
2.69,2.17,2.85,2.0300000000000002,1.95,1.109797189683843
2.01,2.29,2.05,2.19,2.4299999999999997,0.5862276480230297
2.71,2.9299999999999997,1.15,1.05,1.9300000000000002,1.1421362305661367
2.87,2.6100000000000003,1.9300000000000002,2.87,1.99,0.8369163379070285
1.9100000000000001,2.21,2.55,1.33,1.11,0.9231429535542931
2.09,2.67,1.67,2.27,1.21,0.8738872480052714
1.6099999999999999,2.35,1.85,1.23,1.09,0.7681822375950029
1.19,2.75,2.1100000000000003,1.63,1.57,0.5414790188786084
1.25,1.53,2.17,1.13,2.39,0.4631373566312574
2.1100000000000003,1.73,2.69,1.17,2.59,0.8650364006302914
2.27,2.5700000000000003,2.29,2.41,1.3900000000000001,0.9730676980566936
1.9300000000000002,1.13,2.37,1.01,1.45,0.8367425232472202
1.37,1.97,2.39,1.83,2.6100000000000003,0.43904202717988716
1.87,1.67,2.35,1.6099999999999999,1.69,0.7479263628887863
2.13,2.89,1.97,1.87,1.97,0.8752830083031603
2.31,2.15,1.49,1.8900000000000001,2.63,0.4684521395026358
1.31,1.45,2.33,1.95,1.55,0.45881444148583345
1.35,1.99,2.27,2.25,2.67,0.33373509805119067
2.23,1.01,2.25,2.89,2.05,0.1635782506095433
1.99,2.0300000000000002,1.07,1.77,2.25,0.3101877510257914
2.75,1.33,1.71,2.49,2.45,0.18722752025658856
2.73,2.33,1.19,2.4299999999999997,1.23,0.832569557542013
2.5300000000000002,1.03,1.3900000000000001,1.69,1.65,0.35359710983957504
2.33,2.71,1.57,1.65,2.85,0.6952934757047505
1.05,1.05,2.9299999999999997,1.79,1.75,0.3355213454511795
2.19,1.57,2.75,2.99,2.41,0.398523475969543
1.79,2.13,1.81,2.4699999999999998,2.15,0.4244707810452534
1.43,2.55,2.21,2.75,2.0300000000000002,0.46668083618849066
2.37,1.21,2.15,2.35,1.85,0.43041470339213256
2.9299999999999997,1.27,1.8900000000000001,2.45,2.09,0.34225295638430536
2.49,1.79,1.43,1.9100000000000001,2.31,0.43053380691108817
2.17,1.15,1.05,2.73,1.37,0.09781257755377228
1.3900000000000001,2.4699999999999998,1.99,2.0700000000000003,1.49,0.5775222834222262
2.9699999999999998,2.91,1.35,1.67,2.75,0.8414762136682834
1.21,1.75,2.99,2.31,1.73,0.46320776214443854
2.59,2.83,2.89,2.77,2.55,0.9271808023839302
1.45,2.31,2.6100000000000003,2.95,2.5300000000000002,0.3878667523749675
2.05,1.4100000000000001,1.75,2.9699999999999998,2.21,0.14268708997304302
