mom,B,theta,E_n
2.603316986612501,4.442984861007079,4.1122692711211375,6.532078743495088
4.279520124827186,4.075585738845263,4.0524488097334865,10.692884569866925
4.908609458218983,3.0299043012791818,1.916508837248456,5.039840821371705
1.8382129360393689,1.8929785220459507,3.236406049013713,3.464068810237805
1.8013576451136544,3.4079183990233513,1.8894835150582536,1.923434590392328
2.9537949128393017,1.2866809579938379,4.846432000482251,-0.507918583784032
2.4903826741965007,1.6668241515320548,1.1710097126618382,-1.6156713307286108
4.80959536502456,1.027821957827851,4.202089028246048,2.414553157647437
1.7784382514872696,4.1874254875598265,1.9706828464619972,2.8992502338899246
1.305330271907593,1.336245298972453,1.0475214693893586,-0.8716313769552124
4.23824648132444,1.1875391346618498,4.880272985737403,-0.8410105451376223
1.143736119897805,3.933116414023083,4.626455343676198,0.3860923379452752
1.2853769847153922,3.2534479330708437,3.874913741992747,3.1069711433476184
1.8190368068844407,2.9050030200129062,4.801721947407456,-0.4714352373301638
3.3193511615656077,2.064660701339424,1.0499180924627898,-3.4105074364516414
2.181967228196513,2.9565195754295566,3.6498988827604832,5.635425995646857
3.6192967953273794,1.571473749727302,4.128860206674652,3.133725996482217
3.8090462756579138,1.7751658923642273,4.023916244851971,4.296096895493592
3.3451483716712387,2.9451230376135533,2.540515318947971,8.125104401060026
2.258852451346987,2.8834610082976244,3.5034516574207992,6.091512953796396
2.8310471240678217,2.74327679173348,2.102853825238067,3.939925462670901
1.805452203967143,2.5129339915335267,2.0562767505393253,2.117107093371927
4.9906935130650085,4.092892195533057,1.9263276573770065,7.110185013249322
4.657561007729049,2.7852317418608634,4.0715109983603135,7.756182736195903
2.311944291929641,2.0234762572350533,1.1080862911444838,-2.0882147279852843
2.9332491264267024,1.434431913260099,1.102025883117614,-1.900926057391865
3.0672473199684487,4.168149144907977,3.364169160196081,12.469369463528562
1.7863006781610014,4.674438809615884,4.093612043370042,4.8433010315107685
3.8369413911206345,3.2001114700157265,2.891221302989377,11.895798065125069
3.47721776946672,4.635205830493433,3.720100302167536,13.494953887660985
3.2274678250529543,1.5308009151184487,4.166478975840452,2.565145537674787
1.5419303710397845,3.94475774004337,1.6153336473424649,0.27081056289324235
3.021857781195191,2.0741427626877997,2.1080626256574493,3.2077751189524575
4.386513078503744,2.3547728402036063,4.664105561968954,0.498537348237482
2.9765216481970027,2.4052284636332018,3.0186408552399917,7.105169285065753
4.778869180763056,1.3169198208203317,3.8649372942361775,4.717498906965584
1.6961364110004953,2.9318828191696946,3.153868509809415,4.972498509429845
4.9645037383106585,3.866443810893136,3.838092079287581,14.724323634860752
3.8316921942254196,2.7395333464727485,3.4940702154253542,9.85169293567255
1.1926251151523375,3.618676145809276,1.8962302909959607,1.379823304681108
1.984544448143532,1.308809848255332,2.0244324964499407,1.1382725370431068
3.061230728394205,1.6497964239827465,2.397420005563236,3.7153250720122526
3.6138877720346856,1.2770009437599399,3.439943482326898,4.411061913291572
3.1976942977876495,4.83060282926273,2.5042794781109503,12.414546174142187
1.3464868289731342,2.2092082686060985,1.0291282870761638,-1.533638533199078
2.6833259120748028,3.2936938171427426,1.8245412912508885,2.2186233904330224
1.4148188947453648,1.3560379746236948,4.0868785742878755,1.1233312698815494
1.3454008548245897,3.390221288897707,1.6683630391806057,0.4443162235809948
1.5737948152145598,2.377924058978856,2.9189581709162327,3.649999783943931
4.590164136566436,4.123351088497868,1.6294322763277571,1.1091584723296644
4.359889593568097,2.933572498532546,3.7451639734848143,10.530226959113103
2.9597252508526264,2.867319623796581,2.698183906719536,7.665789079813296
2.8923316173123346,3.0763276172390883,3.115341166717788,8.894693905076297
4.634178152464587,1.5201651437447254,3.7458116638976624,5.7974212438217565
3.635557407608623,1.3177502890222836,4.767230766989097,-0.2626019826823014
1.0838235091613968,2.225220091016169,1.3040365741590303,-0.6357535358119641
3.1604036228603936,4.834675901372826,2.9631595255549947,15.03693420127311
2.0719906862826742,3.983244907726212,1.0868604197542522,-3.839960852829202
4.220073229813971,4.818435645167312,2.7519139455228707,18.80972361517411
3.2977453672608927,2.1574738775794957,3.2172581033480965,7.0944421606662464
4.1007639336973725,4.593772351358638,2.162356406968505,10.505123130853326
1.1330994085325958,1.5518655385931948,2.3771006869389337,1.269110171082094
2.3587888352944004,1.0855538786121175,3.1863954781942674,2.5580228691480107
3.187913392993732,1.1738241054697838,1.1285555970131376,-1.6014688636602703
4.0972567432116165,3.5052480375505484,2.510755696227219,11.597725447875547
4.927011398080408,2.460136774598394,2.7052224517670482,10.98527309467075
4.250577431225894,1.3809695389262604,3.3302670232309866,5.7657488023053345
4.561092104656287,4.2185355579201325,3.2661751838257027,19.09200333068107
2.3377020959931043,3.9452976403192372,1.5685639921457488,-0.020588650362696886
1.3164370603565874,1.3232615083885335,4.477384425554481,0.40561798285169215
3.547125161104389,2.496383483785936,3.7520305046729847,7.255748833335033
2.212452956319588,4.019476985948552,4.758945822988366,-0.41387596649034203
2.4240176914469944,3.8537263106950377,2.160615693762345,5.195844715195041
4.164968327758022,3.9489161763764464,1.8475867238744896,4.494495786397597
1.232867933280863,2.9743225168530283,2.1675326281091576,2.0606254723484736
1.9339069591776017,1.8185838749535672,4.583610539220083,0.4516593756987304
4.489599576974404,4.643960620652458,4.339660369216567,7.592521693073637
4.002132746182996,4.2866067422814185,1.1486986109118202,-7.028207056965232
4.811797896730312,4.651367513040727,4.67089512344733,0.928425815153068
1.8713880889532504,2.811436910337872,3.953608408916762,3.619962125341344
4.973448610313295,1.8167118692244664,4.1002721807396885,5.191707561887885
4.9691463283409485,3.2259383505805315,4.146867949000159,8.589854063409089
3.273718231930168,4.270756428111701,4.147079690835619,7.489435940541233
4.777892725927481,1.6713490735237038,4.400466147792319,2.450672258450908
4.498377866370689,3.7371995837567535,1.115352200683696,-7.3946545735727325
1.7306319304926432,2.9912276038776087,2.663388424403325,4.596004418885623
3.4280537544369687,2.1363169869022376,2.3896561411825155,5.348780233854329
2.3319882520887147,3.2556056330018617,1.6267170975231706,0.4243311603397426
3.4038358363984518,4.920241492685914,3.2972948035703777,16.545095603540798
3.503889991705296,3.585907274516705,3.2903804264882424,12.425804409999527
1.8993730537497155,2.5525829023059616,4.164341816472351,2.5260717601835494
3.9469989430331673,4.295816062828331,3.201007138713437,16.925662973887874
3.0021406494296534,3.58836407920242,4.70650035797776,0.06343642978060887
2.125056838982092,3.010594854919056,4.550049095649887,1.0340435668362984
4.3038268392031895,1.635595559182318,2.5894944828544224,5.993459839569275
1.3115215353339016,3.825279465186216,2.867895888347682,4.830197343416564
4.188222254250352,1.7642773369318636,2.4646044771983693,5.759596800468483
4.386091224714857,3.2086845592295794,4.358214980004641,4.8809403241145635
1.9422277918155757,4.154080955852331,3.685670304288031,6.903168583170612
3.3664141619938364,3.432028427307492,2.0154516809434937,4.969756283014412
