q1,epsilon,r,Ef
1.62,2.42,2.3,0.010070107633648023
2.1799999999999997,1.9,4.7,0.004133303661341542
4.46,1.46,3.54,0.019398386801176302
3.9,1.82,2.38,0.030104362918004553
3.14,2.1,1.1400000000000001,0.09155683824117151
1.74,1.02,1.3,0.08032532804846788
2.42,1.54,1.1,0.10334736564408785
3.46,4.7,1.58,0.023466817881492234
2.62,2.54,2.2199999999999998,0.016655273233202046
4.66,3.2600000000000002,2.46,0.018796986884374957
1.82,2.5,4.9,0.002412844618302786
3.94,3.7,1.06,0.07541763393028052
2.38,1.7,3.18,0.011017014770413227
3.1,1.62,1.82,0.04597206788118975
4.42,3.9,3.22,0.008698333502315433
1.38,3.14,2.34,0.006387160941290428
3.8200000000000003,4.02,3.86,0.005075196203896892
2.66,4.38,2.7,0.006629337564820164
3.5,2.06,3.62,0.010317484352354815
2.54,2.34,4.1,0.005138546391461818
2.7800000000000002,4.9399999999999995,1.98,0.011422932288664596
1.7,4.74,4.66,0.001314282975439685
1.5,1.6600000000000001,3.5,0.005869988065843201
3.62,4.58,3.38,0.0055055388037985225
2.5,3.5,4.78,0.0024877475492484525
2.14,1.1,3.02,0.016974513588750892
2.02,1.26,3.3,0.01171502124585059
4.34,2.7800000000000002,4.74,0.005529404813105337
4.5,2.58,1.22,0.0932531009722642
1.1,2.2199999999999998,1.54,0.016626024074016713
2.46,4.300000000000001,4.18,0.0026055788718078064
1.46,4.82,3.74,0.0017232677048201726
3.7,2.3,3.98,0.008081609838574741
3.06,4.0600000000000005,1.3399999999999999,0.033402266148477876
1.26,3.54,3.06,0.003024924685755553
1.06,4.78,1.9,0.004888334347796366
3.74,4.1,1.5,0.0322623028273002
4.9399999999999995,4.5,2.9,0.010387441126621256
3.34,2.46,3.42,0.009237390080259051
2.06,1.3,2.02,0.030903755926012563
4.98,4.859999999999999,3.8200000000000003,0.005588001109247852
2.8600000000000003,2.98,1.38,0.04010344969780515
2.98,3.18,4.5,0.0036825974874900853
1.98,4.54,1.6600000000000001,0.01259456863020601
3.58,2.8200000000000003,3.34,0.0090558896264832
1.3399999999999999,3.66,3.58,0.002273253119158672
3.22,3.46,4.140000000000001,0.004320850365822059
2.7,1.5,4.34,0.007604719190400402
2.34,2.38,3.1,0.008141522897958076
4.7,2.1799999999999997,4.38,0.008943000999712163
4.82,2.62,4.98,0.005903059998223799
2.2199999999999998,4.9,2.42,0.006156250717233956
4.300000000000001,2.9,2.1,0.026756050328217606
3.98,3.86,2.74,0.01092910951282223
3.86,3.62,4.0600000000000005,0.00514774236289902
4.18,4.26,1.7,0.027018359492995216
4.220000000000001,1.18,4.300000000000001,0.015391596461848326
4.54,3.42,2.58,0.015870129509031734
4.9,3.98,3.66,0.007313764516976015
4.1,2.74,2.1799999999999997,0.025055925130597515
1.54,1.22,2.26,0.019666820222381472
2.94,4.220000000000001,1.74,0.018311609522964255
1.58,3.94,1.8599999999999999,0.009224123577752699
4.02,3.22,1.46,0.046607370956105294
1.9,1.3399999999999999,1.02,0.10845225712362393
2.1,4.62,2.94,0.004184781569650465
1.02,2.8600000000000003,4.54,0.0013769322403567883
3.54,3.1,3.46,0.0075906594335803015
1.18,4.46,1.94,0.0055941463606914285
4.26,3.74,3.2600000000000002,0.008528898239176075
2.58,2.66,3.7800000000000002,0.0054018759364961744
2.74,1.38,2.98,0.017792176749113067
3.42,3.06,2.66,0.012569891885061548
4.78,3.7800000000000002,1.78,0.03176041935856245
2.26,4.66,3.94,0.002486109280625718
3.7800000000000002,4.42,4.26,0.003750079444628484
3.66,1.74,3.14,0.01697706756062989
3.2600000000000002,1.94,3.9,0.008791779595619723
3.3,4.18,4.220000000000001,0.003527791359220235
4.0600000000000005,2.7,1.62,0.04559554134088463
1.1400000000000001,2.94,4.62,0.0014456518149701609
3.18,3.3,2.14,0.016744638245242645
4.859999999999999,2.26,4.859999999999999,0.007245117406492196
1.42,2.02,1.26,0.03523595289085888
4.74,4.98,2.5,0.01211878602820215
2.8200000000000003,1.98,4.9399999999999995,0.004644298832536309
1.94,3.34,2.06,0.010892083407824172
4.62,2.14,1.42,0.08520040308310135
4.38,3.38,4.42,0.005278408620874032
1.78,3.8200000000000003,3.7,0.0027085903524142825
1.6600000000000001,1.1400000000000001,2.7800000000000002,0.01499352612944931
1.3,1.58,2.8600000000000003,0.008004686637034335
2.3,4.34,4.46,0.002120110637392914
4.140000000000001,1.8599999999999999,2.62,0.025803282088749574
1.22,4.140000000000001,4.02,0.0014511005922579069
4.58,3.58,2.54,0.01577993297061126
1.8599999999999999,1.06,1.18,0.10028435840076767
3.02,3.02,2.8200000000000003,0.010006723950750423
3.38,1.78,4.82,0.006504183082588241
2.9,1.42,4.58,0.007747629310419149
