E_n,t,h,prob
1.075,1.225,1.105,0.8718893100564002
1.465,1.705,3.295,0.9974341949417115
1.035,1.7650000000000001,1.255,0.07583598892101374
1.795,1.925,2.965,0.7430095145110459
1.385,1.635,2.125,0.16064712594199201
1.9649999999999999,1.455,1.855,0.06577867298870002
1.645,1.345,2.245,0.008238139727970535
1.435,1.755,3.745,0.7809202585779528
1.005,1.855,1.405,0.7842234403535644
1.895,1.495,1.315,0.6805028893552344
1.675,1.625,1.945,0.34895191486553734
1.125,1.665,1.525,0.9814888380024163
1.625,1.095,2.605,0.8332937046836497
1.495,1.195,3.835,0.04534500956757487
1.195,1.915,1.165,0.04944037685600691
1.2349999999999999,1.505,1.615,0.6597715363606241
1.175,1.865,3.5949999999999998,0.40360681762808376
1.905,1.115,3.3850000000000002,0.5156821886619904
1.685,1.5350000000000001,3.145,0.8069071714165358
1.015,1.025,2.035,0.004980017439947412
1.185,1.595,3.955,0.01916653887120107
1.2650000000000001,1.305,2.815,0.2670836924794666
1.2850000000000001,1.9849999999999999,3.235,0.9426811375579182
1.085,1.125,3.475,0.6469661560603499
1.395,1.2349999999999999,1.7650000000000001,0.022372516929921985
1.445,1.365,3.355,0.2752812473872272
1.405,1.545,1.375,0.22527379186213592
1.695,1.395,2.935,0.8827200825061587
1.5550000000000002,1.325,3.925,0.024348224696153827
1.585,1.615,1.795,0.20075298126634855
1.725,1.775,2.545,0.9156276180899545
1.365,1.725,1.225,0.22081709968517108
1.8250000000000002,1.745,3.715,0.6107009465969657
1.045,1.205,1.645,0.9905618851602722
1.635,1.015,3.505,0.02752269255162493
1.815,1.375,2.005,0.9988917739286256
1.8050000000000002,1.425,2.8449999999999998,0.321288615823059
1.415,1.845,3.325,0.9519700265755249
1.525,1.655,2.6350000000000002,0.06858571506898165
1.135,1.295,1.705,0.5809004032782317
1.115,1.165,1.885,0.8606397052256625
1.755,1.245,2.065,0.12744514528495252
1.505,1.315,2.335,0.6689574796319738
1.745,1.685,2.515,0.7632035867119247
1.7650000000000001,1.905,1.585,0.4770160044648284
1.885,1.935,1.555,0.6802994208553418
1.995,1.465,1.495,0.07794867316047516
1.475,1.525,2.425,0.1931627500772254
1.095,1.145,3.085,0.3077296041798625
1.345,1.875,1.915,0.8334462441659646
1.325,1.075,1.2850000000000001,0.396841423658107
1.545,1.275,1.435,0.5142282896358735
1.915,1.7349999999999999,2.395,0.4231758253393823
1.595,1.085,3.265,0.03520036348691151
1.875,1.605,3.0250000000000004,0.0010529228380447017
1.215,1.405,3.175,0.054958098060064235
1.295,1.895,3.865,0.5622633852247835
1.935,1.975,1.135,0.5497402061436798
1.575,1.385,2.575,0.6715195082500279
1.225,1.435,2.0949999999999998,0.718099205539779
1.7349999999999999,1.795,2.665,0.7604572995554555
1.305,1.9649999999999999,2.6950000000000003,0.08998057614652814
1.355,1.055,3.985,0.6015383885019583
1.025,1.2850000000000001,2.3049999999999997,0.18821704359043032
1.245,1.8050000000000002,1.975,0.5802982335335813
1.155,1.945,3.4450000000000003,0.6669858074472803
1.315,1.255,2.785,0.30186613324093975
1.835,1.185,2.275,0.07512037146490093
1.165,1.005,1.675,0.9007834924354379
1.375,1.585,3.6550000000000002,0.32339324230016964
1.705,1.035,3.625,0.006855808655264815
1.925,1.335,3.7750000000000004,0.8223844084682358
1.055,1.105,3.685,0.8360093862653447
1.955,1.045,2.9050000000000002,0.9162110922887148
1.105,1.5150000000000001,2.7249999999999996,0.4332179553167046
1.975,1.835,2.455,0.022155259992532463
1.275,1.065,2.995,0.0833749845329483
1.945,1.645,3.565,0.36061023057474817
1.845,1.995,1.8250000000000002,0.011184185581227931
1.9849999999999999,1.135,1.4649999999999999,0.055548037276535234
1.425,1.7850000000000001,3.895,0.6726091481583405
1.615,1.5550000000000002,3.115,0.8803912291644282
1.145,1.8250000000000002,3.535,0.29352422513527393
1.865,1.215,1.015,0.9879414953920076
1.665,1.155,1.7349999999999999,0.39645745945989846
1.7149999999999999,1.675,2.485,0.6898076795545098
1.5350000000000001,1.355,2.365,0.47198609160864813
1.855,1.2650000000000001,1.345,0.9988769571304585
1.565,1.4849999999999999,2.875,0.8714749066090602
1.7850000000000001,1.885,2.215,0.014278207938292894
1.5150000000000001,1.565,2.185,0.25975338851339724
1.065,1.955,3.415,0.40436724484871606
1.655,1.7149999999999999,1.045,0.9553142281282931
1.335,1.175,2.755,0.17826661204773686
1.455,1.695,1.075,0.9249591791711927
1.605,1.575,3.805,0.7373237361955409
1.4849999999999999,1.815,3.055,0.4545073378495293
1.205,1.445,3.205,0.07215715584304067
1.775,1.475,2.1550000000000002,0.9521649355351843
1.255,1.415,1.195,0.007667301160939616
