m,g,z,U
3.7800000000000002,3.98,4.5,67.69980000000001
1.3399999999999999,2.8200000000000003,1.6600000000000001,6.272808
2.8200000000000003,1.62,2.5,11.421000000000001
4.38,2.26,2.62,25.934856
3.2600000000000002,3.66,4.220000000000001,50.35135200000001
3.02,3.58,2.14,23.136824
2.98,4.9,3.42,49.93884
1.18,1.58,2.8600000000000003,5.332184000000001
2.06,1.7,1.18,4.132359999999999
4.66,1.98,3.2600000000000002,30.079368000000006
2.7,4.74,4.9399999999999995,63.222120000000004
4.46,2.7,2.94,35.40348
4.859999999999999,1.9,3.66,33.79644
4.220000000000001,1.06,1.3399999999999999,5.9940880000000005
3.38,3.62,2.7,33.036120000000004
4.26,2.66,3.34,37.847544
2.94,2.7800000000000002,2.1799999999999997,17.817576
1.1,3.02,2.98,9.899560000000001
2.7800000000000002,1.74,1.58,7.6427760000000005
3.22,2.62,1.62,13.666968000000002
4.02,3.18,4.0600000000000005,51.901416000000005
3.14,2.1799999999999997,4.859999999999999,33.26767199999999
4.9399999999999995,3.46,4.26,72.81362399999999
2.74,4.7,3.14,40.43692000000001
2.8600000000000003,2.98,1.7,14.48876
4.82,3.34,2.54,40.890952000000006
2.66,3.1,1.9,15.6674
3.42,1.94,4.7,31.18356
1.6600000000000001,1.1,3.5,6.391000000000001
3.3,4.98,3.3,54.2322
2.02,3.74,3.22,24.326456
1.46,3.22,4.18,19.651016
3.06,3.06,1.94,18.165384
4.58,1.54,4.54,32.021528
2.54,3.3,1.22,10.22604
4.7,4.62,3.38,73.39332
2.5,1.38,1.82,6.279
3.86,3.94,1.8599999999999999,28.287623999999997
4.42,1.02,3.18,14.336712
1.82,1.46,3.54,9.406488
3.58,3.54,2.34,29.655288
2.1,1.22,1.3,3.3306
2.3,4.300000000000001,2.46,24.3294
3.54,4.5,2.8200000000000003,44.9226
4.0600000000000005,4.9399999999999995,3.7800000000000002,75.813192
1.42,4.42,4.46,27.992744
2.2199999999999998,3.38,4.34,32.56562399999999
1.5,4.26,4.98,31.822200000000002
4.78,3.2600000000000002,2.74,42.69687200000001
4.98,2.54,3.74,47.308008
4.18,3.7800000000000002,1.46,23.068583999999998
3.7,3.86,4.78,68.26796
1.78,2.94,1.54,8.059128000000001
2.58,4.82,4.300000000000001,53.47308000000001
3.5,2.34,3.02,24.7338
2.38,2.2199999999999998,3.9,20.606039999999997
1.8599999999999999,2.42,2.3,10.352759999999998
3.18,1.1400000000000001,4.38,15.878376000000001
3.46,2.02,2.38,16.634296
4.9,2.5,1.78,21.805
4.34,2.8600000000000003,1.98,24.576552000000003
1.06,1.3399999999999999,1.1,1.56244
1.94,1.18,1.1400000000000001,2.609688
2.9,1.6600000000000001,3.06,14.73084
1.02,2.38,4.140000000000001,10.050264000000002
1.22,2.46,4.02,12.064823999999998
3.8200000000000003,4.0600000000000005,2.42,37.532264000000005
1.74,4.859999999999999,4.74,40.083335999999996
1.1400000000000001,1.42,3.1,5.01828
4.54,4.34,3.46,68.17445599999999
1.58,4.66,2.66,19.585048000000004
4.5,3.5,1.5,23.625
4.1,3.8200000000000003,4.82,75.49084
1.54,2.14,1.42,4.679752000000001
2.34,2.58,3.98,24.028056
1.38,4.58,3.62,22.879848
1.62,1.3,3.7,7.792200000000001
1.7,2.3,3.8200000000000003,14.9362
3.98,4.54,1.38,24.935495999999997
2.46,3.9,4.1,39.33539999999999
2.62,2.74,4.58,32.878904000000006
3.1,3.7,2.26,25.9222
3.9,2.9,2.7800000000000002,31.4418
4.62,4.46,1.26,25.962552
2.14,4.02,2.06,17.721768
1.26,1.78,3.58,8.029224
1.9,2.1,1.74,6.9426
2.42,4.220000000000001,2.02,20.629048
3.74,1.26,2.58,12.157992000000002
2.26,4.78,2.1,22.68588
3.62,4.18,4.42,66.881672
3.66,1.82,4.66,31.041192000000006
1.98,3.42,1.06,7.177896
3.34,3.14,3.86,40.482136
1.3,1.8599999999999999,2.9,7.012199999999999
4.74,4.140000000000001,2.2199999999999998,43.564392000000005
2.1799999999999997,4.1,4.9,43.7962
3.94,1.5,3.94,23.2854
4.140000000000001,4.38,1.02,18.495864
4.300000000000001,2.06,4.62,40.92396000000001
