q,v,B,p,omega
4.42,2.7,3.46,3.2600000000000002,12.666147239263804
2.58,4.9399999999999995,3.94,2.62,19.166445801526713
2.34,1.78,2.1,3.38,2.587846153846154
3.34,4.1,2.38,4.82,6.76176763485477
2.94,1.58,2.7800000000000002,1.6600000000000001,7.779310843373494
3.1,2.62,4.140000000000001,4.18,8.044277511961724
4.62,4.220000000000001,2.42,2.46,19.179385365853662
2.06,1.62,4.54,4.66,3.2512635193133046
4.34,1.54,2.1799999999999997,3.58,4.069901675977653
2.02,1.5,1.3,2.26,1.7429203539823013
4.02,4.02,4.1,4.5,14.723919999999996
1.7,1.7,3.54,1.3399999999999999,7.634776119402985
4.5,2.9,3.66,4.46,10.709192825112106
1.78,1.22,2.66,3.14,1.839635668789809
4.82,3.8200000000000003,3.06,1.22,46.18192131147541
1.26,2.1,2.94,4.74,1.6411898734177215
3.94,1.94,2.7,3.42,6.034421052631578
4.220000000000001,2.94,4.78,1.02,58.14167058823531
1.02,3.22,4.220000000000001,3.1,4.471021935483872
1.8599999999999999,1.46,4.74,1.06,12.143343396226413
4.74,4.859999999999999,1.94,1.46,30.610010958904105
4.0600000000000005,3.98,3.74,2.66,22.71951578947369
3.58,2.66,1.18,3.94,2.852006091370558
4.66,1.26,1.54,1.9,4.759086315789474
3.3,2.2199999999999998,4.62,1.26,26.861999999999995
1.82,2.26,4.26,1.1,15.929301818181816
1.94,2.46,2.3,4.859999999999999,2.2585432098765432
2.5,1.18,4.58,4.0600000000000005,3.3278325123152706
3.62,2.42,2.2199999999999998,3.8200000000000003,5.0911225130890045
2.74,2.74,4.7,2.34,15.079367521367525
3.2600000000000002,1.3399999999999999,1.58,4.9,1.4085861224489795
4.38,3.58,1.06,2.8200000000000003,5.894051063829787
2.1,3.46,1.74,2.42,5.224314049586777
4.300000000000001,4.62,3.58,1.38,51.53643478260871
1.74,4.34,1.38,2.74,3.803360583941605
2.38,1.98,4.5,3.3,6.426
3.7,2.54,1.26,4.7,2.5194638297872345
4.859999999999999,4.98,3.86,4.02,23.239504477611945
3.98,2.3,3.62,3.9,8.496789743589744
3.14,3.5,4.9399999999999995,2.3,23.604608695652175
3.54,4.7,2.74,1.58,28.85324050632912
1.1400000000000001,4.54,3.5,1.62,11.181851851851851
2.2199999999999998,3.02,2.98,1.78,11.224220224719101
1.3,1.1,3.02,4.34,0.9950691244239633
2.14,1.38,1.1,2.58,1.2591162790697674
1.38,3.1,2.5,3.18,3.363207547169811
2.54,2.98,3.8200000000000003,1.18,24.50368135593221
4.7,3.62,2.62,3.46,12.883433526011563
3.9,4.42,2.9,3.66,13.658524590163932
2.7800000000000002,4.58,1.7,1.3,16.65006153846154
4.140000000000001,1.1400000000000001,4.66,4.220000000000001,5.211690995260664
2.1799999999999997,1.8599999999999999,2.8200000000000003,2.06,5.550745631067961
2.8600000000000003,3.38,2.46,2.14,11.112302803738318
3.18,1.82,1.98,2.1,5.45688
1.3399999999999999,4.66,4.18,2.38,10.967055462184874
3.66,2.02,1.82,4.98,2.701932530120482
1.1,2.14,4.46,1.7,6.17578823529412
1.9,2.5,1.3399999999999999,3.62,1.7582872928176794
2.7,4.26,2.34,3.5,7.689908571428572
3.5,3.7,1.02,3.86,3.4220207253886015
2.9,4.78,3.1,4.9399999999999995,8.698825910931175
4.98,2.1799999999999997,2.02,2.7800000000000002,7.888463309352516
1.6600000000000001,1.06,1.62,4.140000000000001,0.6885391304347827
1.22,3.74,3.22,3.34,4.398867065868264
3.22,2.8200000000000003,3.3,4.1,7.308614634146343
3.42,3.86,1.5,3.7800000000000002,5.238571428571428
3.8200000000000003,3.54,1.78,2.98,8.077377181208055
1.06,4.5,4.38,1.5,13.928400000000002
3.74,3.94,1.8599999999999999,3.02,9.07556821192053
2.46,2.8600000000000003,3.7,2.8600000000000003,9.102
3.7800000000000002,3.42,2.06,4.26,6.251374647887324
1.18,1.42,3.7800000000000002,2.2199999999999998,2.8530486486486484
2.62,3.34,2.14,3.22,5.81574906832298
1.62,1.3,4.9,1.1400000000000001,9.052105263157895
3.06,4.0600000000000005,1.22,1.8599999999999999,8.148812903225808
4.18,2.7800000000000002,2.26,2.94,8.932688435374148
3.38,3.14,1.1400000000000001,3.98,3.0399618090452267
1.54,4.38,3.98,3.74,7.178047058823529
4.9399999999999995,1.6600000000000001,4.0600000000000005,1.82,18.2932
1.46,4.18,3.18,3.06,6.342125490196078
4.9,4.9,1.9,4.78,9.543723849372386
2.42,3.06,3.42,2.9,8.73302896551724
2.98,2.34,3.9,4.42,6.152823529411764
2.3,4.46,4.42,1.42,31.929830985915494
1.98,4.140000000000001,1.42,4.38,2.6575397260273976
1.58,3.7800000000000002,4.34,2.02,12.8317900990099
4.1,2.38,4.02,3.7,10.601935135135133
4.54,3.2600000000000002,4.98,2.54,29.018107086614176
4.26,2.06,3.2600000000000002,3.54,8.081484745762712
2.66,3.18,4.300000000000001,4.58,7.941668122270743
2.8200000000000003,1.74,1.6600000000000001,2.5,3.2581152
4.46,1.9,3.34,2.7,10.48265185185185
1.42,2.58,4.859999999999999,1.54,11.561750649350646
4.58,4.300000000000001,2.58,4.62,10.997948051948054
3.86,3.66,3.14,2.1799999999999997,20.348928440366976
3.02,4.74,3.38,4.300000000000001,11.25209860465116
2.26,3.9,2.8600000000000003,4.54,5.552431718061674
1.5,1.02,1.46,1.74,1.283793103448276
4.78,3.3,4.82,1.98,38.39933333333334
3.46,4.82,2.54,1.94,21.835096907216496
