gamma,pr,V,E_n
3.3049999999999997,3.5,3.46,5.253796095444685
4.805,2.9,1.8599999999999999,1.4176084099868593
4.955,1.18,4.34,1.2948672566371677
4.925,1.58,2.2199999999999998,0.893656050955414
3.965,2.98,3.1,3.115682967959528
4.775,2.38,2.46,1.5509403973509932
4.295,3.3,3.18,3.184825493171472
2.435,3.74,2.26,5.890174216027874
3.215,4.1,3.94,7.293002257336343
2.705,1.5,2.7,2.3753665689149557
3.665,2.06,3.5,2.7054409005628517
4.595,3.2600000000000002,1.3,1.1788595271210016
4.234999999999999,3.58,3.38,3.7404636785162295
3.515,4.38,2.42,4.21455268389662
3.185,3.14,2.8600000000000003,4.110022883295195
2.135,1.54,4.7,6.377092511013218
2.4050000000000002,3.62,4.46,11.491245551601422
4.355,3.1,4.9399999999999995,4.564530551415796
3.755,2.02,1.5,1.0998185117967334
4.655,4.140000000000001,4.26,4.825280437756498
3.605,1.42,1.22,0.6650287907869481
2.375,2.8200000000000003,1.06,2.173963636363637
4.984999999999999,4.18,4.54,4.762158092848181
4.265000000000001,2.5,1.3399999999999999,1.0260336906584988
2.915,3.98,4.300000000000001,8.936814621409923
2.795,3.94,2.5,5.4874651810584965
4.505,4.82,2.98,4.098031383737518
3.0949999999999998,4.300000000000001,2.3,4.72076372315036
2.585,1.1,3.98,2.7621451104100947
3.395,3.22,3.06,4.1140709812108565
3.6350000000000002,1.06,1.58,0.6355977229601517
4.415,2.7,1.46,1.1543191800878478
2.285,1.74,1.74,2.3561089494163423
2.975,3.8200000000000003,1.02,1.9728607594936707
4.835,2.14,3.2600000000000002,1.8191395045632337
3.455,1.98,4.38,3.53254582484725
2.315,4.9399999999999995,4.74,17.806539923954375
2.075,1.22,4.02,4.562232558139534
2.765,1.3,4.859999999999999,3.5796033994334273
3.335,4.34,3.54,6.579700214132763
4.445,3.42,4.58,4.5467634252539915
2.825,4.98,1.18,3.2199452054794517
4.025,2.58,2.58,2.2004628099173553
3.545,2.1799999999999997,2.94,2.5183497053045185
3.065,2.46,2.62,3.121162227602906
2.735,2.26,4.62,6.017982708933718
4.085,3.66,2.74,3.250696920583469
2.255,3.02,2.54,6.112191235059761
3.125,1.26,3.14,1.861835294117647
4.055,3.06,3.34,3.345466448445172
3.7249999999999996,2.42,4.42,3.9252844036697248
3.935,1.7,1.26,0.7298126064735946
3.785,2.66,4.66,4.45084380610413
4.475,2.3,3.3,2.1841726618705035
2.645,1.9,4.78,5.520972644376899
2.045,1.1400000000000001,3.8200000000000003,4.167272727272728
4.625,4.58,3.42,4.320993103448275
4.6850000000000005,4.26,3.7800000000000002,4.369823609226594
2.165,2.7800000000000002,4.18,9.974592274678113
2.855,4.74,1.1,2.81078167115903
3.035,3.7,3.7,6.7272727272727275
2.525,1.94,1.6600000000000001,2.111737704918033
2.615,3.38,4.140000000000001,8.66452012383901
4.865,3.34,2.66,2.298680465717982
4.535,4.66,2.1799999999999997,2.8737765205091934
2.015,4.859999999999999,2.1,10.055172413793102
4.385,1.02,2.02,0.608685376661743
2.3449999999999998,1.38,3.74,3.8373234200743505
3.995,4.78,4.220000000000001,6.735091819699501
2.195,4.0600000000000005,4.98,16.919497907949797
3.425,4.62,2.34,4.4580618556701035
3.8449999999999998,4.220000000000001,3.9,5.784885764499123
3.6950000000000003,2.94,4.5,4.909090909090908
4.145,1.3399999999999999,4.9,2.087758346581876
2.105,1.82,2.14,3.524705882352942
3.365,4.7,3.62,7.194080338266384
4.175,1.78,4.1,2.298582677165354
3.575,2.1,2.9,2.36504854368932
3.245,3.18,1.1400000000000001,1.6147884187082406
3.005,3.7800000000000002,1.54,2.903341645885287
3.875,3.46,2.8200000000000003,3.393808695652174
3.485,1.8599999999999999,1.94,1.452072434607646
2.495,2.62,3.58,6.273979933110368
4.5649999999999995,4.42,2.7800000000000002,3.4467321178120627
2.675,3.9,1.7,3.9582089552238804
4.325,2.8600000000000003,3.66,3.1481503759398497
2.225,3.86,1.78,5.6088163265306115
4.745,4.46,2.06,2.4532977303070758
3.275,2.54,1.82,2.032
2.465,1.46,1.42,1.4151535836177473
2.885,2.34,3.02,3.7489655172413796
4.115,4.9,4.0600000000000005,6.386516853932585
4.205,4.02,1.9,2.3831513260530417
3.1550000000000002,2.2199999999999998,1.62,1.6688631090487236
3.815,1.6600000000000001,2.38,1.4034813499111902
4.895,1.62,3.86,1.6054428754813868
2.5549999999999997,4.54,1.98,5.780836012861737
3.9050000000000002,2.74,4.82,4.546230636833046
4.715,3.54,3.22,3.068317631224765
2.9450000000000003,4.5,1.38,3.1928020565552693
