n,T,V,kb,pr
4.492797797057656,4.161783794947897,2.8853240663709108,2.9287668515330885,18.97957967547081
3.544673365570623,4.388088590641531,2.5539773112558097,3.5175347708687585,21.42263918928696
2.9581136995618817,3.7401563517471534,3.7086876195619274,2.2517539163086493,6.717463148498662
4.425979137119724,2.0071303169956267,4.07285529338519,2.578966084434628,5.625117311371274
2.366818597166015,4.825140024331438,4.6451525251242645,2.3474677353269637,5.771311920197248
4.5589329767437565,3.4077157104910185,4.119855630453914,3.823152522378652,14.416710934935614
1.5321842050847452,1.3208441389245462,4.170307427124694,3.0593817007822244,1.4846638962452778
4.854987865384353,4.971114125966963,2.7657614320320723,2.775009335562693,24.215398187124055
3.0768036034637505,4.0717139679168435,3.1835447037149422,3.451369824017368,13.581807863117687
3.8976546371825207,3.5091054977750615,4.842544145903086,1.5044811654566632,4.249256488788147
3.735730343830044,2.4462452367622656,4.203936841285918,3.2335429899308434,7.0290716394009385
4.304120567092543,3.794141008888908,4.384990379884421,1.4715649335486356,5.480354866888018
1.6092895528679558,1.7516758920572428,1.0191546025915423,4.818285294717164,13.327245138050833
1.9302852432485158,2.800810986430128,1.0901722732382426,2.910853040224957,14.435453744900794
3.2596022150533988,1.3808998150140297,2.6011657857445787,3.604302805285336,6.237061302459525
1.8756620879759318,3.6350939955470007,4.882763674769529,3.83913948490576,5.360908958195467
4.814356731704264,2.8588982176838,1.5953429340514669,3.3342602545327615,28.76619390275815
2.3730459801309096,4.178972582932853,4.599020429681894,1.1719250585485583,2.527028714826165
4.207918742377176,3.9684854071699602,1.851655805369794,1.1730970385410409,10.579516243292655
1.7595240514809265,2.5810893972601647,4.85590316116687,1.604498700777206,1.5006092080667746
4.634336104580225,4.922710997237756,4.448852644819565,1.7624610098973157,9.037813277464128
3.814078996370122,2.292497356155605,1.3927468683226032,2.8385891708441364,17.820869023709964
4.05317596638232,1.0019202260064564,1.1910094355116592,1.0938761002986954,3.7297655588388814
2.346556223935507,3.617483434876585,3.3742107557044747,3.114770353072035,7.83594433931576
2.493407591573072,3.2288302045381427,3.715369030023998,4.472378370115224,9.691144438675764
1.7590532097148708,1.7194043684355025,4.954844478173773,4.5723505196276975,2.7910427676290768
4.341488389655488,4.996632916266589,3.0024827117187525,3.308524026819834,23.903960695499052
2.6066188530131176,3.2674335824838723,2.760433695662245,3.90366459062026,12.044242074163227
4.454276617200487,2.631873978051863,1.4129980271027789,4.522837048837074,37.524218795055035
1.664593187991014,1.2986656044833214,1.6889303802521083,4.690909346699048,6.004139079638988
4.835490146217755,2.9312137140820718,2.6758072170962985,3.732010557042228,19.76860525352617
