epsilon,p_d,r,x,y,z,Ef
1.1521305594317772,2.770099167743401,1.9609873194962901,1.3539130683920249,1.4191354814133572,1.340614895777906,0.05204723854171652
2.0029691704811503,1.0008186899621565,1.2118459460003983,1.610063655369966,1.777960243524657,1.510228964566083,0.1653340627425168
1.1482978984391152,2.0196390394535157,1.485744458031241,2.888280802266196,2.9186788783303417,1.7102772008351168,0.40730172767932815
2.1885276528418034,1.5370548334764034,1.4432895721315793,2.3524436839100904,1.0482630461398013,2.4648618439534515,0.16995107109618734
1.3395159483965289,1.9928788735157368,2.3869909026979936,2.28746224266632,2.8462650863101,2.1440588528758115,0.035884158457565804
2.7421025305484754,2.3953387332950125,2.0306964376113967,1.3166044424345853,2.769170994268032,1.3124313827599208,0.02430248484529389
1.168686863358407,2.799215436079193,1.4943858435961717,2.2249124313041357,1.383049934910607,1.5090905343326784,0.30332632196872195
1.164843719748625,1.0295698992078623,1.4468593475767453,1.841347700938308,1.4427890111997448,1.4731623764678066,0.11468316012434285
2.3278348117978265,2.7605065457127758,1.0969232893798055,1.6696940315741726,2.0321805537502278,1.934306829063136,0.9069241020780712
2.8368520539676516,1.4330575616015755,1.7031076764899238,1.4550119331226654,2.417661450727965,1.8971898860210488,0.045056109866174095
1.6943609473492487,2.8550864614768514,2.1843046091385845,2.017419953848579,2.531913137290727,2.9239411526201886,0.07658077143681244
1.9404688759439293,2.692286430207296,2.6403093282685286,1.7655554738081474,1.1027259165778291,1.493548276583096,0.008025555111106177
1.1357389929225508,2.8882124498956108,2.0659890605179743,2.456169277650029,1.0789505313390622,2.7298933430084382,0.11812460491867342
1.2568994311355344,1.5054409516892515,2.0225168859704117,1.6377633907638305,1.660448089395424,1.1501540701568842,0.02266436728287156
1.0140941834704396,1.5222852863629102,1.7751199243087727,2.73981139104825,2.3009478728811774,2.073630638676478,0.15084911853686356
2.7152384032041867,1.4447391767274071,2.7550199109517,1.568574851117461,2.570246728220013,2.590206355991149,0.006242027010334683
2.0915659223008616,1.0104947453011528,2.022040455429809,2.594176185376019,2.7299479392495067,2.357337107583726,0.03029149622519973
2.453806585458696,2.2557269512218427,1.6659474783797763,1.7012121307365828,2.4086456029447127,1.6665657585248217,0.08404767454733031
1.8746193583223825,1.804202915533615,2.599932341631191,2.167318711175585,1.1393436551484977,2.8332998541103303,0.013417578160481804
2.5020659930784754,2.9944933684331208,2.6229723890246524,1.8972719772834956,1.3753014835384931,2.4977798019743185,0.013469486035661131
1.9516147524854728,1.7700347106372651,2.3488409808944457,1.6298967874420138,1.649720289170454,2.0901926645243494,0.01468024817353573
2.79077923963819,1.6139001973126506,1.139598818637118,1.9029151231827444,1.4280443979794482,1.5311879790369345,0.2616703878109065
2.230556215170213,2.178345546070368,1.497954391191181,1.106532982229831,1.9606031411492544,2.75147679128052,0.19148399170604624
2.7269062953149006,1.1811490405570502,2.4712282016994505,1.22554481221912,2.299983032155456,2.9437637766566533,0.00860755178621561
1.7881941485521613,1.3171992039188616,2.7973245169179477,2.3850610083829804,1.1054730491101827,2.2200255676424048,0.00599169030638916
1.310314152672189,1.153975819823776,2.4821539326216517,1.8448726223846332,1.47388720101652,2.7098011518205416,0.014278545308777422
2.8291369740821577,1.3391449956267258,2.042179962011641,1.7781262370120694,2.5161625934596192,1.2792056511235776,0.012538704387092705
2.6824938360633857,1.6634740828848071,1.6359188865005518,1.9215878442749383,2.7809108873016286,1.9397015096511137,0.08284403009045672
2.1010199593026906,2.105269500405368,1.6134845360136525,2.25676956388173,1.5000709284889011,2.7766329412179536,0.16459880007429192
1.7324957237337475,2.865139824047451,1.815303713858677,1.39541339776373,1.24353911302762,1.556982332537191,0.05828500653650129
2.7701418500753325,2.4207793111101847,1.5028021188640088,1.402977676753011,1.8439677762276852,2.332810479951977,0.14711741773803516
2.4103274480229686,2.6145685138947448,2.731214619215079,2.4846870159723933,1.3026860901268378,2.2072039737563056,0.010551259189373064
2.1887049374679206,1.2497997326683756,2.5066539096338483,2.3327828250577527,1.8669255087812533,1.5300660219543278,0.006297419594279201
2.1914966745968587,1.3888588046036474,1.7743210925516033,2.49785745804572,2.001162173111876,2.117078827309144,0.058295922221337976
2.6514985031024283,2.05360521458673,1.5734566841064166,1.1471035822345188,2.168661392741693,1.3445380292837512,0.06324061155814256
1.6163869817211074,1.4777845190898742,1.2296769866070878,1.7281634675022115,1.4065605642671068,2.868597565597102,0.49619171100124
1.6186418862764869,1.6857639551044348,1.3806636839583644,1.6027340488596309,1.7141244410789571,2.879584687823264,0.3348917419735725
2.9893968143996035,1.4048162951169816,1.9771138286576648,1.2943863998300358,2.3569125653472667,1.1196830562141378,0.01118066026422586
