epsilon,c,I,r,B
4.7043559720432935,2.3082915051149677,2.7573264800793225,2.127274484495253,0.0082300658272253
2.0342873613130106,3.025875891307448,2.9431054133468764,3.624981423635488,0.006937542244412611
1.3452258223409783,3.050855952128236,1.6725955900343001,1.166764934181043,0.018221709140590757
3.846048756557425,3.3654733745512866,2.852612264784128,1.2877411570867534,0.008093329032337818
1.3927758660886682,2.8642092955407543,2.808387866138611,1.813171022508336,0.0215748466451565
3.356548707349831,4.84318497649841,2.58726044457345,1.235668296295501,0.004232561818119525
3.3426195427481598,4.4923949330560085,2.354628052817128,2.140116400102496,0.0025957463078870365
1.5347166342457077,2.1308065522313786,3.3060285052973475,4.065250375689644,0.018574758646402168
1.1873042516097545,2.1895028700222947,4.878733552919479,4.591979486286925,0.029708055870133424
2.3047418960031902,4.909979348135373,2.4564764721295225,1.9514728165125221,0.0036056918395697616
2.5540021025938158,1.0268159918927005,3.465012464999873,1.195837007364263,0.17125625605664754
1.4644142289077309,2.8758327300247832,3.4035168996592584,3.102859490104344,0.014414339583678987
1.5277254718062758,3.0317409332118768,3.1157278353974798,2.345404263004142,0.015056791659618984
4.7927184885564165,4.710249915522316,1.6625944659725724,2.5795389455326343,0.0009647050494493664
3.973877110198816,3.3491510175407773,2.131493610635612,1.8928298351873791,0.0040207650810213744
3.043828645929436,4.563184768059823,3.66519042169614,4.464785176131537,0.0020613882620467644
3.7827570063673406,2.8874994563735585,3.3180729253874435,1.7130448093165107,0.00977428658656678
2.043712017509776,4.310131053509294,1.4810446934660666,4.054777683794091,0.0015311600835729634
2.6955571574717627,3.8466008151756936,2.6972453645686807,3.787914444091779,0.0028414344526833005
4.429393558422895,2.9036956883633445,2.4689410070589077,3.1165017989085277,0.003376113150638529
4.485585857971511,4.860825963098499,3.0209935932428436,3.9272715778092198,0.0011551534611629805
2.9866024961012414,3.6734257530476433,3.631648514010668,4.651347755838384,0.003083366671362352
1.425622498893989,1.2238482571317122,4.793919160569689,2.2321220017943313,0.1600785793931316
3.40435535411777,2.765855111616238,4.45974283121779,1.0561195975639683,0.025806143490540646
1.8175095381141435,4.610205372666464,2.8780559251127014,1.184099801839122,0.01001414344886057
1.3893672017588092,1.074017627477153,3.2954134225018836,1.950753900713301,0.16775972007718862
4.7630699927489495,3.431204144610224,4.723753761862657,3.2102936748984705,0.0041762120313274175
2.2662909363445127,2.4897851987706017,3.1511077114456003,4.1123544212804,0.00868067345668339
1.7903856669157157,4.8325676789642396,3.7245688931622616,3.245587468872524,0.0043681781612300045
2.3635070467195414,2.4242410399358008,1.4242557180514082,1.1506978932899332,0.014182026275287094
3.862734732234032,3.949230118444928,2.4332245873642067,1.9081213505922603,0.003368810417234753
2.319857296213376,4.868232889952272,2.8658436351094485,4.7564295656320015,0.0017441650903406898
1.4628866313533324,2.4753743962166004,3.2393559729901678,3.6514980119036378,0.015751259198236816
3.1709541824688263,3.946418290123527,4.310639960728027,3.11472994767582,0.004460107087812629
2.285655667913117,1.7749723576298146,3.3750213967655736,2.7755759286516835,0.026875067075877383
3.8487774367057384,4.334660900103953,4.960556578235073,1.0813788060779397,0.010095774251476262
1.445107371088528,4.6783727053207835,3.8741702932234654,2.063678981129973,0.009446413385551595
3.5729115827370457,3.6545272275506986,4.013705061627335,3.990437415195141,0.0033547519277034184
1.7718831774737749,1.0758808352564435,1.037639629658226,3.6975317797278686,0.021776663406402004
1.25130687679207,4.970943025693788,2.6635833450591093,2.6370056489702898,0.005199169303180849
3.4386915407551517,1.3724645862469318,3.0112251893848567,2.692375540023184,0.027480979958900385
3.296990875936632,4.140541627883788,4.640900980154309,1.1763301507616482,0.011108646565614905
3.6007672779830995,4.314668900341822,4.268204474504398,4.640362611625124,0.00218385312934917
2.324149350935546,3.54168941445134,3.4706770195595755,2.897348852478073,0.006539560519496686
4.2450873733996035,1.8380576969515252,2.978999856113475,4.215820181997806,0.007841580807044744
1.6626942145185395,2.9433995550289263,4.828814512874484,3.9875419187168353,0.013379644307111948
4.485849832421081,2.8249329397117164,4.225299079756052,3.336546402958942,0.005630142681482732
2.0741994514075954,3.539290002021266,1.7823356081833306,3.188538143374815,0.0034240112666150393
1.3513674131811393,3.8867363074333054,1.9827863170814208,4.2615440479781475,0.003627316625654822
1.7049488135996742,2.4718963631836317,4.954385936428402,2.6211788852872973,0.02887629320058657
3.2547469931726005,2.832891382449339,3.6491813823409562,1.2115720116123845,0.01835224797946409
1.85751543913064,2.2727187766205463,4.659349547192484,1.8460053543930728,0.04186861895205776
1.1498518782117366,2.6870986398678656,4.299146881754638,4.533504963121012,0.0181785484551534
1.6165911747141581,4.989908493283072,3.310028979616405,3.8346302517442115,0.003413053273444144
3.6098747898961503,1.2638641088398892,3.0337528746168534,2.168283053588665,0.03861814924309758
4.853208570945557,2.4731296462480628,4.062944887131811,1.501703533715809,0.014506215911654753
1.4023792835478686,4.645647840715787,3.3470339979998176,1.8509214239038283,0.009508986148396034
4.129755967835958,2.841528579291537,2.8674356096699034,3.0552413291976834,0.0044796062243503
4.125416791068367,2.9783110231252934,3.580459424772982,4.21052416977283,0.0036984077780198537
3.736297330790793,4.2687133838461655,4.562157458408071,2.6373006566806843,0.004043852795704324
1.284709148450867,3.4153281740209374,3.4887408258554053,1.367209720623121,0.0271009180742363
2.664636423459372,2.5745842672317774,1.094544554507415,2.013064224680563,0.004899409763768534
1.2995710316385636,4.721592170122255,1.16819238444623,1.8515443928341484,0.0034659588897466816
3.4074082543584203,2.3053870389740467,1.6988881185622065,1.481928185168528,0.010075019307547759
2.1937695059924907,2.5121878887162703,3.7790175621150732,3.4247738768982865,0.012684457837193307
4.371247345959668,4.166921405082742,2.932876853680209,4.487036440322567,0.0013706240988611913
1.7228980757368366,4.5163745172313705,2.714480015721596,2.011225887813315,0.0061123251282549605
2.0534296072369718,2.0531238986173506,2.240997299444647,2.7033280225652905,0.015242372903621003
4.035025057727092,3.2640261335600127,2.368228971261507,4.472054418329474,0.0019605740544065297
4.2494559054649494,2.867517696574037,4.267165582585367,3.5600649947506064,0.005459541350027125
3.005083096390723,3.876371433202873,4.778003590527675,3.2739413571098734,0.005143851863835181
2.5264930096598044,4.457391532835207,3.1483743180634334,4.673425903269322,0.002135951872482387
1.050851381165543,2.802961235371489,3.7483108504294185,1.6038660896704835,0.0450517996397098
4.676970313402358,2.492633092588433,1.256778169162568,3.3456562400369414,0.002057387598265132
2.8484785935289865,2.5342684660091845,2.0271082739809243,3.1890413531060604,0.005529918460849831
