omega,c,d,k
4.53,1.025,3.41,4.322420173230655
4.89,1.2349999999999999,3.0700000000000003,3.824992610619494
5.67,1.415,2.35,3.7774891976527862
4.41,1.335,3.69,3.1917723038310215
5.13,1.455,2.63,3.3172570005616016
5.390000000000001,1.385,3.59,3.7920326422884374
5.97,1.9649999999999999,2.37,2.733740628676066
5.41,1.815,2.59,2.7227509675786106
4.67,1.5550000000000002,2.45,2.7157050613798908
4.33,1.635,2.13,2.1995866365112433
5.95,1.435,3.49,4.047448805826509
4.75,1.565,2.23,2.688386108857375
4.65,1.975,3.45,2.1712065987747007
5.93,1.125,2.19,5.072156618979881
5.03,1.725,2.03,2.471377358842613
5.71,1.7650000000000001,3.19,3.0815854629141857
4.47,1.475,2.29,2.702210560358092
5.47,1.545,3.21,3.4024954409921846
5.37,1.245,3.9699999999999998,4.240040491844692
5.59,1.745,3.01,3.0286414888135584
4.13,1.075,3.73,3.7484005524438024
5.07,1.645,3.87,2.973238590806463
4.45,1.165,3.31,3.6999460512790194
4.37,1.695,2.17,2.1333118073757977
5.83,1.445,2.81,3.8766067435081983
5.3100000000000005,1.705,3.89,3.007834392733119
4.35,1.135,3.27,3.710230533311207
5.49,1.405,3.51,3.803583825076655
5.53,1.2850000000000001,2.55,4.123385998640025
5.55,1.505,2.89,3.5238468025363474
4.97,1.225,3.99,3.9800077929829776
5.75,1.655,2.43,3.224821695871026
5.65,1.945,3.79,2.7841068095512695
4.69,1.885,3.83,2.348964805760806
4.31,1.875,2.25,1.8260112151379326
5.890000000000001,1.105,2.71,5.202729522909085
4.61,1.425,2.61,3.0028250386090507
4.23,1.215,2.83,3.299755100370926
5.63,1.955,3.75,2.7552464481512366
5.01,1.8250000000000002,3.71,2.6113404641708753
5.43,1.675,2.75,3.0338321511989172
4.43,1.035,3.67,4.193719620029204
5.57,1.525,3.0300000000000002,3.5022052987971697
4.15,1.065,2.39,3.6683150529746005
4.77,1.995,2.33,1.9745374521446606
5.45,1.345,2.09,3.7629233887342433
5.1899999999999995,1.325,2.15,3.6342287420490074
5.61,1.495,3.39,3.636275919356532
4.79,1.175,2.27,3.8344860637143845
4.95,1.665,2.11,2.5732714234905067
5.05,1.865,2.49,2.395871106518034
4.8100000000000005,1.275,2.21,3.4944762066100643
4.63,1.595,2.91,2.6945997102923567
4.21,1.7149999999999999,2.77,2.177108329369351
5.8100000000000005,1.365,3.4699999999999998,4.159008891229655
5.85,1.095,3.33,5.258507082174023
4.07,1.375,3.85,2.8453026401616794
4.83,1.8050000000000002,3.5700000000000003,2.527062704850944
4.87,1.935,2.69,2.229421826969638
5.17,1.7850000000000001,3.4299999999999997,2.747724564039481
5.29,1.155,3.63,4.497575459495783
5.77,1.055,2.73,5.346758158178959
4.49,1.305,2.4699999999999998,3.1968873528924
5.35,1.295,2.05,3.836524215916511
4.03,1.465,2.51,2.4496151848671293
4.71,1.795,2.65,2.3408793353833866
5.25,1.755,3.17,2.822522508513152
4.01,1.855,3.6500000000000004,1.9829858846709614
5.91,1.575,3.35,3.633306329116435
5.87,1.085,3.6100000000000003,5.339687777053899
5.11,1.195,3.1100000000000003,4.155122642924036
4.51,1.615,3.95,2.676916085113755
5.73,1.185,3.55,4.753773535111213
5.09,1.895,3.25,2.5060488080710486
4.27,1.4849999999999999,2.07,2.4422735067158405
4.09,1.355,3.91,2.909547597118807
5.99,1.625,3.77,3.590726730465306
5.15,1.605,2.01,2.8023188100345093
4.05,1.9849999999999999,3.15,1.7799337669984991
4.93,1.2650000000000001,3.37,3.7840964936279757
4.85,1.685,2.95,2.674082993207357
5.21,1.925,2.87,2.475255297999102
4.57,1.115,2.9699999999999998,3.959808306650305
4.19,1.845,3.05,2.023978934890802
4.25,1.045,3.81,3.9825199062209804
4.99,1.7349999999999999,2.5700000000000003,2.603373759601373
4.17,1.395,3.13,2.8157021020203703
5.6899999999999995,1.015,2.41,5.452243487360905
5.27,1.255,2.5300000000000002,4.011408549509971
5.79,1.005,3.5300000000000002,5.692039246000897
5.33,1.5350000000000001,3.29,3.3384334583893516
4.29,1.585,3.23,2.5258283773957606
5.23,1.915,2.79,2.488137366365645
5.51,1.5150000000000001,3.9299999999999997,3.548025457015068
4.11,1.775,2.99,2.0633800887945637
4.91,1.205,2.85,3.922753417297069
4.73,1.905,2.31,2.0773535734620925
4.39,1.145,3.09,3.696803038882805
4.59,1.315,2.67,3.2861985033349175
4.55,1.835,2.93,2.23575285022702
