mom,B,theta,E_n
2.5,3.5,4.38,2.8551440588447305
2.3,4.66,3.5,10.036942774382755
1.02,2.38,3.46,2.305577194687791
1.26,3.14,4.46,0.9879841520880335
3.3,1.1,2.34,2.5248948750603346
2.66,4.300000000000001,3.62,10.153847181845345
3.22,3.06,2.26,6.265874696464025
2.62,2.06,1.82,1.3311239033637912
3.74,1.6600000000000001,2.66,5.502246302128153
1.74,4.46,2.54,6.3979476142507155
4.78,4.34,3.94,14.477003071863932
3.7,4.58,3.34,16.61354907006978
4.62,4.859999999999999,3.9,16.299503212666586
4.140000000000001,1.42,4.220000000000001,2.7790993452540484
1.58,2.2199999999999998,1.94,1.265797714378247
4.300000000000001,2.98,3.7800000000000002,10.29022972269193
1.82,3.42,3.38,6.04834484224016
3.14,1.78,3.86,4.207856867353927
3.42,1.58,1.26,-1.6525122461129242
2.1799999999999997,4.0600000000000005,4.42,2.5511601923692044
1.6600000000000001,3.58,4.9,-1.1084057090044834
2.7800000000000002,3.18,2.74,8.137054395324785
3.94,2.42,1.42,-1.432369810513942
2.8200000000000003,2.58,2.8600000000000003,6.98904380627541
3.86,2.8200000000000003,3.14,10.885186194600614
3.98,2.5,2.7800000000000002,9.306579131901351
2.26,3.34,4.58,0.9964083681337671
1.8599999999999999,2.26,4.1,2.4163299416472497
1.18,1.62,3.98,1.2781873970446662
4.26,2.34,4.9399999999999995,-2.2493774872474352
4.5,3.1,4.0600000000000005,8.468856752268415
1.06,1.74,4.300000000000001,0.7392339929843053
2.58,3.86,4.18,5.055018421369184
2.98,4.78,4.02,9.093309526887811
1.1400000000000001,3.3,2.2199999999999998,2.27432564371993
4.42,4.38,4.54,3.3208762195773955
3.06,3.9,2.5,9.560847907937106
1.3399999999999999,1.94,3.58,2.353752941091245
3.7800000000000002,2.66,1.54,-0.3096019627823804
3.58,4.140000000000001,1.58,0.13640755549566214
1.7,3.66,4.98,-1.6452725588323551
3.66,2.7800000000000002,1.62,0.5004355512123027
1.5,2.54,3.1,3.806704922541195
3.9,4.42,3.06,17.18065203061321
1.22,4.220000000000001,2.58,4.3576471593953
1.38,4.98,1.78,1.4272669154562059
2.38,3.74,1.38,-1.688030967548284
4.18,1.1400000000000001,3.18,4.761685800964122
4.58,4.7,4.140000000000001,11.659381211055232
4.859999999999999,4.9399999999999995,4.5,5.06086987105393
4.98,3.54,2.3,11.745913234346276
2.94,4.02,1.3,-3.161515155748272
2.74,3.7,1.3399999999999999,-2.319095965562164
2.34,2.46,1.18,-2.1927556589855186
2.54,1.8599999999999999,3.3,4.665249424957441
4.54,1.54,3.22,6.97011983636317
4.38,4.9,1.5,-1.5181618221922397
1.98,3.98,2.14,4.24723180584791
1.46,3.38,2.46,3.8322190351800947
4.1,2.9,2.02,5.1632128353465925
3.34,4.18,3.66,12.126830066918396
2.9,2.02,2.8200000000000003,5.557679195982922
1.62,2.8600000000000003,4.66,0.242617606777792
3.5,4.5,1.7,2.029300785154513
4.46,1.18,4.34,1.9148261496873702
2.2199999999999998,3.2600000000000002,2.1,3.653672228210089
4.7,2.74,1.02,-6.739906720218744
3.2600000000000002,2.1799999999999997,4.62,0.6556563258901295
1.3,1.02,2.7,1.1987996603146232
3.62,1.26,3.74,3.7686178258613707
4.66,3.62,4.78,-1.1396750588709887
4.9399999999999995,4.1,3.02,20.104458980162047
2.42,1.46,4.74,-0.09754285947002014
2.02,2.1,1.74,0.7143419741999847
1.78,2.94,4.859999999999999,-0.7696757869522693
1.42,1.82,1.1,-1.1722738162122621
4.02,3.02,1.98,4.830408679359096
2.7,1.3399999999999999,2.06,1.7001818254664647
3.18,1.9,1.46,-0.6680626096728605
2.1,4.26,2.62,7.756421050054148
1.94,2.7,3.2600000000000002,5.20132371622461
1.9,3.7800000000000002,2.9,6.97342154210436
3.46,1.3,3.8200000000000003,3.5020221709287043
3.38,4.82,1.06,-7.964508408838969
2.06,4.54,4.7,0.1158637361703377
4.74,1.7,4.82,-0.8654569856752149
4.0600000000000005,3.94,1.9,5.171469227375345
2.8600000000000003,2.14,3.54,5.641050480737488
4.220000000000001,1.06,2.42,3.358275497858067
2.14,3.8200000000000003,2.1799999999999997,4.677739673804498
4.9,1.98,2.94,9.505524056385758
3.1,4.74,1.22,-5.049530596367996
3.54,2.3,1.6600000000000001,0.7253334646966507
2.46,4.62,1.1400000000000001,-4.74604505638753
4.82,1.38,2.98,6.564944902096964
3.8200000000000003,1.22,1.8599999999999999,1.3290950917054942
1.1,1.5,3.42,1.5864656907994932
4.34,3.46,3.7,12.73540931617617
3.02,3.22,4.26,4.250685397446062
1.54,2.62,2.38,2.920137592989124
