c,v,omega_0,omega
3.105,1.915,3.8200000000000003,7.845881433095004
8.915,1.995,4.98,6.253003486418033
8.635000000000002,1.225,2.66,3.06839304806863
5.0649999999999995,1.725,1.3,1.85355298889315
7.865,1.525,1.26,1.5334114870586866
7.655,1.875,4.82,6.1891294925403315
3.5250000000000004,1.635,4.0600000000000005,6.708415941520356
9.825,1.835,2.8200000000000003,3.406630213534294
9.545,1.945,1.74,2.1394516021389074
8.495000000000001,1.505,4.62,5.525904660559805
3.035,1.5350000000000001,4.859999999999999,8.482985795107757
6.255000000000001,1.085,1.78,2.120912544010799
7.095,1.475,2.26,2.79081271087628
4.715,1.5150000000000001,4.34,6.055622077871109
4.085,1.815,4.78,7.7062123803527065
9.195,1.2349999999999999,4.74,5.4258022587220935
9.475000000000001,1.135,4.9,5.526761793605854
5.205,1.615,3.74,5.154856325116204
6.465,1.415,1.9,2.3734004514557374
5.555,1.295,2.94,3.7281022623948017
7.7250000000000005,1.2850000000000001,1.5,1.7742332785482504
8.775,1.885,3.14,3.9056978213499973
8.285,1.4849999999999999,1.1400000000000001,1.3664623711484725
8.355,1.075,3.54,4.028964295784128
8.565000000000001,1.595,3.86,4.6603417957053
6.535,1.975,1.22,1.6666414910379264
6.045,1.795,4.5,6.111897750915592
3.175,1.425,3.18,5.155692554282666
7.234999999999999,1.675,2.5,3.1647649849668054
6.955,1.105,1.54,1.8076331977969915
5.765000000000001,1.905,1.06,1.4942040007492023
3.5949999999999998,1.665,1.46,2.4102776483154202
9.055,1.385,2.3,2.6833690318603822
3.245,1.645,2.1,3.6712480847798887
8.705,1.145,2.38,2.7166530333672916
7.585,1.445,1.82,2.20714607832715
6.605,1.655,2.98,3.8494943653273306
6.745,1.7149999999999999,3.5,4.5390945927211055
9.965,1.115,3.94,4.408536762258061
7.9350000000000005,1.865,1.6600000000000001,2.1092437958768095
8.425,1.575,3.02,3.6488974437142687
5.415,1.895,2.14,3.0839059869528507
9.125,1.2650000000000001,1.42,1.6326189952695678
9.895,1.185,1.1,1.2406620209738939
4.295,1.695,4.38,6.648150581465957
4.855,1.275,2.02,2.6432612749400626
9.405000000000001,1.165,4.1,4.643631456823002
6.324999999999999,1.845,2.74,3.7001777225656927
4.505,1.155,4.46,5.797231866454268
4.4350000000000005,1.205,3.38,4.466373016855689
8.004999999999999,1.705,1.38,1.7132408720650711
7.445,1.195,2.46,2.8923574882783765
6.675000000000001,1.005,3.98,4.632038416742665
6.885,1.175,3.2600000000000002,3.873174526235942
4.785,1.345,1.98,2.6431158937713986
9.685,1.245,4.7,5.348558072949721
5.484999999999999,1.585,4.66,6.2742716810961525
4.015000000000001,1.565,3.9,5.88570735089744
7.795,1.405,2.06,2.4717850715120058
4.155,1.545,2.2199999999999998,3.2807274214407234
4.925000000000001,1.455,2.7800000000000002,3.7695577217848037
9.754999999999999,1.055,3.3,3.678469509325106
8.145,1.325,4.220000000000001,4.972734279750809
4.225,1.495,3.7,5.355726796972521
5.625,1.955,1.94,2.788067606950454
7.305,1.305,2.7,3.2343701086919543
6.395,1.395,2.42,3.020640859155553
4.995,1.465,2.9,3.92307764945152
5.905,1.775,1.02,1.390931542852029
7.165,1.375,3.62,4.396410374341781
3.315,1.925,3.1,6.018938934669514
9.335,1.125,1.58,1.783410628928843
3.8049999999999997,1.315,4.18,5.9939289231474016
5.835,1.755,3.22,4.391841701315266
3.875,1.605,4.140000000000001,6.432468850030129
3.665,1.9649999999999999,2.8600000000000003,5.204700816400045
5.975,1.035,1.3399999999999999,1.5962478778214217
5.275,1.015,4.9399999999999995,6.002711515632422
3.455,1.7349999999999999,2.54,4.412179496232756
8.844999999999999,1.355,4.54,5.298037523662528
4.365,1.855,1.18,1.8575492572278907
8.985,1.7650000000000001,4.26,5.198107209317329
9.265,1.625,3.06,3.6533281821214367
5.695,1.335,1.62,2.0570717140384893
5.345000000000001,1.7850000000000001,2.34,3.3115828388968924
7.515000000000001,1.025,4.02,4.611398352037159
6.115,1.9849999999999999,2.1799999999999997,3.052980126258885
8.075,1.745,3.34,4.160067291957871
5.135,1.045,4.300000000000001,5.285682094850576
3.9450000000000003,1.8250000000000002,3.42,5.642168892484587
7.0249999999999995,1.065,4.42,5.149598863637423
9.615,1.255,3.7800000000000002,4.310259653142947
3.7350000000000003,1.435,3.58,5.367405170179493
6.1850000000000005,1.095,3.66,4.377114263197213
4.645,1.5550000000000002,4.58,6.487570391085405
4.575,1.215,2.58,3.386798424977278
6.815,1.685,1.7,2.188263929543493
7.375,1.365,3.46,4.172483030793881
8.215,1.935,2.62,3.3308455153509837
3.385,1.8050000000000002,1.8599999999999999,3.371072398202693
