q,epsilon,r,Volt
4.921193224502323,1.5230493200744322,4.907091846111209,0.05239892769222641
1.6817144637342545,1.2301638531401289,2.2073559276964545,0.049284126833814564
2.023085829992349,4.755346835687371,1.1421473154549289,0.029641496284917395
3.7689476289919037,2.7721661892885368,3.321413040743331,0.03257377483013308
2.3130154190486936,1.191405076778142,3.4556933541362835,0.04470684472108481
2.8869519810188593,1.8953162343924848,1.8381904840330818,0.06594129929582675
4.840194742249113,1.7726473704522818,4.043369446717051,0.05373870489418847
3.5133458706643665,3.639540036619352,3.542188105380721,0.021686672466053044
1.253136157142459,1.1258942053358476,4.986010562888313,0.017763871331983882
2.1934611842109697,2.9061816278101915,3.708809822849676,0.01619432206212325
2.7973096197006737,2.7722067030203053,4.521400652527389,0.017759554729608242
3.4984168758795637,2.346950630579832,1.8417534791263923,0.0644059873370219
2.2818488224964795,1.9811276034938643,4.408331871742363,0.0207917130571062
3.1941069502959283,4.045886234066609,4.146961275442568,0.015149417805232969
3.6259799559625776,4.785523075534082,3.981550311157618,0.015143766770255909
1.8090232556518564,1.3285728208740064,2.667041274660769,0.04062741453761879
1.4553895311093616,3.6306628891504036,2.0223920159324,0.015773138415557972
1.89377900055916,4.3589237061543376,1.3074996415000455,0.026442260921424737
1.067978194373083,3.2531889088405035,3.4114307209416848,0.007657846952385841
3.646281409554344,1.9498004317567528,1.6039319159022891,0.09278210634437756
3.806310449052397,2.529655131657916,4.691331949937175,0.025523302133297596
4.327307525804246,2.0257360187375992,1.8950486323429596,0.0897025287466029
4.786328373111163,4.288641091765306,4.064696355096577,0.02184966668153437
4.1847470643812565,2.4542802726391537,1.7288643615641468,0.0784827606137939
4.704990530880654,3.9853802595257526,3.745979963485493,0.025079199737058872
3.0823699061345513,3.2476630347178794,3.441430739940184,0.02194648113749977
2.8544307652046363,4.542398989230256,1.4030523504727008,0.035641050434791086
1.755770426762842,1.034672907019668,2.7619882660936503,0.04889145469841273
1.7552207538985178,2.9180965274445265,1.1774740022220946,0.04065096883503682
1.9642250396356544,3.0569268390605586,3.8699682407159113,0.013212619648366206
2.134055850794046,2.4936633064835085,2.7413828838540444,0.0248421057118126
4.046713861044513,2.6732613935014733,2.6221798585589315,0.0459397607708983
1.5517579587336208,4.7538117246726905,1.4774692331957209,0.0175814096879357
1.911279658265992,3.08137151146155,2.3388867660069623,0.02110382194556376
1.2112434519611543,4.285287107362157,2.6667703633481747,0.008434435742713716
2.6717890812237477,4.701895522140411,4.220640253513938,0.01071373735024502
3.59280380293244,2.21096835712428,2.1708699784261163,0.05956721531764143
1.5751695628774107,3.754518586306961,2.2757242204104755,0.01467045410178351
3.5307595926113438,1.2157211871222735,2.813216963458045,0.08215255421769632
2.6860386270815866,4.908911773846954,4.519282543012499,0.0096349101504553
4.472203976085933,2.5623661794791155,3.8952369519588035,0.03565633196497785
4.522394915001403,3.4314802784570784,3.9724316721964086,0.026401018231079168
3.066430706954822,4.478378160427377,1.1155342321319108,0.048844945132806086
2.3050672137005765,1.9773037566015368,2.5519494780530487,0.036351996328520944
4.539372941402673,2.413676489153171,1.9519516559577441,0.07667219262420691
4.309103821784562,2.465207550615202,4.185123360383017,0.03323650437479294
3.6291450693727594,4.146947239988156,4.193749402547935,0.01660594056102256
1.5927042668958498,1.6597115763708359,1.1967625175060408,0.06380940245536879
1.5666832833341608,4.139243388007362,1.1770362808068369,0.02558942528021771
