rho_c_0,v,c,rho_c
3.569380564446765,1.0646192315409928,6.993703069812272,3.6114693359436365
1.206117789234165,1.576647828007396,3.4257701073996705,1.3585484660792575
3.9532438983139904,1.429871321603008,6.336435378305015,4.057911902181346
3.465758948455772,1.4809708477226609,4.209561743966646,3.702453107325479
2.1159183251973115,1.9301264755917782,7.043301126725848,2.2001417437077633
4.422787446553809,1.2188530385045464,3.9837052858463977,4.645568063425313
4.685461704201332,1.7621065863999896,9.593088465368423,4.766564050808839
3.356581407800656,1.9407670088670503,9.601617038927015,3.427325279563141
1.7916251973913644,1.6453529141988739,8.967636043230367,1.8225649774437296
4.569470671427867,1.1533012652676986,4.907978298908775,4.70110636218838
3.4057670626582186,1.7838727526246112,9.262923851394136,3.4707362021262758
4.988685191233581,1.4344898422506083,3.2660928089842005,5.552941579673912
1.1576564522302686,1.5095633333667218,3.7990975516770993,1.2615198276165591
4.957720252463803,1.4231591527872895,8.500586976997381,5.0286960390773086
4.336452105444286,1.6247236113301065,5.720576744313182,4.522696063237056
3.086131600905123,1.6337176770206725,9.583320054900833,3.131977550314672
1.2828990061448242,1.7935252512360798,5.488165305172179,1.3574301027834927
1.298399210195492,1.4412502438233394,6.601875415918793,1.3304911251593652
3.78453696643714,1.954410919717472,4.3954717435865716,4.22518854464396
3.500421600577613,1.9923059495310944,3.2323141285697417,4.445230477119933
4.338492617945446,1.2345690428381824,6.963671385179827,4.408324095919218
4.83436647776456,1.6408558890516407,7.648989650710316,4.949594267650506
3.2110623231383246,1.2398873036309073,4.899161340738586,3.319116317149746
3.546305409002213,1.1008046402418297,3.025962085160087,3.8071635154158407
1.1694578276816063,1.445000500962029,4.880777212658606,1.2243458690715736
1.581004446157478,1.5601726987063684,9.8751802733011,1.6011131041654876
3.9964466571429824,1.2652459034907575,8.877154386899447,4.037668326245599
1.0774243278646098,1.430534255128099,4.0171989057030135,1.1530075092629408
2.20036619539948,1.3291279899690012,6.498123753889381,2.2478907648264888
4.236828008973268,1.0756600449491258,3.796286917654103,4.4178818304964205
2.710247114512228,1.8019196285916037,4.9950332180006916,2.9059153488707814
4.582705845052128,1.8960305938738349,6.317399704233007,4.804184337622269
2.2882629470648888,1.8741567736285067,9.819078434330779,2.3311193268544352
2.4250517900958384,1.7152578579720306,7.028738994877275,2.500655504793394
4.2352981470741495,1.4525763522653783,6.407379559039823,4.348517074293493
2.3822235155645326,1.7132925886848147,7.3702649894230365,2.449320364624364
1.3227742756529608,1.0105334248175106,9.805898806735883,1.3298546858763365
3.709993614129591,1.9511278703574728,3.4101413357226096,4.523578002939433
1.7800709643231896,1.484835539643521,5.057303708684684,1.8621397709730108
2.7441749584153907,1.4193238868443756,4.559755215911596,2.8876298697708416
1.0221546440503548,1.0928436378253208,4.8189999693905845,1.0494977828659549
1.4697485297251898,1.5547332793425357,7.848897260911144,1.4994599596548894
2.1019232807215724,1.5794749601431606,3.328132545070911,2.3879771975744943
4.032140375390247,1.07729701466273,6.293411023306778,4.092546266521324
2.735225180199095,1.3776881478883507,8.069583447174402,2.7759806446917605
3.842794371160004,1.2258255310236854,5.827633491118744,3.930737636488845
1.6927639220767312,1.8478229932696708,6.130565966367523,1.7753269919341426
4.7576799965015795,1.4671430222204733,9.993729236407765,4.80979289875872
3.525632361941403,1.949627501094964,6.68892527720644,3.685665135515352
4.474927629230823,1.668343087691884,6.5584959792225055,4.627139075144153
1.8240512283041084,1.7174207856446873,7.322973134239437,1.876383427440684
4.307371704721176,1.783029792744809,5.502837758028472,4.553005378793892
1.8052941463261718,1.3626689123781484,4.1253382755334185,1.912651074003982
1.1468020931716765,1.77714867739242,3.2573775345257516,1.3683992810376038
3.9794021611918566,1.9857626637927919,5.299244892697017,4.2921460880816715
4.54825082272553,1.2669303442300814,5.147326312980075,4.69261493674635
1.9314724040199696,1.88630956922344,8.204567001200418,1.984636928260954
3.7225050977008713,1.5575532890841008,3.0014039653652933,4.354776320420992
4.755891741547726,1.153195531935571,6.342310467504156,4.836512725374439
4.389471361227494,1.7031179570823218,4.788197418233455,4.696612568927732
4.640132072477153,1.3034722606228497,9.64467806870104,4.683098402649646
1.906971806748352,1.5005575111045202,4.671371731241257,2.0136910174265115
4.0115943680679615,1.7502610885393075,8.205500087799608,4.106091937973218
1.0861720693586872,1.6595591201268856,9.501978468726357,1.1031272913690395
3.1495630229126843,1.1767355012783298,7.028325078757956,3.194657607506555
2.4244252805250053,1.0608260534595215,6.2045376949980975,2.460657924013681
4.327638245192054,1.61204249743442,9.118926375409584,4.396887390505892
3.672944837591023,1.6845513268603023,8.460156410920044,3.7479948521652013
3.324113928684008,1.7969643060369107,5.572995755875378,3.5116744178918964
4.3358918449103925,1.081641322259551,9.299725036741544,4.365520272600728
2.8107813827392905,1.7881041704152032,4.5165691299310735,3.0608725481696344
1.0324037855942518,1.485003514810667,7.46271151275281,1.05347157388339
4.248655108157006,1.8469282660609918,4.869044428235638,4.591823408294884
3.3822337798427107,1.1340229181944121,9.791089595058747,3.4051504646648465
2.7501821177567756,1.7845281440120266,9.244663026271226,2.8028984747497274
3.765649868658192,1.101532943611363,5.235608086180903,3.8518662387327347
4.8252150058774665,1.7507591335036707,5.399914094124108,5.100748394490836
3.950610649909127,1.04350017201848,5.874865950271291,4.0144445326145615
4.213424277878862,1.5443742335382882,7.67362845844054,4.301438601693235
3.703485158579973,1.9598730270137084,9.191744493098307,3.7906550908108567
1.2305258448092724,1.256191895290586,6.889435344093081,1.2515057296124137
2.580481886344649,1.8708199632629672,6.212535464978425,2.706095861609584
2.3521439937269504,1.7753363510108122,4.768132562460247,2.5343677380420475
4.266079026729456,1.4915785889346709,5.0116901874367965,4.468574926601363
2.8183603262025985,1.937317141761396,5.410156306863066,3.0185264195571824
4.3111893608274565,1.7308791791206026,5.867985181959009,4.51194125674972
1.5300797708067249,1.1863670675196578,6.559067732709557,1.5557398110892486
1.5509848094342966,1.5400099343454523,4.446642225625395,1.6533038322402982
3.677230398194797,1.6275627365358116,4.9797075897185366,3.890919599297593
1.5309434676295934,1.7430397448333437,4.684848943403289,1.6493518870939272
1.98729401015133,1.947869512874864,4.494037116486375,2.205200445784296
3.459480526159165,1.7235884759167754,4.972055842107238,3.688174375407015
4.848427534181208,1.110921870499768,9.58850925290938,4.881300220866273
4.530388507335309,1.8382933509666928,8.83500359733133,4.631758817298562
2.465228725297747,1.7602911761909772,3.8963437608483655,2.763308927325465
2.2920661130887705,1.111758795296934,3.7059748072137606,2.402730959607294
3.409255218791216,1.070846132463074,9.28823156696715,3.4321414169907922
1.6859503754666867,1.1386014042056156,4.373338538627603,1.7461684981699663
3.229454409845933,1.3682304376932977,6.7010503938725074,3.2989532874837417
1.0010708449353034,1.8714170656184703,5.58385290866763,1.062521230752204
