q,a,epsilon,c,Pwr
1.9,1.58,4.82,3.2600000000000002,0.0028629938445935113
3.7,1.94,4.46,2.26,0.05309401996110129
2.34,4.18,2.58,2.54,0.12005003733856996
4.62,2.8200000000000003,2.06,4.78,0.040024888842630675
4.02,2.06,3.54,4.220000000000001,0.013675550227046687
2.9,4.9399999999999995,2.2199999999999998,1.42,1.7128950840895094
2.3,3.94,4.26,3.42,0.02556578164540604
1.74,4.26,2.98,1.54,0.2678170025910729
3.74,4.34,2.8200000000000003,3.9,0.0835561865704752
1.94,3.7800000000000002,3.86,4.74,0.006940066098274842
1.22,3.74,1.46,4.42,0.00876076596680601
3.2600000000000002,4.7,4.859999999999999,4.1,0.03718278826090774
2.1799999999999997,1.3,2.74,1.7,0.03165200617556605
1.8599999999999999,4.220000000000001,4.34,4.58,0.007839051249617712
2.8600000000000003,1.8599999999999999,2.8600000000000003,1.94,0.07189283481986715
1.5,1.3399999999999999,2.34,2.34,0.007148708067848953
4.74,4.42,1.38,2.7800000000000002,0.7853922741188369
3.34,4.02,3.9,2.46,0.16473048928448297
1.98,3.06,2.1799999999999997,2.42,0.06303322371487309
1.6600000000000001,2.58,1.18,1.5,0.24434231286757538
1.54,1.54,3.7800000000000002,2.3,0.00648793443491894
4.78,1.7,3.06,4.62,0.011609276627593307
4.66,2.5,4.58,4.02,0.024199538867260707
4.18,1.42,4.220000000000001,3.86,0.0077011177581935535
1.46,3.7,2.94,3.58,0.011476557218519888
4.5,2.42,1.74,4.82,0.0322897195822733
4.42,1.6600000000000001,1.06,4.9399999999999995,0.02234976081242366
3.58,3.8200000000000003,1.3,3.18,0.23733781716703123
1.26,1.98,1.1400000000000001,1.26,0.144795098602401
3.42,2.54,2.14,2.2199999999999998,0.17098020189846475
1.1400000000000001,2.02,2.02,1.1400000000000001,0.09400379679696742
3.3,2.7,4.7,4.5,0.00983374371784817
2.58,3.34,3.34,1.74,0.2238911931733556
4.140000000000001,3.58,1.62,4.9,0.061145198303888676
3.98,4.62,4.42,1.98,0.5227946469347832
4.859999999999999,1.46,3.42,2.02,0.09475386037305626
3.9,4.0600000000000005,3.62,2.94,0.1445871163942842
1.58,2.7800000000000002,4.02,3.7800000000000002,0.0047141260415442575
2.94,4.300000000000001,1.3399999999999999,1.8599999999999999,0.9833017631377703
4.38,2.2199999999999998,1.94,4.0600000000000005,0.03863431497460832
2.62,4.9,2.66,1.82,0.545252692746891
4.82,1.1400000000000001,2.1,3.14,0.024637374050312837
3.06,2.3,1.02,3.5,0.06008873996048387
2.46,4.1,3.98,3.3,0.037732181329579464
3.8200000000000003,3.2600000000000002,2.7,2.7,0.15481240101418398
1.82,1.1,3.1,2.38,0.005087851865604637
4.98,3.3,3.14,1.02,4.299869537538135
4.220000000000001,3.1,2.9,4.34,0.03829834262123814
2.5,4.74,1.5,1.22,2.735047206144234
2.02,1.82,3.66,3.62,0.0041298815409463105
3.94,3.98,4.62,3.34,0.07578374949521614
4.46,2.1799999999999997,4.9,1.9,0.14921919703344683
2.98,1.02,1.26,2.1799999999999997,0.03754842480885558
3.62,3.38,1.22,3.02,0.23635715783226927
3.86,4.58,3.74,3.38,0.11481079897629386
4.300000000000001,3.02,3.8200000000000003,1.3,1.065997666880893
