n_rho,mom,B,kb,T,M
2.98,1.22,3.66,1.7,4.38,1.951663413862165
4.58,3.54,2.26,3.46,3.02,10.447643444078706
4.42,2.8600000000000003,3.38,1.6600000000000001,3.8200000000000003,11.496777892210865
3.06,1.18,4.1,4.66,2.46,1.4394109657142626
3.02,1.6600000000000001,3.86,1.8599999999999999,3.14,4.007857485976519
2.02,2.7800000000000002,1.5,2.06,4.82,2.2288767478801175
1.46,4.9399999999999995,1.46,4.9,4.9,2.1036468452946493
4.38,1.26,4.7,2.98,1.46,4.8380817405150855
1.18,3.42,3.7800000000000002,3.18,1.02,4.032814105378339
3.54,2.66,1.42,2.7,4.54,2.8131072976653417
2.8600000000000003,3.66,4.58,2.38,4.5,9.590954344509901
1.9,2.58,1.9,1.26,1.1,4.893701242157508
3.3,3.98,2.06,1.58,2.1,12.947770711551186
1.3399999999999999,3.9,2.9,4.26,1.42,4.983325885422973
1.74,1.58,1.1,4.42,2.62,0.40953294219068287
3.5,1.5,1.1400000000000001,3.02,4.62,0.6402352685823683
3.94,3.2600000000000002,4.38,2.5,4.18,11.275680000885625
2.3,4.220000000000001,3.06,4.300000000000001,4.46,5.699059643903373
2.06,1.42,3.7,4.7,3.7800000000000002,0.840712060833449
3.46,1.82,4.66,2.74,1.06,6.260679956689599
2.74,1.3,2.58,3.8200000000000003,1.74,1.6589303666413362
2.54,1.98,2.2199999999999998,1.3399999999999999,4.98,2.9043325160480786
4.140000000000001,3.86,1.06,1.98,2.54,10.731705691902873
1.8599999999999999,2.8200000000000003,2.46,4.140000000000001,2.02,3.567910801032994
2.38,4.140000000000001,3.2600000000000002,1.06,3.18,9.846642994787624
2.7,2.1799999999999997,1.38,4.78,3.58,1.024242360582545
3.38,2.02,3.14,3.58,3.1,3.5263146992848906
1.7,1.9,4.98,3.62,1.38,3.086996993092291
2.1799999999999997,2.5,4.02,2.7800000000000002,1.5,5.362788089481108
4.98,4.02,4.46,2.34,1.3,20.019295828790455
4.859999999999999,3.22,4.34,4.98,2.7,12.169169018845084
2.42,4.300000000000001,2.94,4.58,2.58,8.214619813354902
2.9,2.1,4.18,2.02,4.26,4.688687816565615
3.42,2.54,1.54,1.18,1.98,8.09700759430601
1.3,1.3399999999999999,1.62,2.62,1.54,0.8561705905234681
3.1,2.3,4.140000000000001,4.0600000000000005,2.34,5.436962624246306
1.94,4.98,2.14,3.22,1.1400000000000001,9.603252112595412
3.7800000000000002,3.8200000000000003,4.26,4.220000000000001,2.1799999999999997,13.62360472437108
1.02,4.82,4.0600000000000005,2.8200000000000003,3.54,4.725211446408677
1.6600000000000001,4.66,4.859999999999999,2.9,1.22,7.735557393758605
1.42,4.74,3.54,2.58,4.58,5.987749514528918
3.86,4.38,2.54,1.22,4.66,16.244903992395397
4.78,3.58,2.42,3.7800000000000002,3.3,10.282600717901243
4.54,3.18,3.8200000000000003,4.1,3.38,10.173897677233864
4.220000000000001,4.46,4.74,1.94,4.34,18.57464045792233
2.8200000000000003,4.62,3.3,1.3,4.78,12.837130721171112
2.66,3.1,3.9,3.3,1.6600000000000001,8.048729228610766
4.74,3.7,3.94,4.9399999999999995,1.62,16.643543525194406
4.300000000000001,2.62,1.58,3.2600000000000002,4.140000000000001,3.3510622104628807
1.26,1.8599999999999999,1.94,1.1,2.9,1.9016341938843337
4.1,1.54,3.02,1.78,3.66,3.8711482032863143
2.46,4.7,3.18,1.62,1.78,11.561272116350183
4.9399999999999995,3.74,2.74,3.66,2.5,14.920039329128938
3.34,2.2199999999999998,4.220000000000001,4.46,2.8600000000000003,4.640053063748962
3.62,3.5,3.1,1.1400000000000001,2.06,12.667541113588808
1.58,1.1,3.22,1.74,2.3,1.2321445493176564
4.02,3.06,4.9,2.14,3.9,11.642439843542837
1.38,4.5,4.300000000000001,2.42,2.7800000000000002,6.170690333655826
4.7,3.14,4.54,4.82,4.859999999999999,8.015238874576607
4.46,3.46,4.78,2.26,1.3399999999999999,15.431042986355425
2.5,1.38,2.1799999999999997,1.46,1.94,2.713358799745506
2.34,3.62,3.62,3.14,2.74,7.702003277015937
3.9,3.7800000000000002,3.42,3.98,4.7,8.825802415198192
2.2199999999999998,4.9,2.1,2.94,3.34,8.495611565658654
3.58,4.54,2.98,1.02,2.8200000000000003,16.25053001312179
4.34,1.94,2.8600000000000003,3.38,3.5,3.682731913295783
3.14,3.34,3.5,2.8600000000000003,2.42,9.795643261322795
4.82,4.26,3.34,3.86,2.38,18.75882747420287
4.9,2.34,1.78,3.94,4.220000000000001,2.813746760134591
4.62,1.1400000000000001,1.22,2.54,3.86,0.7421488555672411
2.14,3.02,2.02,4.74,4.9399999999999995,1.6466474171874599
3.98,3.3,2.7,4.62,3.46,6.6463134650366404
4.18,2.94,4.5,4.54,4.74,6.72820153427655
3.66,4.1,1.3,4.34,3.06,5.718753332497601
1.1,2.38,2.38,1.54,1.9,2.5112024356539946
3.7,1.74,2.66,2.66,4.1,2.5792077760903998
3.2600000000000002,1.7,1.3399999999999999,4.5,2.94,0.9449262853709435
2.62,2.26,2.8200000000000003,1.38,3.94,4.884749396389637
2.7800000000000002,3.38,3.74,2.2199999999999998,2.26,9.275419984173352
3.74,2.14,1.18,4.18,3.22,1.4842084565657092
1.98,4.34,3.58,3.06,3.98,7.350198398014058
2.58,2.98,1.8599999999999999,3.34,4.300000000000001,2.8281828521544736
3.22,1.62,3.46,3.5,3.74,2.106486072882845
1.54,4.859999999999999,2.62,1.82,4.0600000000000005,7.022233162856367
1.5,1.78,2.3,3.9,2.2199999999999998,1.1761489001774148
2.26,1.06,2.7800000000000002,2.46,2.14,1.216483917694117
1.62,4.0600000000000005,1.82,3.54,3.42,3.5803820307419096
1.1400000000000001,2.74,1.74,2.1,3.2600000000000002,1.8806632985786602
2.94,2.42,4.9399999999999995,4.859999999999999,4.42,3.5957752109891907
4.26,2.9,2.5,2.1799999999999997,2.66,10.480592002325167
1.06,3.94,1.98,3.1,4.02,2.3191177143490886
1.78,1.46,4.82,3.42,1.82,2.108195035131257
2.1,4.78,1.6600000000000001,3.7,3.7,5.243637161604291
4.5,2.46,1.02,2.3,1.7,6.266533754863833
1.82,2.06,4.62,1.42,2.98,3.6666651851444048
1.22,4.18,1.26,3.74,1.58,3.63106510788553
4.0600000000000005,1.02,4.42,1.9,1.26,3.9539207639041303
4.66,4.42,3.98,1.5,1.18,20.597199904028237
3.18,4.58,1.7,4.02,3.62,7.1251694097633615
3.8200000000000003,2.7,2.34,4.38,1.8599999999999999,6.70541327929966
