Pwr,r,flux
4.1324671553160925,2.3126634105548387,0.061485780145680825
3.991003257910517,1.8311960108265648,0.09471146429830328
1.3833656998601462,2.4445239146078204,0.018422075534164542
2.2508618356028074,4.010142824301859,0.011138309778071287
4.4023747512675735,4.3189191013421935,0.01878135866772717
3.642304513953557,3.2574738762763045,0.027315207563901645
3.1595188690513014,2.7210822237173957,0.033956878365773754
1.7333943427163656,4.962151907178668,0.005602055411829125
4.246679201248517,3.852938687166989,0.022764357383034783
1.1800847995896109,3.165712775189278,0.009370447562858776
2.1715537481179945,3.778240628033015,0.012105465421953706
2.133361957254999,4.76943643872055,0.007463122178752264
2.4549625616789577,4.529580862806403,0.0095217982466737
3.0279573508535464,1.996124974112692,0.060473406483558576
1.93524217158284,1.61475273245593,0.05906271395158413
2.5089806471359704,1.008276967345104,0.19639379147626235
4.014764077086959,2.69179907877011,0.04409251641045196
2.201014177607387,3.6986491796346543,0.0128034407470487
4.724941094198803,1.3902645708400578,0.19453225611487185
2.2256016801422174,3.445602285684958,0.01491788595741672
3.6285521093441733,2.1181149040792118,0.06436124967714367
4.2009226448216435,2.5578144444738324,0.05109715845153773
4.758507837863623,1.3152193427434962,0.21890947038166408
3.5193686931459705,1.8523206183371308,0.08162488464906269
4.233679064103431,2.227290890991755,0.0679131988616837
2.965466991546593,2.0234503924803,0.057636567272949
1.8542123744812116,4.110040381550346,0.008734889861460359
3.9950976161735774,2.581272954162371,0.04771442222099985
1.1016505674384132,2.5749087661091106,0.013222400479399557
3.663843859586733,3.0379480635758833,0.03159122039267264
3.0870835858404053,2.6776959350044374,0.0342622599665103
2.025543805457319,1.8999979195967744,0.04465041759805367
2.2234962189819942,2.3112368769934166,0.033123606346376705
3.737355282387334,3.3751939991117585,0.026107004285817217
4.706971907219455,2.791260561867342,0.04807629412287268
3.4760555994666444,1.9147280716813144,0.07545059020708739
3.290268282207768,3.844125633777229,0.017718473411839904
2.741197174354704,3.594912300337408,0.016879275877298885
2.5125932586981947,3.1944228385988294,0.019594199331680304
1.0737535133372909,1.1358255683659535,0.06623254637928162
3.91735306070605,1.3174660845644004,0.17959902020969012
3.846653001526551,2.390594387517558,0.053562563746852136
1.8550888327265451,1.3450211625522974,0.0816012124934996
1.7826937845341235,2.5749472839099394,0.021395882375619745
4.841884573357019,1.8753428820459777,0.109557773869047
2.407137744846914,3.8045945077642553,0.013233487928416157
1.9791566841484345,3.4393497897728444,0.013314277970967023
1.9237058603716053,1.3529416811005157,0.08363164721198409
1.951242034092952,1.6364774693404964,0.057980401474879165
3.657685888201702,3.004354709459694,0.03224735732642285
2.8660840369682825,4.005014142413989,0.014219062012152957
3.7175998650497317,1.3897712085283764,0.15316733609006947
1.9792881221245429,2.984354962325922,0.017684720476520092
1.7090054733274602,2.6241528185481373,0.019749465396840412
1.773607261746328,1.6925016766818493,0.04927077335819064
4.927018528164687,1.413167844513933,0.1963300773629124
1.3418684926727569,4.280419287154501,0.0058281063370399675
3.7838153480101986,3.6082239356716537,0.023127735088753088
4.935595981239636,4.803435676000411,0.017022595496870057
1.2211498077073113,2.042500053718153,0.02329350960742041
2.0229908450299483,2.315383284915972,0.030028819946477357
3.229236761723973,3.2040880776428264,0.025031168971919246
2.5223148493133616,3.7625706765224805,0.01417816739696864
2.9799188415676747,4.6972770468581455,0.010747370495645591
2.7848581526721965,2.215886196614097,0.045133426993049015
4.0426659349332645,4.916863722048818,0.013307045695381929
2.3024085193915638,1.9242835741387216,0.049480533569313465
4.971227642953224,1.6293087596108196,0.1490208382573237
4.492905876921988,4.784010116142953,0.01562187929579871
3.974869073420728,1.6587996633230635,0.1149542644955176
4.988129090258044,4.525185822883586,0.019384517014361904
3.412829844937056,2.3376518825521506,0.04969870779104652
3.2797693117290256,4.49397735611142,0.012923247871831672
4.312431870017087,4.592047127029793,0.016274202288299608
3.1412496860773067,2.522511620012648,0.039284953477269284
1.3420896658674502,1.3425289634040554,0.059254909695186576
4.4031075965847615,3.5025515939084215,0.028561456559823364
1.2241876871191866,3.8945586460583184,0.006422759304626559
2.263999932326441,2.250114929665896,0.035584194798305636
2.25400252578333,1.4424261714906077,0.08620994083326236
1.08829286338531,1.6910541065629952,0.03028453504763639
3.520836668769069,4.368263909060657,0.014683117621176274
4.538876521215085,1.4234864769176157,0.17825093336280598
4.251238685692013,2.9999970639845093,0.037589276413505686
2.756029876267972,4.752443062272047,0.00971046913832619
3.6673317549576905,3.1299984543652104,0.029788736907156905
4.668292034425701,1.8498816564904683,0.10855760679139803
2.229617023502513,1.2787967415615,0.10849690899871554
3.798850817923212,3.87015384183976,0.020183009151463684
2.829718637101246,1.1652649633001215,0.1658379857435892
4.872586811599602,3.58794714647124,0.03012018587308293
2.9072148086767697,1.8403229452774488,0.0683091963917933
1.046220115188217,4.59351182434792,0.003945695117536114
4.176712916158326,2.318548930506516,0.06182900107692273
1.786430514738294,2.862527281359464,0.017349101810804502
2.351989451294978,4.0618223692461966,0.011344455386822931
4.9106020922114215,1.1197431426751001,0.3116650170722455
3.9379309474786655,1.5268129387497482,0.13442701933483936
3.4366246941694416,1.4525613069552472,0.12961441371590016
2.1935335595262067,3.3872132788735665,0.01521420741504442
