lambd,d,n,theta
1.7149999999999999,3.485,3.22,0.153430164389615
1.875,3.335,3.14,0.18002137402792498
1.045,3.365,3.8200000000000003,0.08138556780764973
1.175,4.865,1.74,0.13925484542133332
1.165,2.075,4.74,0.11872721372037798
1.435,3.515,3.18,0.12873590906010854
1.525,4.835,2.1,0.1507650158396224
1.895,3.065,4.220000000000001,0.14703893692164238
1.755,3.125,3.86,0.14601047623955005
1.255,2.105,2.06,0.2936179715613088
1.245,4.5649999999999995,3.98,0.0685781812316435
1.675,2.615,2.38,0.2724921936789811
1.5350000000000001,2.135,1.5,0.4998718092403593
1.5550000000000002,3.425,2.62,0.17416721793132206
1.7349999999999999,4.415,4.140000000000001,0.09506546551490531
1.095,4.535,3.74,0.06460518575442363
1.545,3.6350000000000002,4.58,0.09293599322970415
1.685,3.575,2.26,0.21009469079624343
1.925,2.315,4.5,0.1858533114179881
1.8050000000000002,2.855,1.22,0.5447643101107078
1.995,4.655,3.66,0.11736527667210365
1.215,2.825,1.3,0.3371907056299766
1.325,4.085,3.7800000000000002,0.08591449177615014
1.955,4.025,2.42,0.2020809640991865
1.635,3.965,3.38,0.12230413018248872
1.7650000000000001,3.935,4.82,0.09319266879738826
1.475,2.285,1.94,0.33920690179800933
1.205,2.5549999999999997,4.34,0.10888420928695937
1.315,4.175,1.42,0.22367021772241452
1.105,3.395,1.82,0.17980164578932115
1.885,2.225,3.2600000000000002,0.2628922802048746
1.575,4.745,1.26,0.2665814597530839
1.855,2.645,4.1,0.17189979491935212
1.375,3.815,2.2199999999999998,0.16307287914413268
1.9649999999999999,4.925,3.58,0.11168027052424338
1.725,3.755,1.9,0.24420283262519152
1.775,3.185,4.62,0.12092214688186202
1.815,2.255,1.1,0.8208233916691641
1.665,3.215,1.18,0.45435797888985974
1.2850000000000001,4.325,3.94,0.07548023684804822
1.025,2.735,1.1400000000000001,0.33497643312861525
1.695,3.7249999999999996,2.34,0.19570567254238153
1.055,3.9050000000000002,4.38,0.06172101872189376
1.865,4.445,2.3,0.18345008882431402
1.335,4.205,2.1799999999999997,0.14615241668189888
1.115,4.475,3.34,0.07466877022733748
1.295,2.3449999999999998,2.58,0.21571514024721203
1.7850000000000001,2.375,2.9,0.2621577235814716
1.605,2.4050000000000002,1.54,0.4482071100753636
1.185,2.525,2.7800000000000002,0.16962773911493986
1.845,3.875,3.9,0.12238968915467692
1.935,2.015,2.7,0.36362639336253744
1.2349999999999999,4.775,2.98,0.08690085908657061
1.195,4.385,1.3399999999999999,0.20480179414819638
1.065,3.8449999999999998,1.38,0.20208505239625663
1.615,4.115,4.66,0.08432017974337698
1.345,2.675,1.58,0.32386206468420164
1.085,2.045,3.54,0.1504432284594693
1.5150000000000001,2.585,2.8600000000000003,0.20638279402851853
1.405,3.665,2.46,0.15647353546925263
1.015,3.245,2.02,0.1554715642990692
1.365,4.984999999999999,1.06,0.2612849852975438
1.905,2.975,4.78,0.13436547713595948
1.975,2.495,4.46,0.17843030083117617
1.9849999999999999,4.595,4.26,0.10158101451805683
1.655,4.295,1.6600000000000001,0.23426443903584415
1.455,3.545,3.06,0.1345352908107126
1.415,2.765,4.18,0.12273713128908438
1.705,4.625,4.54,0.0812896403659146
1.075,3.995,3.62,0.0744018727021307
1.155,3.275,4.859999999999999,0.07263004344625196
1.4849999999999999,4.055,3.7,0.09913922533311635
1.625,3.6950000000000003,1.98,0.2239809416110378
1.505,2.915,4.42,0.11707610283602717
1.495,4.145,3.5,0.1032334108976414
1.035,2.705,1.46,0.2651683725817953
1.835,3.1550000000000002,1.62,0.36722037680706504
1.2650000000000001,2.465,2.54,0.20344163081751487
1.275,4.265000000000001,4.7,0.06364826350542198
1.745,3.005,2.94,0.19882397475247396
1.385,3.0949999999999998,1.78,0.2541287386876606
1.395,4.505,2.74,0.11325507581665706
1.465,4.6850000000000005,4.02,0.07786475364496816
1.005,3.3049999999999997,2.8200000000000003,0.10804153270217134
1.425,2.435,1.8599999999999999,0.32006898840175496
1.595,3.605,3.46,0.12822421359636738
1.645,2.165,1.02,0.840410280700748
1.305,3.455,2.66,0.14247911322497533
1.445,2.795,4.0600000000000005,0.12768525014345136
1.945,3.035,4.9399999999999995,0.1300947285789754
1.225,4.895,4.9,0.051094752034897696
1.915,4.805,3.02,0.13235402400232882
1.795,3.785,4.300000000000001,0.1105132862988834
1.125,4.234999999999999,4.98,0.053367386528787426
1.145,4.955,2.14,0.1081921273604984
1.8250000000000002,2.9450000000000003,1.7,0.3731238526224736
1.135,4.715,3.1,0.07773021918434941
1.585,4.355,3.3,0.11051253353449114
1.565,2.885,2.5,0.21872420638139703
1.355,2.195,3.42,0.18149539344044438
