Int_0,theta,n,Int
2.72787041532642,1.902832700239808,4.727762837155162,3.9284178622431214
2.0164076002646683,1.6694081025284822,4.743287689184443,1.9540027393403527
4.219237484654044,4.619743274279858,4.437835759956151,4.175623890835678
4.37036687299743,2.6304698113003715,2.513880551266093,0.12557950819693334
3.6984112611680655,1.06233869591634,2.4031868964965097,13.20121743911526
1.0734654492992024,1.3269750464259924,3.1174922984754447,2.185315507589123
1.6560339163185156,4.466808017741334,4.7794497591747644,2.3988749501738558
3.3151882752433153,3.468223932571957,3.469813049220214,0.2355531399147035
2.9531911477662995,3.23669795819852,2.9456733147360867,2.9510193289414306
2.524149332545034,2.355231136730912,4.639043282768609,1.5820061595088717
4.454791545898403,1.4600935734799632,4.484858451093799,0.17498661306274074
1.9235215903394332,1.8830650934996824,4.265088612854982,1.7312154850330852
4.945875680941947,1.7988240414945804,3.5274359986154598,0.007763651919019989
3.899959398599045,4.747879371608008,4.200690466770727,2.190689962113226
1.5336782644263203,1.4350095515826853,3.3601041045417572,1.5801436378274
1.6364429690158977,1.209890999369402,2.190836039709656,4.7607406574941065
1.9119104545083976,4.602009408889208,3.2763044745934238,3.1134009438817536
2.315937579454111,3.1376393169469594,2.8167293428244187,2.1221747750149835
2.940095154491296,3.102464455710456,4.273083019542911,0.337079994497431
1.5000732502267962,2.120091348249272,4.849636721178697,1.6308554980600076
1.527102734317916,4.334964170579301,3.296142228113632,1.2842720810529529
2.1091492093964592,4.558032667355376,1.8153232115251656,2.574049779564992
4.150193030539109,2.2837732744539263,3.3647299549495195,2.085302894480274
2.2301923701619297,1.5889653807962936,2.2903064484390696,4.11514006505423
2.440044314051409,4.7343358505632125,1.5444616943948275,1.2078930359163322
3.627038127648824,3.13456891636401,2.7007054532592942,2.8547864361431703
3.2555611508713187,2.746884592761472,2.571562063478118,0.4900972168510434
4.002441986523836,1.7570966196229023,4.539368467842653,3.7883417986681467
4.600654208204333,1.3739810386540654,1.8485570818945072,10.433537618108984
1.1014141775164117,3.261733443546188,3.8466970857254568,0.00010475641233106344
2.5123468469697228,3.128342101799312,2.3507068811470724,0.6537771482720814
1.4008796951032647,1.9149385456035983,1.903570050406905,1.964890260893856
2.2261320953070864,3.109713215150585,2.9984060343210768,2.2210693475544336
4.968503427841212,2.3391517996387994,3.8863929973354936,5.700792509876602
2.4943370723047606,3.070123680745877,2.083817396489823,0.008161429098239876
3.71244730173202,2.9421500189271863,2.8579268423038515,2.8618738907472823
3.7845510654414016,3.730266914748156,4.86921422080097,0.4675100031902523
1.1043776278652817,3.5914033109266565,1.8884296120074908,0.07083686544034015
3.2138524999191245,4.958440557670796,2.377543818049357,1.2206780093836194
4.723825976799994,2.417380810685206,4.279844465550385,4.334404319208399
3.810870885962004,2.9529770874025063,1.561303746605167,2.118035531082493
4.636998620706189,4.987631398824576,3.0501591104536074,11.971174670370095
3.581960749635846,1.3258364613722151,1.0915020921620466,4.145578669965611
3.462132324858865,2.534968318991859,1.0719158307914394,3.632697612070984
1.817505481910178,3.8150203581544218,2.3344623991784896,1.9059972886838337
2.739805426545725,2.7658440040651127,2.608606413602737,0.572905614491375
3.2070570947521566,4.1354451638436585,1.7672635789087303,0.9983565710596112
1.935759005372943,3.327262883979174,4.954921369780728,1.6714354103946727
2.159436670690885,4.2724585742414956,2.1549416258531884,2.9931204680166883
2.905965195708525,2.7631493634663227,1.3411584887107548,2.7790773759663474
4.844839976154836,4.798873407731969,2.2652381704245985,5.963932251289508
2.31483701976236,4.796265715055344,4.175547857723257,1.5582144723770743
4.3644391981408575,4.754960435013888,4.937295002249724,4.946814981319618
2.2454986311229916,2.9737529326661543,3.7837728021963435,0.8439157246904763
3.2406798419262444,2.7921729774351727,4.845765036929537,0.7178402765633423
2.1144945793361827,2.3285853954593447,4.886195944575694,0.7856094793641162
1.943420718941528,2.677995397799736,2.0216463409194367,0.3637476781340275
4.736674111581492,1.17101967540013,2.2696746877863787,14.620191314268158
1.4999132360631116,1.6464957724068443,1.2652199390201146,2.0780937102166983
1.615847947515331,2.4463683611363867,2.4716983771355943,0.025441904086963268
2.0453354847020604,2.0099253220749342,1.5828902577653992,2.869199444835537
2.7822581609916237,2.8453800150254733,4.711115316250321,0.4713576448392781
2.6349672924142618,3.9394507043106177,2.034104368515881,1.7976666325583597
3.9242557880751536,2.4937924051564635,1.6743225594175437,3.300114793587669
2.6096330041211413,4.0362662117425865,3.1432534458978414,0.011666058804869931
2.1050552706900514,1.7781904451899069,4.07022146389386,0.7365397017484137
1.861846859056336,1.2159802518659562,3.9437797385827262,2.61603378835859
4.30468176052792,4.716968098923719,2.9560893488421613,3.4933846809392564
3.958483146635676,4.4190601014065205,2.2450371357230887,5.770984994244796
1.4653972252259309,2.6866428803416906,2.838764129345809,0.598047932012198
4.8017468854904815,3.4718180048024307,1.2336146945799884,3.4950637208769213
3.356250937297587,4.99159745080116,1.5503727451477292,4.1008113776751305
3.6893858315394654,4.155295222968325,3.170136415386412,0.43040639607551545
1.612225820357552,4.356608216174095,1.6765088015186635,0.5706445575461765
1.304815378199221,3.0033147995975447,4.790446831775161,0.8177521768642281
4.42432557291432,4.901782283444241,3.681303861911932,1.6711314547911638
3.8200799638847633,4.945342631591736,1.5354849030858233,3.6874975422213168
3.2872210612135326,3.3961021329759924,2.2000117463099,1.0469850562702054
2.8988993634920863,2.9382529887898428,4.0076870869045065,0.4345327426561052
3.817821392424346,4.491112728652462,3.9659278305354384,1.5408264757822192
3.945979728322423,1.923973360855704,4.113836886196019,3.110427181935628
3.4833219203826897,4.09841488361527,3.638979393666556,3.759442346634189
4.626793909551836,4.599855923440816,3.8480794121507382,2.456498316306398
3.892516703466848,3.0447277806185338,4.142079717299311,0.001986710177436352
3.756492680835033,3.635511215906599,1.7157167086395133,0.0020836341165614268
2.4091962722815965,1.6137360304084982,3.219240295842595,1.2379540941074128
1.773256465408125,4.716496901128128,1.644342114484577,1.6055617789425862
3.586757085250936,1.144103074073079,3.306363656381555,11.023096506755584
1.101208035050083,1.3529887336821729,4.8438678796502215,0.05108581874966835
2.757592558176428,1.5806196501666872,1.6021135061461993,4.9701923064681575
1.3893420461859307,3.2868644769867776,3.5374020457828634,0.2861381797810453
2.538739001132936,1.0956119014889856,4.275337545194091,4.812041273185688
1.1520309111915283,3.3341565522918666,4.402319902568894,0.8807282744412535
1.0635026178294238,1.9501225570630365,2.4646871707540265,0.7032241712224229
4.688640782897449,4.762154312117657,4.946313093365877,4.967828210230196
3.200013269163926,2.8448512553445187,1.1426678632860114,3.2617745501966766
2.031250795419067,4.745469632415954,1.5585190275871483,1.1717375041443985
2.5523317440480286,3.5475579866992515,4.139715072698263,2.024055989659612
1.137457415461134,2.821223422935977,2.727669044648713,0.4913973361076303
2.651119642862334,4.580562671296691,2.9045839315817243,0.6100521026522084
