r,F,theta,tau
2.6404874825731928,2.2415289761609056,2.0804831068067027,5.166443165454502
3.1310454226259044,3.2973532996102146,0.7695788312345703,7.18389137541901
4.869699400292459,4.2847257943630614,2.329853378671852,15.137487867163134
4.238335245328152,1.6616453118826855,0.09069298199429976,0.6378400567162344
1.1919526851607976,1.1849629027328343,0.1505477080489176,0.21183423961439068
1.4371336732359683,2.930030242184465,4.334231023218873,-3.9133333829780317
4.813976414360441,1.8494524554929812,4.974719775716781,-8.598624869482029
2.0385227112141298,4.45016943824518,4.713622055815474,-9.071764571913755
1.7152480725523067,2.8751173290281336,1.5262326160968605,4.9266434352688435
4.14268046046257,4.652921092585674,1.756940319235707,18.942583258565627
3.8773016552259936,2.4868863949791153,1.0348572756774717,8.29044162405369
2.148076789798495,4.930257043547545,1.0627431305530188,9.252910032256725
3.040356044437213,3.1560394269525247,1.8794385396820739,9.142067171839146
1.7319598929308513,4.7399258788419,3.3593276140887465,-1.773374937057555
2.9320218611078683,4.250124617230414,1.6304012639206322,12.439328629266779
3.6467311987968896,3.4705721422571023,0.038240719949023116,0.4838659207173257
2.0849719312741484,1.8103862542788491,1.258078958479813,3.5915403506584718
1.418907129466742,3.843744851276167,3.7391084334762015,-3.0683214290344214
1.3678952489617735,2.324763334736899,4.270428482323403,-2.874478868053401
3.2710607120650006,2.397487415223288,2.3951861841466004,5.32497931392779
2.123164355015592,2.038875130713942,3.0257010441812064,0.5005571196828648
1.0256662406265211,1.9030349150445665,2.501169306453368,1.1663157271727531
1.7072978053390169,1.460272654114498,3.4370864093212097,-0.7260271494495179
4.3348976664846735,3.2510550620921013,2.123806025656076,11.992395912924314
4.679285808516172,2.7052375821760624,0.2475842786505439,3.1021447026745563
1.5835525446270282,1.7766008646725324,2.234421572405741,2.2162495911613522
4.622769339464178,3.6295203650672208,0.307867851805958,5.0843261480885085
1.761435391003034,1.8714774350186836,4.338641388869792,-3.0689156627904177
3.7993103626949467,1.5007565145408206,0.6228277261047171,3.3260784863851387
2.6616956215897214,4.205519277997153,0.2497820191200456,2.767029221516601
1.0022740038417068,1.4266647189403048,2.099558308246781,1.2346295375036591
1.639972727026775,4.25152474386732,2.6820797226383224,3.0923335660626137
3.68813746179312,3.356284001041973,0.6948742885659526,7.925775423647277
4.204973322030286,1.7979605216316124,1.53175167561133,7.554613920485388
2.148135630528709,3.7197585637259847,1.2862849936683152,7.669317415552411
4.171996342831911,1.6498900603991653,2.3130841535510034,5.072494798934533
3.0324125345966384,3.293267816313388,4.215474814597112,-8.778751778332563
