theta,f
1.27,0.1781038390726936
1.4100000000000001,0.1476385040623557
1.69,0.09565679616352402
2.55,0.015449347134395174
1.21,0.1918601547135994
1.19,0.19652049886213654
1.65,0.10226492456397804
2.6500000000000004,0.01191224360760517
2.69,0.010705597609772188
2.0700000000000003,0.04682263527768313
1.45,0.13943056644536028
1.33,0.1647397153730768
2.23,0.03319392063586112
2.41,0.021862366757929387
1.35,0.1603833273419196
2.49,0.017971132954039633
2.0300000000000002,0.05082390149369116
2.5300000000000002,0.016254450460600492
1.03,0.23471376389701185
1.51,0.12758295057214186
1.3900000000000001,0.15183080043216163
2.59,0.013940060505935825
2.79,0.008139809247546021
2.45,0.019837354391795313
1.07,0.22505993528526969
1.17,0.2012135427351974
2.15,0.03955004158937022
2.4699999999999998,0.018884977141856187
1.9300000000000002,0.06195242462810514
1.79,0.08038010905615417
1.23,0.18723541817072956
1.6099999999999999,0.10915476589664741
2.31,0.027681567148336573
2.77,0.008605200637499673
2.9299999999999997,0.005454095235056556
1.53,0.12376278952152314
1.8900000000000001,0.06687109063930714
1.43,0.14350455054006242
1.29,0.173602247015033
1.77,0.08329318605587446
1.99,0.05507890237212577
1.01,0.23955109772801336
2.67,0.011295074500456135
2.99,0.004566589954670145
1.85,0.072064874336218
1.15,0.20593626871997478
2.05,0.04879201857918277
2.1100000000000003,0.0430674178892657
2.4299999999999997,0.020829426985092204
1.75,0.08627731882651153
1.87,0.06943331154367419
1.55,0.12000900069698558
2.91,0.005782098885669473
1.37,0.15607969556042084
1.31,0.1691467609016724
2.83,0.007274439357141218
2.29,0.028984660616209416
2.85,0.006872766690613971
1.57,0.1163225278928071
2.71,0.010142826894787078
1.67,0.09892547073632373
2.75,0.009093562501591053
2.5700000000000003,0.014678249112060025
2.73,0.009605796763539587
2.35,0.025218219915194382
2.81,0.007696508202237322
1.95,0.059594706068816075
1.09,0.22025076668303326
2.37,0.02405557421476297
2.39,0.022937353658360693
1.49,0.13146842987223106
2.17,0.03787785898667748
1.97,0.05730378891911713
2.21,0.03470093895391882
2.01,0.05291922771924032
1.73,0.089332623487655
2.09,0.0449147723307671
1.71,0.09245913339658068
1.05,0.22988214068423302
1.9100000000000001,0.06437766432996934
2.63,0.012558110926378211
2.25,0.03173965183566742
2.51,0.017094670457496956
2.27,0.03033695923053164
1.47,0.1354180615740713
2.13,0.041279530426330424
2.33,0.026426485497261724
1.25,0.18264908538902191
2.89,0.006127376895823688
2.95,0.005142640923053939
2.87,0.006490676390993364
1.11,0.2154581617702197
1.81,0.07753789199013399
1.83,0.0747662623983676
1.63,0.10567483084876363
1.13,0.21068555173601533
2.6100000000000003,0.013233701843821355
2.19,0.03626186890490622
1.5899999999999999,0.1127042065757706
2.9699999999999998,0.004847032905978953
