omega,h,E_n
2.2090410340689237,2.4128917848638807,0.8483240113006858
4.20888665308833,1.2616518878073602,0.8451365878654512
4.698951940943145,2.90427610178082,2.171996074969131
1.7229114422168124,1.3706162464087486,0.3758365062267924
3.3125444394411767,2.7439680983711594,1.4466414440900026
1.9857462720471288,1.013604106792744,0.3203407949938125
1.3721772306209201,4.122134270386677,0.9002279116172988
4.628078367455741,1.3985786539701843,1.0301672316155637
1.9831262275273347,4.187157419094913,1.3215688047755758
1.6883358591729114,2.1348775689217376,0.5736565417600913
4.64624420626167,2.281269416843952,1.6869365286460112
4.111771078855317,4.8125417221414954,3.1493691338809926
2.3769388036765577,3.216280294293964,1.2167238528317807
2.45391218834074,3.3868621532777987,1.3227466502796883
2.3594076432227147,4.031402166204884,1.5138374278058746
1.5573552434628255,4.7651357007276305,1.18109027611526
1.3116106101175489,4.721797047721701,0.9856718851721252
2.7441358743516533,1.1871736287585328,0.5184895215549318
4.600697506519882,3.5643849915463184,2.609927344359212
2.7918773478984247,4.083220063658768,1.81434241469642
2.8638973676070174,1.0990345789734914,0.5009437226106797
1.6210403774344373,3.855316370375172,0.9946584731506958
2.9119686104136764,3.9890438630331433,1.8487391262267319
1.8054717550190715,3.6810900430488736,1.0577603198830376
3.081959436162059,4.697747642200623,2.3042878678183247
2.3448580469090046,1.5400504359256786,0.5747402759551993
1.8541649351389395,3.6555428700986066,1.0787489270591821
2.1809852113700487,2.704086656711945,0.9386278965563644
2.7283328961772546,1.1239035000670017,0.4880299945726098
4.696509739385878,3.6249711444699013,2.709567114874376
1.5626346366746966,1.9251355274070847,0.4787831821515522
2.967927488062628,4.863008624799483,2.297092361057034
3.13863223026577,4.790051789680302,2.3927689852714895
1.0306829133145077,3.9652431285909424,0.6504516642389127
1.5176042840145296,3.3553495658432366,0.8104317518172546
1.600682329574254,2.1303148990706915,0.5427115783891925
2.182773441401747,4.730091209954695,1.643229821138532
2.6976565272110538,1.479133595595537,0.6350591624627072
3.0404911248286735,3.836317212176117,1.8564291621831632
1.4661237842279708,4.69662262994313,1.0959139045978383
4.564192318820519,4.559415354370241,3.312022090920992
2.5540344879159096,2.830358377277886,1.150504490209653
3.0208098270009787,4.627810135781715,2.2249438226324414
4.146764520821049,1.4055076202889034,0.9276042084733409
2.652179504361666,2.6482404949322493,1.117842116681528
3.0968727459501526,2.796984578699166,1.378585047096836
3.4443785784631338,3.2171283960263546,1.7635972185599462
4.6695406451962915,4.498304745804258,3.3430522606122444
2.1719221044349153,1.4969158294459626,0.5174420965648094
1.0056179433927346,1.3904322048370652,0.22253737648920666
3.801459344592068,3.1083975071954386,1.880645910113861
1.3958833513684188,3.4575183738730617,0.7681282819440279
3.7189024422389463,4.2526490750870245,2.517065191958424
4.036998204195236,4.703299047996589,3.0219082968728213
1.5346963810664391,4.365761621293297,1.066356988252689
3.70729519650848,3.6074012838761433,2.12849069345621
1.9115572152739788,1.37495102254777,0.4183065466486015
2.910093347586719,2.7328070114333207,1.2657152567381926
2.307481747655712,1.2829477095673103,0.4711588594467434
2.104173861638102,1.5175186568682224,0.5082013240452415
2.095994858121204,4.053991969985572,1.352362839632471
4.2304938379382415,4.3115305113486935,2.9029707654016232
2.634340175717873,2.269266758835788,0.9514315271573024
4.476498418717386,2.4587254118420714,1.7517357645961118
2.149217156031978,2.9708797574411974,1.0162147749971246
3.3145197294353466,2.3514292655581888,1.24043113676092
1.481500248635471,1.2289256870650838,0.2897660377549327
4.032549794429962,2.285324670088812,1.4667219058527377
1.879799093611089,4.2064845223941845,1.2584931696109942
2.3416037769344538,2.949387751180484,1.0991713852394005
4.550029045449987,2.7834233904293875,2.015642807441492
4.8954854084560635,1.1077745483409585,0.8631122387979515
4.653008813356934,2.5221943264984144,1.8678093763661368
4.802591246636362,1.6848825797345497,1.287850339189743
4.529814588708531,2.234111257484156,1.6106654940426122
2.4763119971038234,3.348717625575905,1.3197875322332315
4.2030761662334175,4.3195976541595,2.8895531581998357
4.077866658698512,3.646796059066413,2.366816723254572
1.3370662780796647,3.899978057887196,0.829918089554533
1.6355373280071746,1.1126485041268537,0.28962668972557826
1.4274476312777828,1.726311350432162,0.39219264235396006
4.47653260100131,1.9135743651129589,1.3633495768587724
4.323437004647536,4.019302492482524,2.7656674567618857
2.8957578253231238,3.280651283709646,1.5119674436632098
4.202868007576382,1.744083897563797,1.166630308869624
1.8844688069231743,4.1549099166059555,1.2461510763454395
4.102078676324448,1.9024180281968577,1.2420242353833353
4.588159537088943,1.238080647198485,0.9040814891513784
1.4107002319748798,1.9710769706695264,0.4425460341885106
1.44012035165305,2.481099679884374,0.5686736852084424
4.368336020171293,4.7133707959538285,3.276934614814164
4.8104687132982304,2.7382478388539107,2.096429583735456
3.7312559103267486,4.976809044792113,2.955467212104848
1.8285035754663967,1.2582799139532286,0.3661788104469903
1.0201943935141693,3.6775142340893567,0.5971142374870726
4.247088357875404,2.9175541332237382,1.9721064375623132
3.9160449247139417,4.714649244053828,2.9384424207394644
3.006077468276777,4.812568149668623,2.3024870303816134
3.5103301557805118,1.3217057540547432,0.7384190245392639
4.515275161292113,4.3756458367396585,3.1444631974590784
