n,kb,T,V1,V2,E_n
4.809737483698049,2.155616701255424,4.0406756316148265,4.69966999473554,3.520526139676342,-12.102278608868303
3.5146627138094813,3.0540362475777827,4.113416608758406,3.7977556098634,2.747979872410981,-14.285458223885426
1.0694036661894626,2.6349403380734517,2.247846564666604,4.127856173326446,1.5955453059721876,-6.020751660475532
2.8200476532023764,2.8021936849773903,1.1092214223892696,1.2206015649382187,2.35339174143878,5.7546203567939616
4.2708378774336335,3.0248997991127906,2.9450760545332386,2.074737535194399,2.8688313935365457,12.329900455429142
2.3884277597350474,4.780415319261981,4.631376157031201,2.437907432539089,1.7492707732712738,-17.552895762206234
1.9048815936964518,3.1055859320233385,4.052637027873028,1.9891322005360967,2.737456458666073,7.655788950964918
2.03289051468663,2.163876488713176,4.6412656266810055,4.543700561138289,1.8323771241400952,-18.540856675630394
2.122736288537608,3.190947858078921,1.0751808383840982,3.9087759544178216,1.786375342329897,-5.70267739165177
1.5026847748523933,1.2032688283060993,2.4309530507443102,1.4201047095504553,1.7269373989397168,0.8598407615935038
1.6537476940571407,3.4636566715034407,2.297807656228743,2.8550726019713712,2.2426382730938834,-3.1778596767698426
4.671376963163097,3.575930355797448,3.2591754235706767,2.3033317422024795,4.882306192072245,40.90087178881115
1.7385143715946203,4.933037019192031,2.4070059475985226,1.4421131074582443,4.461169119370551,23.312008176060253
4.948761185097258,4.8899299072025215,1.4053388888753078,4.226474321518512,4.427645627169605,1.5813629467117267
4.691635846222736,4.816999528278073,2.5237049180040607,1.440126109680751,1.884301966417796,15.33246444603283
2.6185541975081343,4.894217041261204,2.433879355806982,1.0249297870789396,3.4484807062446268,37.84560833236678
1.3792907406209665,2.7660098989641435,1.2611970416410676,1.5879108038495795,4.0697546949003485,4.528533510445353
2.7942529819379534,4.343085044134732,4.857578314465436,1.6202628626564008,3.1955401665971146,40.03694381171743
4.606565933756126,4.7442428860183306,2.628414544012472,3.579636873523257,2.656954689396714,-17.122690176898374
2.878293491820933,1.2577245343350183,2.4474129516592167,2.47993438588342,4.519593425080579,5.317611097283648
1.2141984725895276,3.347721215717743,4.900542557549113,4.258925602334986,3.5492665593351718,-3.6308849372402316
3.2116942546136045,1.3893253182512175,2.8282691528280033,4.826334621432324,4.184191539053412,-1.8018033597723813
2.5898355777481954,2.8543382637036503,2.6121642898037183,4.35952865548771,4.8364533198710165,2.004701038396829
3.8807098067505033,3.7517361340696365,2.8721340203227896,1.9899270367104065,1.6027423708701694,-9.048340668660547
1.9057072340404773,3.769416047080819,4.009182124236888,4.693515717968525,1.287063470338217,-37.26142496604032
1.1539938885112782,2.254435505381504,2.3418635880717433,4.9292000741223205,2.0853290209986497,-5.241162631274177
4.992649162707432,4.4496005036189255,1.5037151174225007,1.1016745366186638,2.7233409225632834,30.232891742433488
1.3018529954804818,1.9750242972267344,1.276857963948863,4.15058656984359,2.6659954631087586,-1.4533130571620458
2.3738022621386,1.8678166724373233,1.7256453367848408,1.4703016057544138,4.700435812012888,8.892146215325708
4.812137611119559,4.551460296833714,4.701868868406359,3.651282423531605,2.5343256862474552,-37.603791076876846
1.7892618622826082,4.626935688271856,1.9470247928283808,4.732879622428392,3.638703549632148,-4.237795084198618
2.82021790689135,1.885730352750388,4.438551284508548,2.4299138218813785,1.510710385920884,-11.218872161960599
4.339131061404305,4.589072693562214,2.2058819550108444,3.5085225192083866,4.422601859133514,10.170052177263702
