q,h,m,mom
3.4677914160393617,4.880798891644818,4.433615897892314,0.3037917326569129
1.0461796785261757,3.370988441994188,4.848066116362247,0.05788754682759386
2.730801954879285,1.8897939000624933,4.968884072944043,0.08264867954618885
2.3078356562274887,3.38752664730623,1.2578509921996035,0.4945936525140536
4.774413410593187,1.0791266655907954,3.844351934942684,0.10664965203326487
4.9997742787384425,3.1665263475786447,1.898453579290772,0.6636264047645389
1.1287360196552636,1.18799355914526,1.0568496852014952,0.1009679140246211
3.5549329452226224,2.2806952654512607,3.9919173978905027,0.161624525960962
1.6307763369210528,1.4683767854187662,3.8508878011945136,0.04948358791935245
1.4980525017990138,4.395940745950945,3.1305040498486267,0.16739972108817114
1.2529591226174883,2.8039802485040948,2.2633031216616546,0.1235262525070324
4.555773058987613,1.5935246846925222,2.5794922293587703,0.2239632646435369
1.776631116461223,3.7634347281822262,4.605713830436049,0.1155246970126618
3.055702363805787,2.318190558533572,2.4944940658982757,0.22597887575571074
3.202425899523337,3.8868545883650985,4.998207287668022,0.198177002617874
4.775061631933341,1.6922693100437558,4.767294172310768,0.1348859280464692
3.3162895857669263,4.1309751115691045,2.617821784064563,0.4164425375663605
3.054387693864516,4.914296990983964,4.100537670028183,0.2912962477589491
3.5186130934668767,4.918891556312207,1.2897214088723556,1.0679059087279523
3.091214383953817,3.9296417326900377,2.8364343031133767,0.3407999245371573
3.3693356544602087,3.340630992713784,1.3995106762740348,0.6400099174883913
4.652091162764897,4.302300999920869,4.121406025440084,0.3864503832715029
1.4913366423385148,2.9809068203224536,2.321470757127463,0.152388083772385
1.450626253279509,2.7946796883492633,1.2782723497245647,0.2523796377633388
2.0856248906435932,1.474272365484549,4.3510449389281725,0.05623549125343311
2.8194049523801112,1.5108675307022843,3.633935691946661,0.09328176284035362
4.50561491670936,4.775657988370664,1.2927863014765508,1.3244960952140048
3.730538425946779,4.106821275785855,2.963383138722877,0.41141455446654973
4.6193949138208215,1.4602624011538512,1.0993122657862728,0.4882981256446802
3.9040769699345934,3.2344790729503656,1.0563229661474245,0.9512970078512656
1.4717207525932068,4.2471989351944845,3.296158726041101,0.15090722616283586
1.784373073218668,2.886818775351806,2.0590921775617868,0.19907628579305736
3.765342290466882,2.369621519619559,2.3269567074473905,0.30513026056962345
3.8651875407028182,2.2823780038513446,3.2982494006072023,0.2128456544885884
1.2825569038953608,3.5925256722538252,3.5979099140432145,0.1019098996540046
1.7056408590698298,1.856272065455542,4.317412680244149,0.058357381053560226
2.0535825257882183,2.312841810725341,2.3107943921723866,0.16356369803290147
3.3437533848301815,2.327135980749366,4.285434907579469,0.14449447223600986
4.5173703964879115,3.5138171563946337,2.722833641772604,0.463910164872022
4.853984374966126,3.3386085535667505,4.2402600814572144,0.3041315787011205
2.0811029837494197,4.248981354291919,4.863815970747039,0.1446743029928812
4.393129324172655,4.99368762373459,4.435982647322653,0.3935461403042676
1.3222303881109023,3.2681673541708065,4.579207026674409,0.07509504451615005
3.4457233690200098,2.9214861078647294,1.2986984545987972,0.6168307928870183
2.0986568555937577,4.55090138147758,2.3166916742917705,0.32806564750636896
4.353752544533709,1.156420713797672,1.5699631278586632,0.2551997747488829
4.094408234416059,3.615736669353885,2.7035192781262447,0.435761242797911
2.964428664236028,1.998675549479576,4.448041913482463,0.1059996835344772
4.0478023245819985,4.009791069172263,2.009426815202389,0.6427750076216558
3.5603691170662115,1.0918440761943216,1.0993093715535176,0.2814011403941329
2.3277338643978185,1.9488173924909813,3.5472549588336277,0.10176588252981417
2.099950140426265,1.348845075583092,3.5797767301341787,0.06296587594360127
2.3372194072707866,2.5848896773744943,3.392497765913132,0.141713773269292
2.1548843404452347,2.55785803447326,4.405199806847307,0.09956917904011574
2.909817611357272,3.2570507172962864,4.927615292849079,0.15305362880910253
4.536349698102923,1.2030373271044312,3.783202244107881,0.11479321148612324
3.4599224342158013,4.818896186171814,2.242239575750956,0.5917279118086041
4.887145431322376,3.8360379994861553,3.748637639311237,0.3979741262987253
2.4915170657842167,1.2456059628001848,3.892034752235882,0.06345384907989292
1.1336700092513667,3.6639929767233848,4.816673552669371,0.0686252931992684
4.706627266217007,4.939207274950164,1.94583151872841,0.9507185337990148
1.3515346977222134,4.620021137963045,4.242119856584166,0.11713275642322372
1.6604734194371815,2.801605473461616,1.7429764019506253,0.2123916964550879
1.846883237998857,4.9908735807491995,2.0609474221311967,0.3559092149397521
3.1076791198302494,1.0177340816400489,3.950781234775482,0.06370560460702543
4.135687255475366,2.7139123774464524,1.7469084408754294,0.5112855325241161
1.6599127906584543,4.422612662170378,3.154394300574864,0.18519887024204346
4.860722782383947,2.5009790669707828,1.98220365671397,0.4880370268927458
1.4428121167513963,4.030584967440626,3.171228840084712,0.1459285997462294
3.889305840772382,4.799279697680278,3.4172462803011854,0.4346723481993604
4.273791921774859,1.9384869543597236,1.607938782137416,0.410012297106534
