x,c,u,t,t1
3.136253396071853,3.01490986966427,1.5701764775388956,2.2562289814289005,2.0083300398273702
1.7429604143893775,4.737263679825643,1.4625443631152035,2.615099634988721,2.629986472184862
1.0161715586898898,4.327622027515623,1.7564015702552591,3.9913469130985386,4.262932097419894
2.545697874089378,8.426852402316587,1.7257571323297314,4.197920618771478,4.225614349865281
1.0870895962229057,4.815440317192426,1.6727446917193047,2.1491440842068616,2.208236641473708
3.1767901264529,6.753469520190565,1.3293157038824872,2.94436238345227,2.9086758695797923
1.9512754536699437,6.392819360148735,1.8331462246115133,4.194225044945543,4.286720263344031
2.8662688916926005,7.293440036764839,1.7332891015398642,4.416952457755395,4.451077611383794
4.446984207644814,9.526906148386473,1.7395124857156286,2.5554542170393244,2.5124611949121225
3.324207570667002,6.778492026723535,1.7262723790046393,1.9857714086607707,1.9243288401192757
3.1872300799780118,8.573816555101759,1.2312575432701478,2.7680520653903544,2.743100394635431
1.652179679285521,6.078271854155567,1.8209633298235668,2.6125328438531965,2.6529519472353957
2.6992905908506737,7.460204050739965,1.5746315923887289,1.4697421902844052,1.4254865374652868
1.0231714700328216,9.033879341928392,1.9366321705781115,1.0691276027387118,1.069716935969641
3.413080428424152,3.0443876034663586,1.6476370559279017,2.734448073391625,2.530293114985636
4.927688367511825,8.213513354302156,1.3058418206809246,4.824328999899745,4.789868814146594
3.4136440209966636,9.642470775705318,1.8190201908680768,4.46931992529043,4.483027559377425
3.614934277083526,5.961973713512678,1.963073390644864,3.0576453975460827,3.026782669076308
4.005993599153623,3.29132657268886,1.057264687709679,3.4162616228901843,3.1945906527917667
3.5058478474544392,4.371289588691203,1.394270597991328,4.830254967240601,4.826543611750385
4.261492413411629,8.391984076367214,1.56175660694521,3.0386535594013875,2.996497475367464
4.280530478076157,5.884112871293535,1.3762591366384658,2.486385990736032,2.3823149254374263
4.7673568615406134,7.345502310789088,1.6521606003982856,3.069762529951229,3.0006711523844025
1.5025202533502642,7.166257874936536,1.2574849281866536,2.072715031819853,2.0680110781464545
3.2667270238035897,8.517012119898613,1.2934452395772742,2.3606730775583333,2.3294433896380102
1.4681384107684778,6.512234704979024,1.8418487128106549,1.6392181705564557,1.6425198309109443
4.063537535449878,7.040115576595517,1.51064850779633,3.0630619727430584,3.009304166386072
2.647563104949324,3.813930725232253,1.332969505441826,3.0059412526456653,2.949319431455544
4.6977956767123885,3.763833761798767,1.0877181778014695,4.385347750162727,4.2040243151336005
3.766944771845616,9.677140557000527,1.1550690995086972,3.696833176034882,3.676655128795381
2.384160358287392,8.397083592725778,1.8212592327354449,4.882763460693766,4.938745675414171
2.5667972542270694,4.7110570618266765,1.5162642553981514,1.3881487768120442,1.2809484825898445
