epsilon,Ef,E_den
4.46,3.38,50.95282399999999
1.5,4.02,24.240599999999993
3.18,3.5,38.955000000000005
3.58,2.38,20.278551999999998
2.8600000000000003,2.7,20.849400000000006
3.5,1.62,9.185400000000001
3.22,4.42,62.907208000000004
1.54,2.06,6.535144
2.66,3.94,41.292776
1.78,3.02,16.234312
4.02,1.6600000000000001,11.077512
1.22,4.62,26.040168
1.74,3.98,27.562296
4.34,2.7800000000000002,33.541256000000004
4.9,1.3399999999999999,8.79844
2.2199999999999998,1.98,8.703287999999999
4.300000000000001,4.78,98.24812000000003
1.1400000000000001,2.2199999999999998,5.618376
1.42,4.26,25.769591999999996
3.34,4.140000000000001,57.24626400000002
2.74,1.06,3.0786640000000007
1.26,2.74,9.459576000000002
4.62,2.46,27.958392
4.18,4.1,70.26579999999998
4.140000000000001,1.9,14.945400000000001
2.58,1.18,3.592392
2.06,2.3,10.8974
1.46,1.82,4.836104000000001
4.859999999999999,1.74,14.714135999999998
1.7,4.82,39.49508
3.7800000000000002,3.54,47.369448000000006
2.54,4.66,55.157624000000006
2.46,1.46,5.243735999999999
1.3,1.1,1.5730000000000004
1.18,1.02,1.2276719999999999
3.46,2.34,18.945575999999996
2.98,3.1,28.637800000000002
2.7800000000000002,2.1,12.259800000000002
3.3,1.8599999999999999,11.416679999999998
4.54,3.7800000000000002,64.869336
2.62,1.1400000000000001,3.404952000000001
4.58,4.74,102.90160800000001
3.9,3.34,43.50684
1.98,1.78,6.273432000000001
2.1799999999999997,4.0600000000000005,35.934248000000004
4.220000000000001,3.46,50.52015200000001
4.98,1.58,12.432072000000003
4.1,4.58,86.00324
2.3,3.58,29.477719999999998
3.1,1.5,6.9750000000000005
4.74,3.3,51.618599999999994
3.06,1.94,11.516615999999999
1.82,3.2600000000000002,19.342232000000003
1.38,4.18,24.111911999999993
3.38,1.7,9.768199999999998
3.94,4.54,81.209704
3.2600000000000002,3.62,42.720344000000004
4.5,4.859999999999999,106.28819999999997
2.1,3.8200000000000003,30.644040000000004
2.8200000000000003,2.62,19.357608000000003
2.94,2.98,26.108376
4.42,4.38,84.795048
4.82,4.220000000000001,85.83648800000003
2.02,4.9,48.500200000000014
4.38,3.42,51.230231999999994
2.42,3.22,25.091528000000004
4.0600000000000005,2.8600000000000003,33.209176000000014
3.02,2.14,13.830392
1.62,3.14,15.972552000000002
3.66,2.8200000000000003,29.105784000000007
1.3399999999999999,2.58,8.919576
1.8599999999999999,3.18,18.809064
1.58,4.98,39.18463200000001
2.14,4.46,42.568024
2.38,1.22,3.5423919999999995
4.66,2.02,19.014664
4.7,1.38,8.950679999999998
1.1,2.9,9.251000000000001
1.06,4.34,19.965736
2.26,4.5,45.76499999999999
3.54,2.5,22.125
2.34,1.54,5.549543999999999
2.9,2.94,25.066439999999997
2.7,3.86,40.22892
4.9399999999999995,1.26,7.842744
3.74,3.74,52.31362400000001
3.7,4.7,81.73300000000002
1.6600000000000001,1.3,2.8054000000000006
1.02,2.26,5.209751999999999
3.62,1.42,7.299368
3.14,3.9,47.7594
3.98,4.9399999999999995,97.12632799999997
3.42,4.300000000000001,63.23580000000002
4.26,2.54,27.483815999999997
3.8200000000000003,3.7,52.29580000000001
1.94,3.06,18.165384
1.9,2.66,13.44364
4.78,2.42,27.993592
2.5,2.1799999999999997,11.880999999999997
3.86,3.66,51.707016
