c,v,u,v1
3.932797938458145,1.4055568664930955,3.749502301682465,3.8449455241319583
1.4651568525782546,2.204790905655317,1.5550124622625958,1.4476910427380745
2.6835874734888585,2.9626623094840405,1.5670360155375134,2.7541880046386957
4.094360018050929,1.8606110478032885,4.5781983500346035,4.2693884960228194
4.251235656903821,1.1282203455176751,2.3383247128629554,3.0249833756961304
1.6969734466220858,4.376225638794557,3.2196648433185198,1.2890051608498765
2.7490142829060416,3.9429287397965336,3.707570540053256,2.6071447351831583
1.0986938408934726,3.3429265966538617,2.038499001380904,0.8098141292333464
3.317815834314969,4.711177133451867,4.337358463180268,3.167912354102168
3.6192647876200654,4.3085054753529715,3.9193113382887534,3.5943033666943727
3.3407326895430574,3.859348181856793,3.4405897828119647,3.333653493060869
2.411904811785273,3.084236774381286,3.912071882828808,2.2758724672213044
4.953299072008878,4.1862778632070725,2.4712521048001896,4.682947454673658
3.97270503036391,4.685312458238079,2.6908638247821144,4.100527345064164
2.1609869227114062,2.030311409552385,2.395058447130644,2.167920933685871
2.723595348813652,1.2568846339461892,4.0984049687076745,3.1605357333184805
3.3115333312336785,1.5132866288121267,3.840629765499575,3.4993210475461503
3.0905115092337967,1.8861890855648376,4.891967066327473,3.4475682739566773
3.0230717806279035,3.3457243812332087,4.560361739969191,2.9616094883928503
2.3067800776864837,1.7908783591681714,2.4024429311481,2.3186097751210464
2.748970544269067,3.8323132866988834,1.8763240526458944,2.92519082450631
4.938739578732252,1.7739096672050048,3.783420776240897,4.3581466894647365
1.6901402876775298,4.5848760974996505,3.7504937386234976,1.1874354657029909
4.216477005681339,1.227460429672457,4.43880336613304,4.337112024440009
2.6522874596289587,1.782152529315184,4.04377766723827,2.8777835488989645
4.329810356681806,2.596314644382936,1.3908591785965312,3.3432038814298366
4.079771221863,4.157892578869895,1.6426304033872399,4.112860816960011
2.611022290989722,1.987011071824989,4.916786224051629,2.8375107881111883
3.4895778056846964,1.516337719677889,1.2310521062732147,2.382210096297376
2.8992686433297616,4.145335793779792,1.3074954761863156,3.3152001968722944
2.2853064461958064,2.827920943018825,1.9985057314150607,2.3180116667400137
4.064316853502768,4.6135453484011295,1.9227608891817536,4.252602552558568
2.519394875406705,3.093056099831522,4.791067374784612,2.364280999719872
4.391515045024047,3.762113071589431,3.5754132118539843,4.322609462493361
2.0962889828467715,2.2797911290938018,1.2296541452482257,2.1426048444359487
3.9292517253239354,4.491580674433093,1.4899748426357164,4.172782172141932
2.6552717149363123,2.3246093761465216,2.4576254162025486,2.641675655669581
1.0529066094271733,4.041077725057495,1.0640760862027685,1.0464091862502898
2.1424566092494666,2.1495422629630943,1.60609480877377,2.1434690260040044
2.2462638286143117,3.950720134503418,3.7801634852205455,1.95233201196156
2.8386494411430707,2.205539389265758,1.7708662878800596,2.678247181463637
4.250890619138039,3.5596967366898284,1.8678862833235883,3.967640179533481
4.956812251701394,1.8465088079214107,3.7214109089260554,4.351041106767909
1.7233444466589911,4.8426735669012695,3.715162672345537,1.2125265556087923
3.1115025598338155,2.7759959316932776,2.913555045264053,3.0998734368210417
4.8417610468164405,3.1489061204645115,2.032291089888369,4.070116189571639
4.277811313232107,1.9826384431516888,1.341064867894714,2.9020504793280537
2.1917430236949222,3.6931940013518636,1.278465525693596,2.5072596202167383
1.5501376262339033,2.3248776991207056,2.098648007420206,1.4596771503871997
1.569425283047067,4.049974690795911,1.6447454779365065,1.5372885535402712
2.8723961085255434,3.0831001709481187,3.048217344337416,2.8663666565025467
3.354202350832429,1.1119840575458153,4.814675131574635,4.015709302514728
3.6224158609379815,4.329736068564712,3.0497048042630346,3.678154953036776
4.087790117595729,1.5820420051229376,1.6839997012963837,2.816925967368271
