n,kb,T,V1,V2,E_n
3.7,2.58,1.94,2.94,1.38,-14.006584234178499
1.22,3.22,1.42,4.1,1.54,-5.462324199628981
4.66,3.06,3.02,1.6600000000000001,3.9,36.78349422256489
3.5,3.5,2.7,2.5,2.9,4.908991669286887
2.34,1.02,4.9,2.2199999999999998,1.22,-7.001477432868756
1.38,1.7,1.3,1.1400000000000001,2.8600000000000003,2.805185796724854
2.2199999999999998,3.94,2.58,3.38,1.82,-13.969699342065887
2.62,3.3,3.74,2.3,3.62,14.666492842853808
2.94,4.54,1.6600000000000001,2.9,1.58,-13.455643180275107
4.9399999999999995,4.62,4.18,2.7,1.42,-61.3031063472333
2.1,2.9,4.5,3.62,3.5,-0.9238515264660528
3.94,2.2199999999999998,4.78,2.58,1.94,-11.92000622511302
2.26,2.1,2.8600000000000003,4.42,4.74,0.9487570904928619
1.9,4.42,1.1400000000000001,1.42,4.26,10.517806440267657
2.42,1.58,2.34,4.46,1.3,-11.029999079225766
3.3,1.82,2.74,4.02,2.54,-7.555444884099074
1.6600000000000001,2.3,4.66,4.34,2.98,-6.688875924684536
4.02,1.9,1.26,4.7,3.2600000000000002,-3.5207551553215035
2.7800000000000002,1.6600000000000001,3.38,2.14,3.42,7.312895246425004
3.14,4.82,2.98,4.859999999999999,3.1,-20.27936450190093
4.220000000000001,3.98,2.62,3.7800000000000002,1.26,-48.34385369555177
3.2600000000000002,2.74,1.54,2.8200000000000003,2.46,-1.8787188556834686
1.1400000000000001,3.18,1.82,4.98,1.3399999999999999,-8.661413772734868
4.300000000000001,1.3399999999999999,4.220000000000001,1.46,4.9399999999999995,29.639036208079247
2.98,1.94,1.46,1.38,1.1,-1.914091994311103
3.66,4.38,4.62,3.98,1.6600000000000001,-64.76482767552193
4.34,4.9399999999999995,4.140000000000001,1.82,4.58,81.91322355673887
4.42,4.140000000000001,4.0600000000000005,2.8600000000000003,4.1,26.75781036539512
1.1,3.7,2.3,3.5,4.66,2.6796094619305078
2.46,3.14,3.5,2.06,2.58,6.0852201884960575
3.62,1.26,1.58,4.220000000000001,3.74,-0.870205058437953
1.62,1.06,4.58,3.66,2.74,-2.276893761288722
4.78,3.2600000000000002,3.66,1.02,2.8200000000000003,57.99886032961599
3.7800000000000002,1.78,3.7,2.1,1.1400000000000001,-15.208630477157005
3.42,4.58,2.02,3.94,2.2199999999999998,-18.151301181652652
3.38,3.86,2.94,3.42,3.3,-1.3700596394728535
2.58,3.7800000000000002,2.9,4.82,4.38,-2.707296381304286
2.74,4.0600000000000005,1.78,3.18,4.02,4.641469637419873
1.58,3.58,2.06,3.86,4.5,1.7875640328454256
2.66,4.300000000000001,2.38,1.94,4.34,21.919137783264325
3.86,3.46,4.1,4.9399999999999995,4.220000000000001,-8.626032562984188
3.1,1.42,2.26,4.0600000000000005,2.34,-5.4819533128026325
4.7,1.46,4.82,1.3,4.859999999999999,43.61493729882269
2.3,3.1,2.14,4.78,3.38,-5.2879555960421385
1.42,2.5,3.1,1.3399999999999999,4.78,13.995839112608694
1.7,3.54,2.1799999999999997,2.42,4.98,9.46766158000106
3.74,1.5,2.5,1.06,2.7,13.113134680030464
2.5,4.26,2.66,2.54,4.82,18.147836356571332
4.98,2.1799999999999997,4.74,1.54,1.78,7.4529044100759565
3.98,3.38,4.859999999999999,2.74,4.62,34.156219007727685
1.54,2.98,2.7800000000000002,2.34,2.02,-1.8761039770069532
1.3399999999999999,1.1,3.18,1.22,2.42,3.2104236591696718
4.54,2.14,1.7,1.58,1.9,3.0461259134295546
1.06,3.66,3.2600000000000002,4.66,3.98,-1.994935439834666
1.8599999999999999,1.74,2.8200000000000003,3.46,1.06,-10.796821672103318
2.9,3.62,4.42,1.7,4.18,41.746334622291286
3.54,1.18,2.2199999999999998,1.26,2.7800000000000002,7.338392338347609
4.18,4.78,4.38,3.54,3.86,7.573514649505437
4.58,3.74,1.74,4.300000000000001,4.54,1.6187584147862564
4.140000000000001,2.62,3.7800000000000002,3.1,3.8200000000000003,8.562969555095979
1.18,2.46,4.46,3.7,3.22,-1.7989334106876609
2.1799999999999997,1.22,3.54,2.46,3.7800000000000002,4.044325567952667
2.06,4.66,2.1,1.1,2.1,13.03546047807052
4.74,1.1400000000000001,1.38,4.54,2.3,-5.070871638581614
1.02,4.34,1.02,3.22,2.06,-2.016889408974635
3.8200000000000003,2.8600000000000003,4.54,1.9,4.42,41.87692064050417
1.98,3.9,1.8599999999999999,3.3,3.18,-0.5320208218431179
1.94,3.8200000000000003,4.34,4.38,1.62,-31.989918572668845
3.46,1.3,3.58,4.140000000000001,3.46,-2.8892874734027045
4.1,1.62,1.18,4.9,2.38,-5.659774175965732
4.0600000000000005,4.9,4.9399999999999995,2.62,3.34,23.86115518088876
4.859999999999999,3.42,3.86,1.62,2.5,27.83581100311682
1.5,2.26,3.22,4.62,2.62,-6.191664303914663
1.78,2.7800000000000002,3.14,1.98,2.14,1.2074403334622172
3.58,2.38,1.1,2.02,2.66,2.579563646447001
3.02,4.18,1.22,3.02,4.140000000000001,4.858009756990359
3.18,4.98,2.46,2.66,1.8599999999999999,-13.937047149164954
4.9,1.98,3.34,1.74,1.18,-12.58502743662103
4.62,4.74,3.3,4.5,3.02,-28.821182931259923
4.5,4.46,3.06,2.7800000000000002,1.7,-30.20489622772734
1.3,4.5,3.62,3.58,4.7,5.764373222741189
2.8600000000000003,1.8599999999999999,4.300000000000001,2.38,2.26,-1.1834163021958781
3.9,2.66,1.62,4.26,3.66,-2.5512336355381326
4.82,2.34,2.54,3.9,1.5,-27.37363711488564
4.46,2.02,1.98,1.18,3.06,16.998044543911178
4.38,2.42,3.46,2.1799999999999997,1.74,-8.267916760227768
3.34,2.8200000000000003,4.98,4.18,2.94,-16.506167192191914
1.74,3.34,1.06,2.26,3.7,3.0368288377443484
4.26,4.1,1.9,3.74,4.300000000000001,4.630339324861546
2.54,1.54,3.8200000000000003,3.34,4.0600000000000005,2.9169210999072206
2.7,4.7,3.94,3.8200000000000003,1.02,-66.02054113920177
2.38,2.94,4.26,1.78,3.58,20.828373501484993
3.06,4.02,1.3399999999999999,3.06,3.94,4.166492484087614
1.26,2.06,3.42,3.2600000000000002,3.54,0.7314566883187269
1.46,3.02,4.7,1.5,2.1799999999999997,7.747585712966067
