h,omega,kb,T,n
2.937986857745672,2.807689546121639,1.1684503052990571,2.3924337182827324,1.6682656583367677
1.86983983199808,2.129527275041337,1.8200571769961904,3.84897597023871,10.561614674789398
4.3765231355462335,3.1851533223290183,3.758607461188757,2.665678399154793,4.034449114929728
3.528130891717475,2.2198053071363377,1.6241492436189555,3.2652886424022234,3.7742570841942964
1.2721707884450837,3.632191353634898,2.1813934648219946,2.942132971115912,8.236487761521055
3.0165073274505754,4.143604316604095,4.795994646173376,2.480604276906492,5.494371220564968
2.0076398409055445,4.801986196056115,4.590087577187711,4.744317076501671,13.698662900528348
4.162574286942373,1.1064815044455891,2.9302684170834827,2.817909843536996,10.771800771998372
3.79447218769668,2.371337123052625,4.608470900927635,2.3789257293429937,7.166371173921404
1.3688490748263762,2.675821625142309,2.3352673440646674,3.5464592318117627,13.712745488158523
2.0148118573693896,1.6943823110393463,4.725114036363029,4.268554718459513,36.62388091500158
3.8452178942771953,3.5141646761410743,3.044884978820144,4.701307214735147,6.168714419638642
3.2455846415336995,3.0987047742057814,1.527316204463863,3.0971316838276137,2.483402368348654
3.1975817799625914,3.2205111458350273,1.7605347037077226,4.930024295597415,4.8114713921499535
4.796410017651869,4.605946179437296,4.956241125918933,2.671179590026479,3.2874114535727323
3.7625054210123436,4.432288021700707,4.299836013409461,4.254823385909481,6.4050839222654
2.7579415219335246,3.710807787836513,1.2958993724691201,2.8707998179895227,1.8203926693548933
1.0278893577310364,4.373250871496496,4.296558326537151,2.3904494625487054,13.861670022111616
1.0930208298938764,2.5667886122318557,1.9172818498360347,2.5461453412530632,10.440397977605631
1.4294910777322218,1.8073907516960488,3.2319618792730482,3.99199851575688,30.87904515237818
4.309345117802952,3.487875199767723,3.5235180732647287,4.3744766381426725,5.956256385190972
2.521351526187905,1.6844329332080852,2.6343638336009088,1.208871554529594,4.2290600796036255
1.6437856740926753,3.3280187087105912,2.3883642378992143,2.03976662352578,5.110270107647188
3.1877863956789123,4.79052084860291,2.98430879556512,2.2297821880077864,2.2682479220640754
3.2450095949976245,3.0494673556156324,2.8547356977263845,3.35205198363306,5.589691947586181
4.078618976836673,4.787896969814627,4.391749525121107,3.2552416423935844,4.117942386503582
2.13233644907258,1.8845602731296356,4.326142264772072,4.077984498274762,27.08722609966492
2.129606310880217,2.5848970013015915,4.7241046690924815,3.2652459351680987,17.111219811139733
1.5339103707754664,4.823384647494755,4.302782395428167,2.731561138773734,9.489674817584325
2.3459922855844266,1.1481607378260172,3.0340625704058923,1.9817464614455143,13.531598221805275
4.245632445020683,3.8686899759903097,4.651657592139392,1.2457637321090034,1.754216946529425
2.9203165652359195,3.900409196702831,1.197650899939782,3.1010668934624723,1.5892284322496135
1.4372546929206087,1.4401603669379468,3.3762090433373277,1.9723170515629882,19.7176139911545
4.379088805489428,3.930372304097701,3.6263376050645366,1.722922566876758,1.8172679825769864
3.463963562293188,1.0044640993752818,2.953118539157908,3.2106219878153377,16.626381860477313
1.3229986501526143,1.2877736968673037,1.6828028784030562,3.0177468391989226,18.232689430356636
2.943851261752376,3.102739289548448,3.889665853725076,3.914865643501799,9.982805882818496
2.0612874207359333,2.4738066653691364,4.925387098906341,2.0538992225487678,11.971764309783252
3.628348869260951,4.128488813445955,4.6818485979683615,4.32633778509704,8.005864975270653
2.968123310491229,1.6882990702060712,4.370231642458633,2.268455097167387,11.937048561523307
4.4397645997867965,3.3333856918425075,2.573737718015976,4.0546267246648995,3.9492603748333126
3.7364338994956885,3.877093941216464,3.2844861533925163,4.701445680797512,6.209974414667549
1.966015833423084,3.6784022277317754,1.7289427093956797,2.1654671929960947,2.7784417818122145
2.3617322762964927,3.9199535761349775,2.7350580842082386,3.0992253264212435,5.267393499761308
1.138449215724545,4.921076929721863,1.5511839930613696,4.142342247790986,6.717910055828956
4.21738157427285,4.7059174289129295,2.3445494919414784,2.2656500529222243,1.23094983317795
4.548143522351538,3.0783208011137857,4.070846877617278,4.2345762955735315,7.246948781368505
2.1409505596929126,4.40853120298422,4.5590154677630705,3.230058780210603,9.311539911779274
4.796141104290862,1.272453137910818,2.090967339949494,3.612893394317516,7.288363662456857
4.107895796753587,1.2722591766590328,1.9349421955309176,2.79369042290081,6.011587362455177
1.0389924671629052,4.3738740508315885,4.606358579340657,3.4147961395528217,21.25205174674912
1.1871446907287575,3.2011782909305753,1.0380139140659352,4.528015795742618,7.281730501187879
4.302951952555572,4.1643739759574485,2.125008649028933,1.8432255309802947,0.9335647119651904
3.3581283045836634,1.1183192153575177,2.8426222638793304,4.845679498605021,22.549354661879875
3.9285964521949928,4.880776470802103,3.7388556665970913,1.8874564482285419,1.8483583147068807
1.746618569483029,3.0813423973153524,3.948268016571632,3.676836458778817,16.453085233445993
3.6015181224639305,2.4200636481799056,4.644249670520778,2.6417511055856733,8.353953535896308
2.7798469776757653,1.065732110009213,1.949342447720665,1.1125410012445571,4.117650800973257
1.0821796232381584,3.0417254169766794,1.6610034475533937,1.1168357946560303,3.0644575958107576
1.8744231901867991,2.018705812526879,3.4182234096566817,4.528226521128027,25.205292802662193
4.336059729902739,1.4449622237072552,3.929138909561073,4.750097428864169,18.22109785903633
3.8786514698366537,2.9975952449074885,4.330504472383429,3.9021003497011963,8.64106359161528
4.277244074756859,2.1842490837455277,3.8290480070339084,1.8691485469187503,4.330660007802519
2.16098046274274,4.274905154791951,2.5612138540901026,2.866798897348103,4.510642053467229
2.891962763523075,1.7224467331019877,2.749068352373107,1.6593970618553215,5.26857277970563
2.6637047985613336,1.3907883615363508,2.104155314726898,1.7905892667498369,5.903118700963298
2.2831720689967794,3.0362416409954736,4.460264589343849,3.3454043645953733,13.030440614463329
2.9861511525937883,4.40590259520496,3.9315983608330387,4.105324141327231,7.2189514922205165
4.272507722093591,4.956748395069125,2.9078250547683706,2.6211946378490487,1.7980810669727585
1.5198331987581049,1.1487536053277885,2.781071250726729,2.2069144443627526,21.591684848728985
3.9455703434991047,2.8264377151316364,1.7555336382162978,1.7444570344618446,1.273469513583418
1.594330000765945,4.140091567571907,2.0467355361516364,1.5392904994836982,2.526718966389176
1.6201499247647333,2.702955673546248,1.8579958830313288,2.1792501533790856,5.323821446938659
4.2705354697021445,1.6687047203795151,3.8340641280361663,3.8708570410684464,12.591693790478981
1.5859166423856708,2.4624283384153087,4.627969486925622,2.954958724263522,21.50658047574819
1.9479528090884195,4.691701814481889,2.460448237858066,1.8767837623203525,2.7008827879461688
2.596552853122411,2.487935163031718,1.4018960010253725,3.236645098188184,3.9320758300229417
3.0962969954035287,3.0795180260893678,3.1220806872344684,2.7241710375494304,5.119311273595184
2.2812188328022938,2.9784098124516536,1.4276238087979969,3.941964406583007,4.720214431696557
1.1940814382337894,4.14176379557269,3.3161467503424222,1.0627063491364055,3.9958088126932476
4.855182343765764,2.6070965992642217,2.3572374252973485,2.6926673841267843,2.6770774003862225
3.8869673561909783,2.317729561906046,4.19200433869748,1.029534345470259,2.5376503694773453
2.6004201520099244,1.9917937281127616,2.2283100770500384,2.2763473329062536,5.666809325866153
3.117394742015932,4.358529503778456,2.405930036820962,2.577074264132952,2.3962057346934964
1.0201676270011202,4.276527322754278,2.8784206776777204,4.5525973754114295,18.376965561069017
4.875127711198759,2.852491571004381,1.8394395654826048,4.728276237204937,3.4508694025653766
2.869368132068173,4.855044034738878,4.544259321209709,2.4901526164957883,4.620068634994512
3.0211335128544707,1.6210680114576723,3.1721484489215253,1.378022922314062,5.12298906495479
2.4724614773889555,1.5215905790971136,4.786146824865048,2.704509852004694,21.12243182901703
2.8157429409204036,3.8047502108382463,4.519793918960284,1.6171827647416293,3.8062733046078434
2.293542453257043,2.627625577565772,4.184207350694246,4.2521254305789125,18.053849718266523
3.229454723092912,2.943855301295831,2.0422030507538107,2.4079972218889782,2.7756433495596022
3.710195414434136,1.8616831128714444,4.797686142202546,1.9591803598523416,8.060087760487807
3.4532442055734056,2.859156676344149,2.926204533236342,1.5133554986528055,2.3476336644249933
2.864368131096584,2.7212293887006385,1.2497534296699868,3.867980160921275,3.4180397491008323
3.703629363461677,3.918916039054212,4.508550894046065,3.920768961486248,7.163233164941349
4.030133811163669,3.50240415645688,2.8601983780353657,2.8096574637931147,3.1004691108997307
3.60042513583784,2.052885722785532,3.003409612573533,3.998256512059325,9.716300027269448
3.0652662047995847,3.925125934912791,4.2183526648830725,2.4190328511038883,4.844591917869746
3.732959547651452,2.302381218903272,4.7299939038076815,2.7091129541499295,8.876681846577398
