epsilon,c,Ef,flux
3.303001375053919,4.197345702240764,4.686733239866099,304.52571009873793
1.42280942567422,1.7462745485296036,1.969567568989944,9.638313027935693
2.831683671409135,2.5577034715350457,3.3445097427098727,81.01395982472803
2.347979567047765,3.8905718823403226,3.6270694181039937,120.17648355849131
2.279280236642805,3.8870764462629483,3.9592876291747303,138.88486231484492
3.472479806333677,1.7361944403755154,4.423779867814441,117.98454057547907
1.469102043988025,1.903596278931264,2.6382453284160268,19.465123600589344
1.9521701243156653,1.449287993314397,4.152936361685997,48.795852375078155
1.2787700065616885,3.138056762329534,4.598946724880538,84.87308603776025
2.525727982422567,4.233707060201061,4.229514531238824,191.2883070150927
1.0384757374993736,4.6428389349136605,3.778607106279282,68.84040966084436
1.7376857169973925,2.8709628897211075,1.557861458722825,12.107555719320304
4.993442602536919,2.0362236967707763,3.0168374341106032,92.5399725113937
2.8872838938487666,1.2999071900794426,1.1946930379893468,5.35691184960316
3.9017751228792763,3.8181957807536935,3.6017942717694686,193.26723565662869
1.715112964380639,1.4665986258929058,2.048126904655487,10.551585652865574
1.4231253934917047,1.5271784522232617,4.391266478962324,41.909505923257534
3.3068343504370894,2.0725552215778187,4.37048003293342,130.91120848915034
3.3104062451798506,1.6240993472252212,1.265386708791706,8.608756449312517
2.2131797597243112,1.2325680718350611,3.9584858998700234,42.74504790200389
1.2682878622369973,3.3666486437679066,4.223601899772058,76.16958395175321
2.969766396820745,3.2316172253933018,2.2074340466181184,46.764648733477436
3.73846129350258,2.461037390363761,3.597733431501504,119.08829133638052
4.9548602558005355,4.273009448430907,4.298969580258612,391.28572811216384
4.920620661939555,4.897204304441763,2.416147508792711,140.6743763260256
2.869753477944616,4.4655560575728686,4.108063227791101,216.26905122832028
1.9653751667929475,2.9310264891531985,4.8156443351918865,133.59002032824569
1.6892048967012974,3.0528243754579836,2.233198957205411,25.718106187869314
1.7407851424339895,4.911183107819076,4.307511544132018,158.62958863589876
3.172234174420673,3.614610429628817,2.7248171099769243,85.13368893134462
