h,omega,kb,T,E_n
1.6600000000000001,3.66,2.46,4.9,11.57698249257554
4.7,4.140000000000001,1.42,2.94,2.8160829082947516
1.3399999999999999,4.46,3.74,1.7,5.894266951826149
1.22,3.86,4.1,4.46,17.913813667533173
3.38,3.18,1.9,2.58,4.096316563580704
3.86,1.06,1.78,2.26,3.705981480652793
2.62,1.8599999999999999,3.42,4.7,15.689321572300413
1.58,4.02,4.78,4.38,20.43502303368996
4.9399999999999995,1.98,3.46,4.82,15.91094440838549
3.22,3.58,3.58,3.98,13.350743900981524
4.300000000000001,4.38,2.7800000000000002,4.300000000000001,10.517809350144221
1.38,1.94,4.9,3.74,18.113780753961155
2.02,3.62,3.66,4.58,16.18763052392878
3.34,1.58,3.98,3.2600000000000002,12.559384152297994
4.58,1.78,2.8200000000000003,4.34,11.60151328555647
1.46,3.5,1.06,2.5,2.264126140743794
1.3,4.66,2.54,1.8599999999999999,4.25870555180509
1.26,4.0600000000000005,1.5,1.06,1.2175046220810246
4.0600000000000005,1.3399999999999999,2.2199999999999998,2.8600000000000003,5.9261038240258515
3.7800000000000002,4.9399999999999995,4.18,4.859999999999999,18.865052345148115
3.74,1.46,2.9,2.42,6.592440861979227
2.46,4.300000000000001,3.02,4.42,12.524319261056071
2.5,4.98,2.02,4.02,7.169912687808731
1.06,1.7,2.1799999999999997,4.140000000000001,8.88256085547287
3.18,4.78,3.1,2.74,7.34173227541119
4.140000000000001,3.38,1.46,4.66,5.75069943407335
1.78,2.8200000000000003,4.7,3.06,13.98625082772926
3.54,4.220000000000001,3.86,1.98,6.515545378231937
3.66,2.5,3.62,3.34,11.37727919603489
3.14,2.74,4.46,1.78,7.273819303027539
2.9,3.7800000000000002,3.2600000000000002,3.94,11.991813763144924
3.94,4.34,2.5,2.54,5.086158775580746
3.2600000000000002,1.42,3.06,3.38,9.978793135629113
4.54,2.62,2.26,2.1799999999999997,4.040712188687132
4.18,2.7800000000000002,4.66,2.06,8.70455218425579
1.54,3.8200000000000003,1.38,2.1,2.45502535067314
3.98,4.58,2.74,1.26,2.2026370295404534
2.06,1.6600000000000001,3.7,2.62,9.42442302724314
3.06,4.7,1.94,2.8200000000000003,4.405892981303676
2.1,4.18,2.66,4.18,10.43489335302748
2.8600000000000003,4.26,1.18,1.74,1.2340470559357928
4.5,1.22,3.5,1.3399999999999999,4.266677186041965
1.82,3.98,2.7,3.1,7.806800962591147
1.18,3.06,4.140000000000001,4.54,18.509725874244182
2.42,2.98,2.62,4.78,11.958483710243136
3.02,2.1799999999999997,2.42,2.7,6.024090298448647
4.82,2.06,1.54,1.22,1.1981410564980324
1.7,4.9,4.98,4.1,19.76229273593488
2.26,2.94,4.0600000000000005,4.5,17.746355889439545
2.54,1.54,4.74,4.26,19.882724221150553
1.8599999999999999,1.82,1.26,3.7800000000000002,4.498492109896282
1.94,1.26,2.1,3.62,7.40913986812914
1.1400000000000001,2.14,4.82,2.9,13.78476156436916
1.02,4.82,2.14,3.02,6.079458037913039
1.42,1.5,3.8200000000000003,1.5,5.562171223478082
1.1,2.02,1.1,1.62,1.6110234547290636
2.8200000000000003,3.3,3.22,3.42,10.288446858236583
4.9,3.14,3.18,3.5,9.950481634920301
4.62,3.54,1.3399999999999999,4.0600000000000005,4.242313761035126
3.5,1.1400000000000001,4.62,3.46,15.669788094726128
2.34,3.2600000000000002,1.02,2.34,1.8309953896985243
4.34,4.1,3.9,1.82,5.77591040224718
3.7,4.54,1.7,2.38,2.8554110969068622
2.2199999999999998,3.22,1.3,4.74,5.610643178998358
2.1799999999999997,4.74,1.74,3.54,5.3738578306482845
1.74,2.2199999999999998,1.1400000000000001,3.86,4.100163479456752
3.42,2.58,2.58,1.58,3.4144763691144755
2.74,2.66,4.02,2.3,8.678131827156312
2.58,4.62,3.3,1.1,2.763712928795539
3.9,2.1,2.38,1.3,2.487887867080694
1.62,3.42,4.38,1.02,4.041202873736141
3.46,1.02,4.42,3.3,14.30695764318628
3.3,1.1,2.34,2.46,5.4723649047349054
3.1,3.74,1.22,1.94,1.562866390511369
3.62,2.3,3.34,4.220000000000001,13.442618248926383
4.46,3.46,4.220000000000001,1.46,5.0145630306869045
2.7800000000000002,2.38,4.859999999999999,3.18,14.934262300338133
4.98,2.34,4.300000000000001,4.98,20.500052159955974
4.26,1.3,4.58,1.54,6.6216762226790005
2.38,4.859999999999999,4.9399999999999995,3.8200000000000003,17.965306564251577
4.220000000000001,1.62,4.5,1.42,5.861407902348404
2.3,3.9,2.06,2.14,3.7330497051191087
2.98,2.54,2.3,2.2199999999999998,4.527325518276646
4.859999999999999,2.42,1.6600000000000001,1.9,2.310110963256296
4.38,2.26,2.8600000000000003,3.9,10.384815937312588
3.8200000000000003,1.38,4.34,2.98,12.518234716069111
4.74,1.74,2.98,3.22,8.954235986445028
2.7,3.34,4.26,2.02,7.907509998146902
4.1,3.7,3.38,3.7,11.337628558909831
4.78,3.94,3.94,2.7800000000000002,9.522770762849344
4.66,2.46,3.7800000000000002,3.14,10.98031762347673
1.5,1.18,4.54,3.58,16.112754753633425
2.66,1.9,1.8599999999999999,1.38,2.1855868731032024
4.02,3.1,3.54,1.6600000000000001,4.9403856544311235
1.98,4.5,2.94,2.66,7.132781183410281
1.9,2.9,3.14,4.9399999999999995,15.07725939136656
2.94,4.42,1.58,1.1400000000000001,0.9607859754082738
2.14,2.8600000000000003,1.82,4.62,7.93075578116216
4.42,2.7,1.62,3.66,5.030139104000376
3.58,3.02,1.98,1.18,1.5807044442221945
