x1,x2,y1,y2,d
1.7,2.5,2.62,1.38,1.4756693396557377
4.300000000000001,2.2199999999999998,4.62,3.9,2.2010906387516176
1.78,1.1400000000000001,1.3,4.98,3.7352376095772013
3.46,1.62,4.54,1.5,3.5534771703220493
3.54,1.02,2.02,3.14,2.7576801845029095
4.0600000000000005,1.7,4.18,1.82,3.337544007200504
2.7,1.46,4.02,3.42,1.3775340286178053
4.26,1.74,1.1400000000000001,2.8200000000000003,3.028663071389751
2.9,2.1,3.5,2.1,1.6124515496597098
1.38,2.34,1.74,4.46,2.884441020371191
4.18,4.26,3.8200000000000003,2.74,1.0829589096544707
1.62,1.9,2.7,1.62,1.1157060544785082
1.3,1.42,2.06,4.78,2.722645772038662
4.7,2.46,3.54,4.1,2.30893915034589
1.58,3.14,4.5,2.7,2.3819319889535047
2.06,2.02,1.38,1.26,0.12649110640673508
4.140000000000001,1.98,4.9,4.42,2.2126906697502937
4.38,1.5,2.2199999999999998,2.58,2.9024127893874776
4.54,2.54,2.94,2.1799999999999997,2.139532659250613
3.7,3.46,2.66,4.9399999999999995,2.2925967809451353
1.6600000000000001,1.54,1.1,2.98,1.8838258942906587
3.38,3.38,2.5,2.14,0.3599999999999999
1.42,4.1,2.1,1.74,2.704071004984891
4.42,3.7,2.9,3.1,0.747261667690776
4.02,2.9,3.38,3.62,1.145425685062108
1.5,4.42,1.7,4.38,3.9634328554928233
3.14,2.42,4.66,4.220000000000001,0.8438009243891593
2.3,3.7800000000000002,3.94,2.66,1.9567319693816014
4.74,1.78,3.86,1.54,3.7608509675338104
2.7800000000000002,3.22,1.98,1.1,0.9838699100999074
4.98,4.74,3.3,3.06,0.33941125496954283
2.58,2.8600000000000003,2.7800000000000002,2.06,0.7725283166331189
3.58,3.62,3.66,1.22,2.4403278468271434
3.98,3.2600000000000002,4.82,2.9,2.0505608988762076
3.22,1.8599999999999999,4.98,4.26,1.538830724933708
4.1,4.18,2.1799999999999997,3.7800000000000002,1.6019987515600635
4.62,2.7,3.1,1.46,2.525074256333861
2.62,4.46,3.58,3.66,1.841738309315414
3.9,3.94,4.46,3.98,0.4816637831516918
1.9,1.38,1.26,2.62,1.4560219778561039
3.94,3.74,2.8600000000000003,4.58,1.7315888657530687
2.1,2.98,4.78,2.38,2.5562472493872734
1.18,4.82,3.98,3.7,3.650753346913484
3.8200000000000003,2.3,2.14,3.34,1.936594949905633
1.06,4.140000000000001,2.38,3.94,3.452535300326414
3.06,3.86,1.82,3.74,2.08
2.14,4.78,3.02,1.3,3.1508728949292766
3.34,2.14,4.0600000000000005,3.22,1.4647866738880444
3.2600000000000002,1.06,3.7,2.7800000000000002,2.384617369726221
1.54,1.3399999999999999,1.54,1.3399999999999999,0.2828427124746193
1.26,3.98,2.58,1.18,3.059150208799823
1.1,3.9,3.06,2.46,2.8635642126552705
1.1400000000000001,4.220000000000001,4.300000000000001,3.86,3.1112698372208096
2.5,2.1799999999999997,4.859999999999999,1.7,3.1761612049768497
1.74,3.66,3.34,4.300000000000001,2.1466252583997987
1.46,1.26,2.98,2.2199999999999998,0.7858753081755403
3.86,3.06,2.3,3.8200000000000003,1.7176728442867113
4.9399999999999995,2.62,4.7,4.74,2.3203448019637074
4.58,4.859999999999999,2.74,4.02,1.3102671483327353
2.02,4.9399999999999995,2.26,4.34,3.5850801943610686
3.62,4.300000000000001,4.34,3.18,1.3446189051177289
4.859999999999999,4.38,4.1,3.2600000000000002,0.9674709297958253
1.02,3.3,3.2600000000000002,3.5,2.2925967809451357
2.38,3.18,1.78,2.3,0.9541488353501252
3.5,1.94,2.54,4.7,2.664432397340942
2.54,3.58,1.58,4.62,3.2129737004837122
2.98,2.26,1.18,4.0600000000000005,2.9686360504447165
1.98,4.9,3.22,1.42,3.430218651922936
2.94,4.66,3.46,1.06,2.9526936854336925
2.8600000000000003,2.06,1.94,3.3,1.5778466338652817
3.74,2.8200000000000003,1.02,2.8600000000000003,2.0571825392998067
3.18,2.7800000000000002,2.42,1.1400000000000001,1.3410443691392167
4.78,3.42,1.8599999999999999,3.02,1.7875122377203467
2.34,3.02,2.34,2.94,0.9068627239003708
4.9,4.62,1.3399999999999999,2.02,0.7353910524340097
4.220000000000001,4.98,3.14,4.9,1.9170811146114815
3.7800000000000002,4.58,1.5,3.54,2.191255347968374
2.42,1.3,2.8200000000000003,4.66,2.1540659228538015
3.42,4.34,2.46,1.02,1.7088007490635062
2.2199999999999998,2.74,4.140000000000001,2.34,1.8736061485808597
1.82,2.66,3.42,1.98,1.6670932787339765
1.8599999999999999,1.18,4.220000000000001,3.38,1.0807404868885042
4.46,1.1,1.62,4.18,4.224121210382107
1.3399999999999999,4.02,1.9,4.859999999999999,3.9929938642577447
3.66,1.6600000000000001,3.9,2.54,2.418594633252956
1.94,3.34,1.46,1.6600000000000001,1.414213562373095
2.46,2.94,4.38,4.140000000000001,0.5366563145999492
2.26,1.58,4.74,3.46,1.4494136745594752
2.1799999999999997,3.5,3.62,1.78,2.264508776754906
3.3,4.7,1.06,2.5,2.008382433701311
2.74,4.0600000000000005,3.74,4.82,1.7055204484262279
3.02,4.5,3.7800000000000002,2.42,2.0099751242241783
3.1,1.82,4.26,4.5,1.3023056476879766
4.82,3.1,4.58,2.26,2.8880443209895517
1.22,3.54,1.6600000000000001,1.58,2.3213789005675056
4.34,2.38,4.9399999999999995,3.58,2.385623608199751
4.5,1.22,1.22,1.94,3.3580946978904573
4.66,3.8200000000000003,1.42,1.9,0.9674709297958258
2.66,2.58,3.18,1.8599999999999999,1.3224220203853234
2.8200000000000003,4.54,4.42,4.54,1.7241809649801842
