n_0,m,x,T,g,kb,n
3.6837736888191466,1.9833012829629528,3.4798253324522763,3.978875742676288,1.1035167573031597,1.9463689840983516,1.3778393636544681
1.3392047866706198,1.3546660507012431,4.366949481488065,3.0542180686951497,1.2065877447723858,1.8424222722603696,0.3766670137556864
4.798832389194341,2.7273132268784903,2.8393228850637384,2.3927414727946346,4.763217387057756,2.6261939062938597,0.013548411930433941
4.798343333210158,2.3750941497978557,3.9355959615083,2.5027964508140426,1.7213872224606264,4.178270519225878,1.0300346369435822
4.932881501296452,2.125379862957732,1.6394020624069598,2.841663362216561,1.060122518780635,2.8497505919015187,3.1260893596300097
3.4040278277792546,2.184265704796898,4.3207557683984215,4.4200395167862965,4.764333662491184,1.4345065696632948,0.0028326300517535685
1.3665933357451063,4.260800203671895,4.54877618804913,3.6361612793809033,3.7252406781492864,1.348106518914327,5.481806865357798e-07
4.430050782896673,3.3957136047785603,2.9937767512132463,4.529182735631882,4.513408739852308,2.1177904093768123,0.037062080934816506
3.11532289281246,1.7391316950705256,4.477489875179199,1.2763040803185457,1.8484077025593444,4.581372096340173,0.2657354944611142
1.6727356811420422,1.393222987986153,3.2618506246181598,4.649749686288828,3.3127388143397103,4.3929109680774525,0.8004528473263486
2.351657421238884,1.7170916505010672,2.20427504467165,1.4846593070194019,1.6444030564150576,2.0698633495117256,0.31029716667753005
1.4590260285873728,3.971882412799279,2.3631407660154338,3.0513886439268307,2.6721280822131166,2.9632794095134103,0.09107991721435676
3.0624416333352062,2.4580293973068503,1.4846180591982758,2.0468835070637743,1.7641591228922446,2.8904305961529126,1.031562584179999
2.5409214399040887,1.181842516409743,2.5639008508653136,1.4715868923150386,1.1418388761771907,1.7164171798813517,0.6457955057007166
4.422267130058916,2.6003080720032483,1.7221304444901355,1.2551667026291873,1.2833803748476096,4.234204763999949,1.4997311039439047
3.7449549168023504,1.747914751904096,2.448979471149107,2.069438423170661,1.5895893222778503,1.7279190656994654,0.5585094919421573
4.1029048000166215,1.1674572977406632,3.2797751207961854,2.06391960227668,1.722751846269469,1.621934649007723,0.5718786195290516
2.6611474607530905,3.2975851975030763,2.4362339721425483,1.3642887132780634,4.207511969943261,2.705000071802342,0.0002800231978246392
4.779217298029738,3.3397621159774187,4.2514900293151685,2.8435529790586087,1.5548092149408577,2.5685660532284493,0.2326242893891164
1.5717882084291692,2.5679856936732004,3.899636313288418,2.901643151760696,4.0757428621613725,2.6246319990525286,0.00739372965165222
2.846894341426819,1.592722053706065,2.5619998863228046,1.8768972108169135,4.814542924268311,2.479456138841378,0.04177852260372932
4.559817677628427,4.091336904014094,1.7275450243366386,4.487469557981539,3.9295431370140417,4.279887277923603,1.0737612096737534
3.5631234112810737,3.4333686245047925,1.1580940635416703,3.3403132007321616,1.0758013939378626,1.3876517521388128,1.4159386540317718
1.4175331797968198,2.4368346916684733,1.1147190361492054,4.307708492144705,4.385530784197277,2.9840676357643483,0.5611183203457452
2.6833013990705235,3.027279634648804,3.6660928947316376,3.8658901026192796,1.7159178992170574,3.7726636170226753,0.7271032969288638
1.5581526174596942,1.912783489399032,4.3118469275475135,3.3130272876702134,3.946022384578791,2.824545991484083,0.048104353341830976
2.1936905123881454,2.60845552994,3.752230841011172,4.19666774099961,2.4837559407205565,1.8617799279660043,0.09770862248461176
1.4808411451525636,4.673105755509804,4.637375027096739,4.688625344074202,3.0757305752794486,3.481999001904521,0.024968710571254143
4.7325983264879525,2.7668872605652384,3.7568398661349938,2.3354050847751053,3.438629660376872,2.566026804950187,0.01215451647363053
4.392866493286912,2.4530764851766134,1.4229869120617669,2.2177178810896208,2.664587362001189,2.0553289797914025,0.5708657194444222
4.965591750109473,1.6589528598923318,3.4890535355206937,2.6785041016324573,4.253656849109872,1.2367228612225802,0.002937945736233861
3.8816256085312704,2.1216099159142163,4.434380516732233,2.0748863220103018,4.802685616874823,1.9713049113883676,6.186868795870498e-05
2.451909425649808,1.0070261980679316,3.5529253711367517,3.4166199614072417,3.4180265774617817,1.9729143187151352,0.3995629300213791
1.3916168338775905,2.4351413775040887,1.8600456500474287,1.1455991576831246,1.23264010461132,1.3321368098130475,0.035863703085724334
2.867508899170826,2.7708230924466197,3.846958283944685,2.3943451956827797,2.117312088723947,3.322733047175184,0.1680728498839106
3.0897883203654253,3.311320395564469,3.1903169540586447,4.6582700394971335,1.6043805642011215,1.3573726406410307,0.2117359932208504
4.511078607412694,3.245021876667816,3.179900668539429,2.0550635417913723,1.1764417951492092,4.043798293445813,1.0468119480417644
4.185416491124561,4.686231955822801,1.0046554285426987,2.05780538276336,2.6605556295792887,3.413321010042318,0.7034740844236529
4.46014477180863,4.788353838863567,3.924815140347517,1.1976909785659386,4.651736736152342,1.004967528355777,1.2763805997329809e-31
4.512579328358546,1.6453602054569163,1.726806155417551,2.2768737585498746,1.2996964942927622,1.7776210206979783,1.8121325695192947
3.4201180291496365,1.7030127644453883,1.3711249153495064,4.346103464423133,1.3763470890548333,3.366892715534489,2.7457221101636966
3.750816155978774,4.702317380321325,1.2036375790803395,1.8348461533897933,1.7568706698496108,1.8162924819929311,0.18980201661909413
4.328144237161227,1.4378545553384217,2.3305329127151726,4.3398501614371625,2.122946290228448,3.782051412935701,2.805889974004747
3.3696577094151814,2.7543218718030773,4.496115655586271,2.0861592053526623,3.208734766390232,2.5168979623403342,0.0017414346298363836
4.77275464113311,2.3051985284418066,1.8241285663481177,3.059943000389985,2.3774918055185754,2.3527172686453937,1.1903548632507308
2.257112935862552,4.513629439423033,4.555597885292995,1.1311306808678556,1.1376644140102226,3.3322691126041124,0.004551896938910185
1.22772687761702,1.5897039856183772,1.0988741432360247,1.8998756197792768,1.1636012098174442,4.3925246841553856,0.9623197273404462
4.866151764597109,3.3865477634698817,3.9955044932940225,1.657001452562218,4.3653703793141165,3.6637639425920248,0.0002894873746634685
3.6409798961548936,4.0155816450766135,4.078099606362466,2.959784633279801,4.593339520878515,1.332892716970398,1.9080047553572958e-08
3.3046511685040025,4.120473581216382,2.019831291192209,3.616959444271416,4.502987368922449,3.747681370421207,0.2081650245379716
2.6499484477835153,3.9317293867807455,3.9668705155412662,2.099322896379705,2.4842403348538937,3.1125106654342933,0.007046719262058891
2.301088518094239,2.991523801629336,4.152756091076181,3.4801808430522096,4.24402663688651,3.2907153662203563,0.023042824935104855
3.9874810171395607,4.166322692515947,1.8164923320376676,2.8881095184954364,3.117555715880801,2.6450161235778102,0.18169618510196395
3.1859047124145703,3.4007760733996646,2.542483693670408,3.988397003128087,4.756014062228621,2.52850141347293,0.05398834592169749
1.265884275331223,3.0683338416701065,4.71959959356918,2.217203139498445,1.7420808496772886,4.83302033291294,0.12021472508841592
1.783079645533173,2.9486636092250222,4.054246026972484,1.5878243232209903,4.211871241647266,1.6267078016767376,6.09654436752248e-09
3.2650864079157684,1.2673919639685158,3.3604197817429258,1.4618318469407958,3.801171848740846,2.5554640146093504,0.04283612926106314
1.0631675806202936,1.2632496125001125,2.83054535937518,2.672487554084881,4.507717756894635,3.86875387468479,0.2236469469960462
2.4735358684019557,4.566132341973071,3.993637098850052,1.4786826634579997,1.5514976745529867,1.6711918276620636,2.6368642028967465e-05
4.981700317160066,4.715440365209794,3.387761329426385,3.133252003104268,3.722749965319208,4.869812402227841,0.1010867868686289
3.1469946702615883,4.141011173950059,2.510730414800076,3.15813291426808,2.6600101384780697,3.843323589090735,0.3223653146508885
1.6034556742946378,4.922497757989827,4.813205507388097,2.789309689512748,1.071362426366547,2.0000266593680465,0.016941838024184853
3.346909390250712,2.503364762156131,4.209204758797895,3.2967890087813285,4.3541248918572615,2.8405677649769023,0.024941974383953743
2.7787662450720725,1.6252337172667612,4.994550978446137,3.071167141464909,3.5831896919230606,1.4046087747179463,0.003277978012866289
4.119211058683273,4.097777462639316,3.2290405377224656,2.6337751333618242,3.7855793900882415,3.1951860101337384,0.010710143611803013
2.1680966581621552,1.338062152724537,2.6472611871352543,3.3699536373561454,1.7300516723434172,2.999686815633928,1.1824952218397566
1.5441131255581402,2.4685562417221556,2.8469294407675374,3.025072105249448,3.3096840939377468,1.6960549500932705,0.016588941210722817
4.074053856311866,1.4167626425602462,4.1819580354365815,2.5864641875784518,3.3710446293588303,4.2043552783575615,0.6491772559667698
3.8391415771879336,1.5784855817079249,1.3744860408073984,2.973560346338433,1.5428319977085434,1.5132214262941357,1.824560017001921
1.4171984504246398,1.1558685280181622,4.5327664509523276,1.1759352746013052,3.7934701865173017,2.1178283396250666,0.0004847414820502947
3.76847276224117,4.171736820941656,2.478157530364208,2.6006613847120486,3.5005589039823715,4.2533586129765615,0.14298945838413205
3.1404258431345533,1.759944868611877,3.5963348526370504,4.4573529116090445,2.202754439074732,2.2722550605224656,0.7927962785153608
3.3343606637029333,2.8757453265931083,4.539057843940533,2.585803493283493,2.795133166329091,1.1031516857156336,9.293178162500309e-06
1.5014222832138384,4.019101873472272,2.2655916374511618,4.818967913772882,4.547479244982129,1.8710728423582912,0.015207679609507594
2.5412862232000624,2.9485135573863888,2.5568060955430645,4.611249509334731,2.1738503505815943,3.858705311482155,1.0117157451054517
3.2814494012337447,1.178521887111574,4.962896404303491,4.6305693157635694,4.788009680888618,4.127245104523439,0.7580262000587964
3.1959369016024017,1.5309327734938103,2.6618066450734625,2.4946532809345245,2.2013107430250782,4.770495379464824,1.5039692156183575
2.6918219702245687,4.968429186824869,3.904715146051853,3.0724439985934624,4.4435392433073515,3.4485498958913734,0.000788092494739095
4.540451819107238,2.5664676610326502,4.922368621191405,4.45276938311325,4.044038153007297,1.3642881133622358,0.0010109795150933642
2.471274555368306,3.5268819623601018,4.365491976113665,1.3840498790661722,4.386051284436477,3.2910849765435897,9.001671855238347e-07
