gamma,pr,rho,c
1.78,3.7800000000000002,1.3,2.275014792851314
2.74,1.3399999999999999,1.22,1.7347934161511311
4.220000000000001,4.82,3.8200000000000003,2.307533757474594
1.26,4.34,1.74,1.7727827336393072
4.58,3.54,1.7,3.08823193277128
2.14,3.9,3.22,1.60994579593181
3.5,4.54,1.98,2.832887665484201
3.9,1.42,4.74,1.0809044501618756
2.5,1.54,4.46,0.9291010168714539
3.38,1.94,3.74,1.3241080137532442
4.46,2.8200000000000003,4.140000000000001,1.7429776287987042
2.54,1.9,4.62,1.0220512436217395
1.3399999999999999,1.3,1.78,0.9892682575486077
1.02,2.74,2.8600000000000003,0.9885356833229629
1.58,2.38,1.54,1.5626318126219567
4.140000000000001,4.5,2.1,2.978494346381838
3.14,2.9,2.98,1.748057406948232
4.300000000000001,2.34,2.14,2.168379385365602
4.7,4.02,1.5,3.549084388965695
2.66,1.74,1.9,1.5607690412101336
2.06,4.78,4.38,1.4993758214274628
1.3,3.5,4.7,0.9839131599805842
2.7,2.06,2.54,1.479785045041191
2.26,1.58,4.0600000000000005,0.9378205527511974
2.62,2.1,1.6600000000000001,1.8205652504992238
4.78,1.62,3.3,1.5318438087956143
1.54,3.94,2.06,1.7162275179019486
3.1,2.3,4.1,1.3187207400522305
1.8599999999999999,3.7,2.7800000000000002,1.5733847489871393
1.46,4.9399999999999995,1.94,1.928142100251661
3.62,1.1400000000000001,4.34,0.9751284920649517
1.5,1.18,3.7,0.6916490283217193
4.859999999999999,1.5,2.34,1.7650452162436563
4.38,2.58,4.26,1.6287037963785889
1.9,4.859999999999999,4.54,1.4261559188412096
3.86,4.9,3.14,2.4542955973111495
1.74,2.46,4.02,1.0318798958226607
1.7,4.1,1.18,2.4303867307523195
1.82,1.98,2.8200000000000003,1.1304301572523319
1.38,1.1,3.86,0.6271078445567901
2.8600000000000003,2.14,1.3399999999999999,2.137162297666503
2.34,4.7,3.66,1.7334699399721025
3.34,1.8599999999999999,3.38,1.3557242218388197
3.7800000000000002,4.140000000000001,2.74,2.389850803149408
2.58,2.62,2.3,1.7143385085038285
2.38,3.02,4.42,1.275207373784298
3.2600000000000002,4.300000000000001,1.26,3.335475502143109
3.46,1.46,2.2199999999999998,1.508474559114437
1.94,2.1799999999999997,3.46,1.1055822623072078
2.94,4.62,2.58,2.2944827658517504
3.54,1.78,4.58,1.172948362146437
4.5,4.220000000000001,2.38,2.824710887265926
1.22,4.38,3.9,1.1705357090468647
1.98,2.02,2.66,1.2262173635030582
3.74,3.98,3.06,2.2055485586231023
4.26,1.06,3.2600000000000002,1.176925390257653
2.8200000000000003,2.54,2.94,1.5608736433844492
1.62,1.38,3.54,0.7946857389741013
3.58,3.18,1.02,3.3408346966870774
2.3,3.86,3.02,1.714565571606332
3.02,3.58,4.78,1.5039418220742784
3.18,3.2600000000000002,3.34,1.7617696601228385
3.3,2.42,1.1400000000000001,2.646745767521833
4.54,1.22,1.42,1.974984400009704
4.74,4.74,3.7800000000000002,2.437992929401052
3.94,3.1,1.46,2.892361219601994
2.1799999999999997,3.38,1.82,2.012106217020222
1.6600000000000001,3.14,2.62,1.4104841895090359
2.42,4.26,1.38,2.7332096119047833
2.46,4.66,4.9399999999999995,1.523340671556902
4.82,1.82,1.62,2.327028519033461
2.02,4.0600000000000005,2.7,1.7428371930508832
4.98,2.7800000000000002,3.62,1.9556124077901436
3.98,3.62,2.9,2.228932015794668
4.9,3.42,4.220000000000001,1.992759405295422
3.42,1.26,4.98,0.9302156765069469
4.34,3.46,2.1799999999999997,2.624548890901815
4.9399999999999995,2.98,3.94,1.9329627977964228
3.66,2.66,3.42,1.6872067646458353
3.06,4.42,3.5,1.9657931877852404
2.2199999999999998,3.3,2.5,1.7118411141224525
4.66,3.06,4.300000000000001,1.821039825624807
3.22,3.34,2.26,2.1814584712863323
3.7,3.8200000000000003,2.02,2.6451899181288097
4.1,2.26,4.82,1.386508795141289
3.8200000000000003,1.6600000000000001,4.9,1.1375950285490843
4.02,3.74,3.18,2.174379113287719
1.1,2.7,2.46,1.0987798110498446
1.42,4.98,3.58,1.4054562471204262
4.0600000000000005,3.22,4.859999999999999,1.640109401148785
2.9,2.8600000000000003,1.1,2.745906043549196
1.06,1.7,4.18,0.6565824232104447
1.18,1.02,3.98,0.5499200490084968
2.7800000000000002,3.66,4.5,1.5036843640427557
2.1,2.5,1.06,2.2254954928463113
4.42,2.94,1.8599999999999999,2.6431896664642185
1.1400000000000001,4.46,3.1,1.280675225128551
2.98,4.58,1.58,2.939086226721031
4.62,4.18,4.66,2.035711220108053
4.18,2.2199999999999998,2.42,1.9581995441081723
