Int_0,theta,n,Int
4.58,2.46,1.6600000000000001,4.0942930212664
4.46,2.3,1.1,4.868074802244855
3.94,4.62,1.58,1.7083098857301833
1.38,4.9,1.9,3.3816370712546027
3.3,1.06,2.94,12.910570164595024
4.26,3.58,1.74,0.003257110802546995
4.54,1.9,3.38,0.033002310223712555
2.66,1.3,2.2199999999999998,7.14481623320283
1.02,4.0600000000000005,1.26,0.3856535698628379
2.62,4.42,2.54,1.567698213156326
3.5,2.8600000000000003,3.74,2.311295985852009
4.82,2.7,1.3399999999999999,4.780955594824939
1.26,3.5,2.14,0.4190347968886448
3.62,3.2600000000000002,2.46,2.115808108901155
1.3,1.38,4.859999999999999,0.14179914295194593
2.58,1.8599999999999999,1.02,2.651164609189247
1.58,2.38,3.5,1.3366447928964962
1.78,3.14,4.62,1.2115340038139752
2.42,4.7,1.38,0.048994545426379175
4.140000000000001,3.1,1.54,1.9433862278829719
3.42,4.9399999999999995,2.98,6.851900933639867
2.9,1.22,1.78,6.916061240852685
4.1,4.78,2.7,0.25116819996349504
3.9,4.300000000000001,4.38,0.0003368538110044762
2.34,4.82,4.42,4.6488518315976135
3.02,1.3399999999999999,1.5,5.58078003643153
4.18,2.62,3.94,3.6340138854064
3.98,2.42,3.14,1.6994750465072221
2.02,1.82,3.86,0.4259801934862509
4.5,1.5,2.42,9.11891209881667
4.62,1.78,4.300000000000001,3.06557016846014
1.7,2.66,2.74,0.41826622473427094
2.06,4.98,4.98,0.15324262924295548
1.62,2.02,3.8200000000000003,0.9746012515782515
4.9399999999999995,2.94,2.06,0.06389317903931331
4.859999999999999,3.06,2.62,2.8295687156186253
3.7800000000000002,3.42,2.5,3.1626969734873884
1.6600000000000001,3.54,4.220000000000001,1.4844813695414925
1.54,2.74,4.74,0.07009649622898129
1.42,3.66,1.98,0.32634520508761794
4.34,4.26,4.18,1.498367709128074
1.06,1.94,4.02,0.735952022534992
2.38,1.42,1.46,4.149394668322382
2.98,2.14,2.58,0.5354706903651824
3.8200000000000003,1.6600000000000001,3.58,0.20124068542211712
3.34,3.7,4.82,0.8545679186773226
3.46,3.34,2.1799999999999997,0.8002383941984025
2.3,4.1,4.0600000000000005,2.324168609928458
3.86,2.26,1.8599999999999999,3.508896054626191
4.78,2.5,2.26,0.5144610695318073
1.8599999999999999,3.18,4.66,1.5165168604697352
4.7,4.140000000000001,3.02,0.0061581596358789336
4.38,2.98,2.38,0.6832035399110513
1.46,4.54,1.94,2.2625432420230056
4.0600000000000005,3.94,2.7800000000000002,2.4925595912524674
3.14,4.74,2.8200000000000003,0.9803740113917051
2.26,4.859999999999999,4.78,3.5111956754017624
2.8200000000000003,1.18,4.9,0.5602250564141006
3.58,4.220000000000001,1.62,0.3625868232377691
2.74,1.02,3.34,11.296307117415664
2.8600000000000003,2.2199999999999998,3.06,0.2268366253262438
1.98,3.7800000000000002,1.42,0.42901480734823844
2.14,3.9,2.02,1.2696873198423084
2.7,4.34,3.66,3.928669637356025
2.2199999999999998,2.1799999999999997,4.46,2.7617989220820083
1.74,1.58,3.54,0.39438591284033303
4.98,1.74,3.46,0.1463222066628058
2.1799999999999997,2.1,4.34,2.8279098942988106
3.2600000000000002,3.38,2.66,3.1534972638395686
1.9,2.58,1.1400000000000001,2.0374576229896846
3.74,3.62,3.1,1.536441356807559
3.06,1.1,1.18,4.091402599795268
1.5,3.74,3.2600000000000002,0.05676915546211758
3.66,3.3,2.9,3.663672059825401
4.02,1.62,4.58,2.2190437820975855
3.38,4.38,3.7,4.787298731064303
4.300000000000001,2.34,3.62,4.002978694527141
1.1400000000000001,1.54,3.18,0.9600748215704957
1.82,4.66,1.06,1.3398628471851708
1.22,4.46,4.5,0.6411534724163133
3.22,4.58,3.7800000000000002,2.748843815261865
2.94,2.06,3.9,2.358218628680413
1.94,3.86,4.26,1.9273260613643761
1.18,1.98,2.8600000000000003,0.15730094461432478
1.3399999999999999,4.5,1.22,0.3302654881274518
2.46,1.7,2.3,3.7461186507436923
4.220000000000001,3.02,1.7,1.2511415091414058
4.66,3.8200000000000003,4.1,5.237388347883465
1.1,2.54,3.3,0.9066941701890812
3.7,1.1400000000000001,2.34,12.00552884766041
2.7800000000000002,3.98,3.22,0.05147535924058912
2.1,2.7800000000000002,4.140000000000001,0.551940459710283
2.5,3.46,2.1,0.5709970890617101
4.74,1.26,1.82,11.342886386353811
2.54,2.9,4.9399999999999995,1.530621314085566
4.9,3.22,4.7,4.514336028240289
3.54,4.18,4.54,0.01910296229656405
3.18,4.02,1.3,0.9873087152645339
4.42,2.8200000000000003,3.98,1.755416198566935
3.1,1.46,3.42,2.519457370242304
