lambd,d,n,theta
1.8744035282691052,4.912494474296493,2.8414057744434063,0.13469197187672213
1.5773648628472932,2.755552938429255,1.8870927696579347,0.30819620704314177
1.8332391906010048,3.032404298828845,4.507080772826232,0.1345388315511795
1.7003203601917192,4.089641312779172,4.061708436021002,0.10254113876219062
1.538039774802429,2.1775034585952717,4.759634162414121,0.14895058935279454
1.8671173908588807,4.725108262389215,2.587641081519364,0.15330571174333116
1.9650430522518256,3.6749159222885095,2.5571144685076392,0.21066459799732776
1.913488453349588,4.192995471789174,1.425880150711308,0.3257827276566584
1.4343440033825088,3.6188343132150096,3.804273787990717,0.1043762542526254
1.0769845877558182,3.0000905069054737,1.2463981636017922,0.2921555882696886
1.2706086017788576,3.381507446981072,1.84613899927708,0.20496616854690414
1.9450851561702636,4.914483163476244,2.9480553125024334,0.13465995558978386
1.6595826634800417,3.6101279395407055,4.475677375404416,0.1028925896332978
1.9841230083326065,4.855508723016348,4.805814786606158,0.08513174537748816
1.3184037937688595,3.04769195431542,2.094306047774181,0.20805345121616334
1.0170040198207826,4.493587357801196,4.757296883038446,0.04759191536301069
1.5282834840153026,3.412419868444003,2.829179076538705,0.1589687444131867
1.5110459625759207,2.0730908338434992,3.0684075697882114,0.23983795327399016
1.3813549582852125,2.5808677942329044,3.775582111795549,0.14223977408872426
1.2667552853154498,3.312841418707092,2.934967020262316,0.1306547404998117
1.8789043243930683,2.335761211009754,2.7834835934704207,0.29317495111723274
1.3503421936039848,3.12375310004712,2.679764709102416,0.16202134934784154
1.5678410501645956,3.4423029833077234,3.935448914029352,0.11599331526865388
1.631391442304127,2.8255002232752373,4.6218066391547366,0.12525273256043354
1.5005386507445846,3.3197717586965294,3.67696368723724,0.1232393833848282
1.891193562749128,4.636960819557472,1.5782333381245683,0.2613895037397516
1.1451242061160594,3.791483979221967,4.543945857586442,0.06651667361265283
1.3100215392534258,2.2432114639712473,3.330704376439945,0.17624747056461731
1.4992694790852954,2.1034490228031446,3.9968398171238353,0.17929172025775275
1.4905813762541409,3.335682468447722,3.1997817793230534,0.14011108812734585
1.7270061328933006,3.497996751935516,1.3839999725179242,0.36476416300722
1.3593320049823645,4.667887466697865,4.683892830078879,0.062212607016735776
1.0636153276029183,3.714769914400757,2.831794383500821,0.1012823367251256
1.760804935244442,2.197372044508076,3.72261502449609,0.2169561298345611
1.981910347940864,4.5525069432337855,3.629364443951239,0.12024022966057475
1.747545467879458,4.863274163354999,1.8246691008660811,0.1982273375725795
1.0206602677584342,3.785008570920148,2.029996554855173,0.13323079576504718
1.9590911550758563,3.66475972636708,4.000006047393162,0.13404475851910755
1.1025657164347071,4.312671467951899,3.998931673235589,0.06397501734538158
1.8907672023078588,3.8449050743505433,3.654991327840728,0.13495381172359353
1.7813232689115683,2.6774067706040023,2.183597559539421,0.3096111558518825
1.3606067374502318,2.624638919065714,2.6159240210504864,0.19949054783991615
1.9495189011504133,3.5181490482291338,1.2122857198995425,0.4747283428073578
1.9623223072041096,3.6162117116536994,2.422582568530643,0.22591148911476105
1.4638785208295009,3.744497644552277,3.2148036784087526,0.121908299833874
1.0385043490308243,2.1949096414931337,2.1935715338121553,0.2174034232631422
1.4650971933038028,3.3776329274997448,2.7136743164158053,0.1605325904118639
1.8849680839325533,4.3709340906094605,1.3135563000638941,0.3345113951267461
1.6416851562553993,2.654198784608633,1.594934491936186,0.3982492000939718
1.5500649346208892,4.6788523426959845,1.4591623809840777,0.2290396709017989
1.992303375991073,2.5687131102713106,4.853308061110246,0.16049745243537242
1.7755898225709443,2.458788838782216,3.0454906808860462,0.2393979509456543
1.646675063587896,2.8366571432323395,2.0524624395187523,0.2867435496349208
1.6327591989231556,4.502234906788812,2.6679819582034416,0.13635078267104694
1.8495332146796335,3.4921450956080187,1.096579845778328,0.5040553584489695
1.81544037598736,3.894428259147353,4.4997537973421045,0.10378377086292252
1.9098321153242728,4.074615198085193,1.5564519746780658,0.3058911380425633
1.7067402092284958,2.3869950725912217,2.757507616106661,0.26229527757664034
1.5733395761347122,4.252864686763451,4.302277217906712,0.0860952458963668
1.8988078442573373,4.164313472237971,4.517191125380426,0.10111356523499143
1.2936291201374035,4.7580349097605,4.4859208171128335,0.060645251253278576
1.620115296368843,4.726815706078008,3.6056391993461063,0.09520313113125103
1.694369660176264,4.853575456052509,1.740273981245794,0.20196930591675047
1.273249431203356,3.883915355935411,2.4826832708932707,0.1324319022507356
1.8539368079627725,3.433531224456561,2.048136357949688,0.2667835475420364
1.5970496124956084,2.600449024266703,1.70161299391884,0.3692527018876728
1.4627324315897667,4.5825813677884994,1.5287935984492131,0.21033563745623232
1.5925426394807092,4.28621135192841,2.6868140370627893,0.13873111234130714
1.1293021430455468,4.15137243513931,1.5983812235663062,0.17102408843219088
1.5064011091271299,4.566786282474793,4.2347275899861945,0.07797306755662649
1.3807234874754997,4.734540577561115,1.5134191919931488,0.19390751448027385
1.1428563009005477,3.7936447836469753,1.81219557991595,0.16701318925534864
1.8699386062506864,4.893420975952362,3.4412462962563617,0.1112744924256807
1.4077652155963951,2.5107136044285703,1.2613353578267872,0.4606511102733163
1.8328017278675628,3.0787243967788847,1.635439904000545,0.3725667515040873
1.5546890357701917,4.406658076689835,1.6820873418884832,0.211311198731224
1.5571443066423922,4.503021216574401,2.8596240237308286,0.12122162180629488
1.8299464612928265,2.7146065925132383,2.946323331170648,0.23084213086839875
1.4734254204109565,4.270369054812556,4.608655154707692,0.07493678852221196
1.7961844903250426,4.510367215036843,4.61852342338329,0.08633273802811461
1.0946084897565993,3.884545231874138,2.479892392505856,0.11387405966232413
1.6382918961516342,2.7144682703896077,4.778136917837942,0.1266512843209079
1.2801071468807983,3.0871278208223423,4.9009433574283054,0.08470938814696016
1.876957786389564,4.127326149923372,4.8904830151537375,0.09312404874385466
1.5831318025116707,2.8525120729200935,1.3316573895214423,0.4298897686089094
1.1846576705824434,4.562969096759085,4.0553544053720065,0.0640639394500772
1.6121807350481612,2.1152273645847584,4.315864191676615,0.17753033811918428
1.5811927306960818,3.168803949303077,4.4267165957479255,0.11296183526741232
1.8840698879925049,3.4513935546184284,4.148245414531012,0.13197740208367928
1.0334253711415182,2.1467345779240907,1.7384414067078104,0.2805782371351893
1.0121606344503091,3.7017443675179367,1.0731723004800542,0.2576251815709017
1.3738910968670786,2.659638774417315,2.529453971420907,0.2056690584949035
1.3919106288551104,2.0473063678715144,3.4685678818319734,0.19728736401870964
1.2125456185009629,2.9196013312614197,2.6822694746375437,0.15546151532510982
1.7749918013742485,4.63191020432217,3.4223818693226,0.11220687273527162
1.0708897728589726,2.4165565847748773,1.9374028824692489,0.23077545720082926
1.805196297861796,4.4508753170704365,2.1045723610475493,0.1939280940771175
1.689371862793403,2.342086596401101,1.9307655357670181,0.3828739532967719
1.7211455769418706,4.223289811558967,1.9976517122730644,0.20545016955284545
1.1993545823763891,3.8881232617175314,3.40301550238854,0.09076954894618264
