n_rho,mom,B,kb,T,M
2.1974360353607127,4.519086509882289,2.9994820816667818,2.8056913744054652,2.8487470657655085,9.283894410973359
3.0131319313897413,4.648120115977262,4.2484189704818025,4.7728422328517714,2.443378847621391,13.08899308432734
3.2336295807997253,3.2262879645289777,4.852304519985871,3.589238865376203,4.90694073762684,7.415870582981095
2.3972974986313456,3.1791439248514743,1.78428962491575,3.256359053865832,3.0446939779929285,3.9396801829720616
1.322145622859741,1.0002020289827254,4.368430252665007,2.320162778611543,1.7334935261642714,1.0520382272136155
3.256079467912565,1.136374148530204,3.562534687874167,1.0945364376392668,1.6590469793353506,3.6154408250578633
1.2868992319004198,3.0669153459564464,2.412151531481346,3.4629485324375047,4.911114578498623,1.6161555835168078
4.651632088034852,4.018698458494933,2.475911184650174,3.5623033663551884,3.196606881918422,13.146914938828758
3.2309551616471754,2.7290520864110697,3.9263643499317777,3.2447432534618037,3.2583310728856896,6.7648210693631325
3.832063593515784,3.901839442532395,2.1637897524955374,4.719699826717328,3.3980599417422788,7.216569151471806
3.672453940049876,1.2661014451305102,1.8584013994316844,2.824957406809797,3.3283153008845763,1.1398846453148634
2.3499293316845984,3.9532153572043107,2.077259265730725,4.090344478428122,3.1277925021226163,5.259571849448307
3.785242910804684,3.395243317545344,1.7679282712114408,1.7343782757368418,1.5470888804662335,12.562092222134009
1.8116967937448456,2.568568398923161,1.8377577454492413,1.8849387056747056,3.1815875105423452,3.0562654753962333
1.9270832815275731,2.0420238232156174,3.3471537010271315,4.773030131668864,1.4189031933840612,3.012131983026291
2.4525425230013846,2.251415573209784,1.6303987412794811,2.1467732174907206,3.2456085999172557,2.6667075285172555
2.5444522112937493,2.935279168980642,3.6063700355339146,3.311840665898585,1.9326350113534287,6.941286462531075
3.767862664472048,3.7962217250902657,3.9238923543151434,2.0541329333469114,3.2549169467283674,13.97530959693705
2.1210816254364033,3.1989984386380352,2.6688890018243194,1.1826335617262411,3.4989147679803514,6.569813153992718
3.2654972081281586,3.622540455812992,1.4598182734528835,4.883531616072098,4.720049305016612,2.667268787253993
3.902746484210956,1.5069793193908354,3.6212523693942016,3.45162423633788,3.7213117825445448,2.3585267395954137
