h,E_n,d,m
1.903396648705773,2.5113458316450363,4.552579925411243,0.0008815504828703297
2.2554486071702797,4.906819721316229,2.8281865308492837,0.0016415720068325096
1.4532202719776253,2.7937953618301714,4.842913185278387,0.0004081926710331752
3.262864466297568,3.85656105608626,1.1752971282531952,0.025311202297697358
2.7658315144343666,4.729558502586345,3.820198416949532,0.0014036837320497958
3.6913171959752993,1.76276204603169,4.923036190668898,0.004039366425220493
2.328923382892707,4.993998764461948,2.1972235503107376,0.002849205337244017
2.5529413455223597,2.719904613767994,1.1050985426327378,0.02485056431708861
2.042639669900955,2.291086445081981,3.833851893008951,0.0015692121166974245
4.173623033158842,3.610990700401353,4.282534290690048,0.003331260846576501
1.378335223926304,4.867350046399743,3.089090765301377,0.0005180432966457928
4.180522691999385,4.61486830827308,4.943652711770193,0.001962529605832203
4.495207783519446,3.3167883099993767,3.3338764901102187,0.006942134804173394
4.306936523318521,2.0228760181984096,4.226720395946998,0.006500861371470712
1.6317523586748033,1.3837796202324473,4.916727370275388,0.0010080906357108957
2.877697343347072,2.886393047417001,1.8338871899107303,0.0108043786440665
3.2473147334617987,4.3654800926693,4.980822787889961,0.0012331753667150715
2.742407758540712,1.4973461790779878,2.665500306196503,0.008953537011999094
4.7992176287788135,1.6750364933128832,4.033493309675175,0.010704446130252643
3.9508245050912953,3.3102889546400984,2.1497486283967366,0.01292243865829564
1.0583710474891377,3.8401082419837165,2.6330439832182724,0.0005328763866789391
1.2495883679920867,2.2773383137812746,1.9168398315335429,0.002363442342239527
2.023877361195197,4.196715725102576,1.2241455015984846,0.008249032570219932
4.157691764410785,2.328285485224304,3.085832853007412,0.009874925288997765
2.9966668387835385,1.0688415089489576,2.282233141056224,0.0204293178202101
2.8205818456167187,1.6765134284964898,4.272675709097356,0.003292158837388621
3.964427734296288,3.7339721200551264,3.5681958388117425,0.00418699886602725
2.545947931291034,4.010541113444901,4.830618633615368,0.0008772044477606388
2.925230433154109,3.800644991948672,2.6928406536538416,0.003932346855217049
1.7087459545472354,1.993281030885934,4.216316062973547,0.0010435912153514855
4.523240762037947,1.945787061805475,4.493208741696927,0.006596311796265786
1.0918401650909817,1.36807307949513,4.4509431427705035,0.0005570767207025898
2.131977116197886,2.185865243048528,3.6746763643446014,0.0019503554526667864
