q,epsilon,d,E_n
4.088195384518883,3.9653678960593934,1.394115434430676,0.14435188252554362
1.3965614211415818,1.177569115299848,4.611216741514299,0.01714981839340656
2.3102251465544636,4.929688042909332,3.074968224430409,0.0168108599549915
3.196077355624681,1.9115251254724697,2.8924194755095174,0.08821342057630467
2.3742361221155828,3.0530588793771964,1.9779583771302165,0.04456940890862877
3.053314879606797,3.334383786181245,4.58354673886383,0.02912509327773546
1.78805655696041,3.5430577660292206,1.2235047915154138,0.03521437477100058
1.4539018803987198,3.0412140003603567,1.8664061530859304,0.01778109262085228
4.542513540359443,3.4133114162490648,4.801929411674228,0.06010936810175016
4.905338756693689,1.349330311537745,2.457133965340508,0.3465231740476187
1.8587372807361449,1.9778249022721968,4.4586468903917025,0.0187062393089097
3.3755540334877936,3.5665466321296058,4.280355196654924,0.03563721839857106
1.7207503770325885,3.885332077823588,4.0144454758805725,0.009064073649778842
2.547707928032334,3.3079088768816765,4.56537765316776,0.02052156215010985
2.716779129167532,1.0648049925283425,1.3780521403879846,0.2401675468837013
1.58655333785076,2.685438332469805,2.564513480933841,0.017451411948180125
1.2516930149751793,2.0783501197898278,1.4018300878160128,0.025675739203498787
3.255102802916603,1.9548823862825,1.2375582002341459,0.2091146881776746
1.9777079166897016,1.121669208152729,1.2881893277028404,0.12924721557321034
4.4032895062544615,3.0320178639418054,2.251676947609349,0.1355994817149181
3.2341357356953027,2.1036926962305302,4.119834062080045,0.05762299795527302
4.083232158570027,3.057853473088697,3.627100697393049,0.07177500787130044
4.468237853883428,1.9894045236058584,1.6562885521699573,0.2893042755819102
1.1681770014580546,2.0501312845100994,3.139917715003892,0.010121823266407506
3.465374412029286,2.863229576581081,3.68387435623472,0.05436016093501584
3.260691486823109,2.784574140065716,3.7350383049065177,0.0488097923278539
3.377989929310085,3.414372269840485,2.867408012801814,0.055649045829750984
2.59120518512853,3.1490111847682685,3.8886051433225375,0.026180440228548558
3.493130197171739,2.4955944300603186,2.931996758562184,0.07962206541576443
3.415925877768797,4.880312516681012,1.9142026396565648,0.05963795168492308
4.403730684155169,4.618442380325126,3.978504079167458,0.05039269110747905
1.1179160019924397,4.37256611031789,2.516350463330145,0.0054231575354574905
1.3469062884328888,1.086245815063144,4.212020872560323,0.018932044497127636
