mob,T,kb,D
3.946873745563947,1.9654194763446415,1.2558818377675176,9.742205122478591
2.701674978376726,2.69181400596968,1.4276036820688691,10.382114363102843
3.552000472179756,3.500754318205733,2.1830723733923456,27.14580854394937
3.179953468728413,2.6690862146532703,1.223442689185393,10.384055424613015
1.4263918202632917,1.8970261763121004,2.5177540306192445,6.812797229773223
1.5428449044101418,3.921015860690305,2.8650262159958118,17.3320315055009
1.4453823146997302,1.5928865699793362,1.2647108307158963,2.9117817849868195
4.066179916643197,3.582184496579398,4.0636131703716725,59.1898037713243
4.871002146734655,3.2701095335110457,3.884559323883912,61.87602111471033
2.4894735204897795,4.204430518387192,2.738771745225292,28.66622661755327
1.8669600792546481,2.9873221877697413,4.7427175858797845,26.451137962986678
1.4865867830850463,4.243388823483247,1.770258975753979,11.167087022630238
4.634694615516024,2.013898316737805,3.403153235701688,31.764364211268465
3.489390334788567,3.7593090273481584,4.703976767071376,61.7053399757403
2.6277226506929687,3.496161252918744,3.01616392700662,27.709323406066254
2.926925964833585,3.9637912820618015,2.4212101810010616,28.09021135231512
1.6370757565116505,4.924790356494094,3.007645327879384,24.248403277702888
1.5010876976667085,3.933515192107164,4.855138060124438,28.66741156716672
2.83585940617945,3.934510889498348,1.1257552726767912,12.560861799872596
3.0571895624504135,1.9042175676899984,2.5970657289636967,15.118958571197664
3.2739273533355453,4.096259463533531,2.0379053142724604,27.33005451574867
3.8934626759552136,4.757478576078439,3.663291729147972,67.85539179333293
3.3303459677417457,2.664959442401224,3.9335966210972617,34.91160201185823
2.8903640582937347,3.4263861473308808,3.688074642527521,36.524859651380545
3.60713548476058,1.0085618952186874,1.4060977033563955,5.115410724260009
4.295020464882232,1.6308786481115018,2.303433469547687,16.134761766653295
2.469335485230636,3.9970734884715817,1.44817570662314,14.293661346971351
2.673028564198171,1.3173180071045816,2.1262586771824017,7.487042995056481
4.315365438208368,2.7336878425572304,2.1957609454273923,25.90308893421783
1.8005515839796664,1.7287629037479442,4.5298371309401935,14.10014536766412
1.0753916892565305,2.4250511222263973,4.296142999056272,11.203824643379388
2.9098923283326625,4.9566983994617235,4.967306682077641,71.64574251319385
4.860751613125423,2.462903168624984,1.8001374860071362,21.550454911817283
1.3659426946481532,1.7516616104908271,2.8236609571727227,6.756087112704421
2.1202685926077214,2.4258636029846103,4.2331103866222115,21.772928801997786
