q1,epsilon,r,Ef
3.9298767340336656,2.6661855961619065,2.696189995265132,0.01613532438191247
1.1694145016263242,3.0360160007552737,2.1468249854545896,0.0066506068112252474
4.742934664617187,4.168422989461382,4.745168935791965,0.0040212598567305954
4.623056719291252,2.2480843942700885,1.3882302594924272,0.08491486700599228
1.9170796327501296,4.631190218832361,4.559658027390432,0.001584430252092306
3.9391687098037487,4.19626062470984,3.7088180643023287,0.00543076742656017
3.0936991185534373,3.8361086773613375,3.6432199396721483,0.004835111870556136
4.009274104844447,4.917044818847097,1.8227843518255264,0.019529050786807757
4.972089289731013,1.5528241539330954,4.827607200934184,0.0109330900332993
4.741887179239701,3.6488897573194152,2.9730655662841183,0.01169961677442858
2.723576115759648,1.269711609036873,2.8785527776356825,0.02060042448981832
1.842079875887896,1.1803855127988814,3.816420316790591,0.00852633368428192
1.5510628295242683,1.1042178898506727,3.4023117273063903,0.009656428808365472
3.753233483145096,3.2865566197542133,4.71743499854103,0.0040835958144081926
1.262053329320764,2.3469502413897403,4.645638522814073,0.001982773619866796
4.788536384882375,4.137567505152574,1.7627425995261907,0.02963944280887922
2.0078571464497337,2.463643297397025,3.970700500896912,0.004113493897662175
4.3139079560564735,4.2003327965667205,3.6562293291619463,0.0061137890945719186
1.3045203358198785,3.1824436083862637,4.535838450767961,0.0015854958740477744
4.108250148696596,1.525994626549839,3.798677699394744,0.014846672098626525
1.6000738743185186,2.6739603270353367,1.800085883702288,0.01469564859134561
2.784597802109721,2.60224840976488,3.907389478343573,0.005577382821999117
4.262432883141513,3.4323259107536934,1.4324418299094208,0.04816207407293388
3.1188090034747,2.188921539901836,3.3301085797119447,0.01022426111101894
1.7446857702044447,3.1276249520040835,4.750750264873576,0.001966836608640993
2.4877481814914875,3.5592651791867618,3.8823446715984367,0.0036901840670313423
4.885129167814489,2.6360289162183435,3.4167273219564778,0.012632676544586528
2.7429349652412878,4.395038202641434,3.0667229782962786,0.0052807292067702715
1.151194770672762,3.959185762356168,4.609533705203557,0.0010889779228069993
1.0854532664469194,1.678488838240204,3.0509719455121957,0.005528488109647522
3.430893487991225,3.518458110181021,3.527736139607848,0.006235234599560324
4.36793004428749,4.044516544523366,1.5545198564430414,0.0355636761044088
4.461636070895624,2.1074102577342373,3.9421287882214266,0.010841105532518965
4.758337586904113,1.018123459706545,3.4065302210357085,0.03204944029638211
1.3587484383272057,3.7158546942834088,4.92242936737127,0.0012009128304639708
1.1192018267938662,4.8857538081944485,2.4446672692772062,0.003050193921059107
1.5575788929406524,4.312831329918587,1.4917536098383404,0.012914676164726488
4.661630121571889,1.1405205590641443,4.742693062671881,0.014460216362375744
3.2442029685404057,1.8697019580954328,3.2916176073002363,0.012744036802288404
1.1254059606763145,3.878932362939488,1.3811286771529412,0.012103719610266257
3.7248029222006127,2.8794556324745937,1.447237877195357,0.049147700535577946
1.0985692105337974,2.3569331847976356,1.9001293074134669,0.010273158168929177
2.825351245777228,3.3125574868225494,3.947109210269396,0.004356531647226839
1.0805878773439823,3.4564116540984786,4.996155172457484,0.0009966735419264282
4.798082922476617,1.9085634189143708,2.84043009956984,0.024796082778019143
4.1771233431212735,2.255409395691279,3.525634547380585,0.011856799168435614
2.1404348992675235,1.5038527901942538,4.987552229473325,0.004553149603358988
3.550431259155027,4.7353509010128425,3.5691588505828484,0.004683681162217381
4.971633710183307,4.878593931108325,4.275301213180934,0.00443671112651865
4.044626578198761,2.5206072757212845,4.8958068541756585,0.005327394154491154
3.238880024662988,1.6546414743800413,4.151281292278053,0.009038924658804341
4.596866130902841,2.5922219861444558,3.9398113183633723,0.009091362100216736
3.972890310871634,3.258967937298853,4.114378678768063,0.005730705640011394
1.0910865439898159,4.273230956318697,1.4050850892311542,0.010291714256427123
4.5462123916638015,4.614652852714722,2.7295086849763157,0.010522813189849009
3.309671349157844,4.229557406435282,4.928328091907922,0.0025637806063176357
2.376220106422433,4.850806515730498,4.3219825234581695,0.0020868769260965645
4.26270231383178,2.4849323245800856,4.515649349193543,0.006694530954727635
1.4762698699604213,3.671457199054719,2.7902131652004165,0.0041100078872971894
1.398822812097236,4.3830172878527005,4.924899446215779,0.0010470921965964961
4.733156653017813,3.9735708876692266,3.85710273554578,0.006371440563179606
3.399914852654663,4.173166950917953,4.74062737679706,0.0028848336613536297
2.7911145827056862,3.992668626147246,1.3872074083255173,0.028908245594114514
1.5002285773798607,4.860914518242794,1.00565560616834,0.02428460411886304
4.325758491789092,1.122498695165863,3.052447526287685,0.03291320285147551
3.2821422447477384,4.658760257504778,4.057032948250344,0.0034061212480748595
3.0552270784006947,1.1380626352999492,3.0838346087960464,0.022463907879383682
1.0199684427383344,1.5618913569668842,4.641935473975477,0.0024117253653467468
4.5978627497097335,2.535717809830646,1.1120014477883078,0.11669023452893346
2.1245380762180632,3.978697560987003,2.5284820126149423,0.0066465150175654885
3.9645863880607326,3.8212871499455483,1.6191228736611067,0.031493340683006306
1.5934683987835605,1.5704100890296102,2.596981115800633,0.01197244721881095
2.084067060292511,4.722637572502379,1.0901062561034545,0.029551500900758244
1.2660626104637742,4.340289102182327,2.186231643854518,0.004856622066849128
1.472800093466304,1.1796692526810162,3.916563845033993,0.006476841334028268
2.9485093982725727,3.2714160573995588,3.727354897547978,0.005162444310932768
3.197994904840884,4.655043978175264,4.08383680152969,0.003277987991263036
3.5655061080950667,4.132803414246062,4.287295522541934,0.003735078487709375
2.2302698277037205,2.4897184293499093,3.2427720264754103,0.0067789819115912885
4.217178256679094,2.1704101151188397,2.2903404695585223,0.029476111854413532
4.340038914009427,1.1255134905182795,2.7521292031742206,0.04051309451913215
4.673623087178213,1.617672512345559,2.141977478657982,0.05010988597915746
4.830725960814702,3.2584928034448812,1.397800330299622,0.06038033158311858
1.0189488370292588,2.4861744013404943,2.6619577950814204,0.004602656797559507
4.064221398306629,1.3640184224555068,1.6307315949575725,0.08916251023843612
4.549951540567057,3.5790264463700376,2.0164950301576328,0.024879273118242756
3.1213816082208647,2.5921035454755947,3.664003606342124,0.0071379396552769545
1.979541406868237,1.3036794942927652,2.6533521743149597,0.017163035398141242
1.5766861775708805,2.43557951635301,4.67321333834165,0.00235885838253386
1.6137840436543054,4.188973414237415,4.498600604048294,0.0015148620103114714
1.065510013131894,4.008056520453618,2.547510569094752,0.003259731619519692
4.386696764038456,2.998672068267097,3.235704348656911,0.011118881730175823
1.1107340611498202,3.0070221522035627,1.0528528693511399,0.02651723444199104
3.7773159104788703,4.614358728531911,2.0007104001881824,0.016273974463077413
1.9522975834817853,4.041570347077686,4.662577502305494,0.0017682101638338602
2.1298821916842576,1.6787443459627729,2.4434606653863007,0.016910266461224368
4.477231932276489,1.8293919010328332,3.2336793408160824,0.01862511969134609
2.5479595090427787,2.624673390998418,4.10623344179998,0.004581631103645222
1.4710583182910084,4.4834885249704035,2.5916882732163655,0.003887213875263319
3.0127773439386463,4.057058048704736,2.264449086746409,0.011524466503975204
