m,omega,omega_0,x,E_n
2.17,1.97,2.51,1.3900000000000001,10.67136022925
2.4699999999999998,1.3900000000000001,1.37,2.5700000000000003,15.535104581750007
1.51,1.81,2.9299999999999997,1.55,10.757259818749999
1.63,1.01,1.35,2.49,7.181944735950001
1.57,1.69,2.95,1.75,13.893798406250001
2.51,1.11,1.4100000000000001,2.0700000000000003,8.658392449950004
1.5899999999999999,1.75,2.49,1.69,10.515827464349998
2.5300000000000002,1.27,1.79,1.63,8.09491671725
1.31,2.75,1.45,1.83,10.60023130875
1.53,2.89,1.6099999999999999,2.15,19.350508421249994
2.71,2.19,1.53,2.75,36.56708859375
2.9299999999999997,2.67,2.23,2.25,44.876878031249994
2.69,1.29,2.77,1.11,7.736519153250001
2.37,2.45,1.25,1.97,17.395212536250003
2.59,1.63,2.75,2.37,37.16737273935
1.29,2.51,1.01,2.85,19.17530965125
2.89,1.03,2.31,2.99,41.31964473325
2.81,2.4699999999999998,2.89,1.99,40.207816023250004
2.27,1.05,2.21,2.4299999999999997,20.061280687949996
1.67,2.13,2.83,2.35,28.926145358750002
1.19,2.4299999999999997,2.13,1.67,8.663537965949997
2.05,2.31,1.73,1.71,12.481849811249997
2.9699999999999998,1.73,1.55,1.09,4.759628994450001
1.75,1.67,2.1100000000000003,1.43,6.4781153937500005
1.05,2.39,2.5300000000000002,2.67,22.667495996250004
1.27,1.19,1.31,1.77,3.11558602815
1.07,1.09,2.01,2.63,9.673585535149998
1.99,1.07,1.99,2.33,13.787980913750003
1.11,2.79,2.35,1.27,5.955764701350001
2.35,1.99,2.41,2.01,23.185396581749995
1.85,2.5700000000000003,1.07,1.17,4.90652431425
1.71,1.21,1.9300000000000002,1.21,3.24780936975
2.39,1.45,1.49,1.79,8.27540048935
1.09,2.01,1.51,1.47,3.7216197490499994
2.41,1.13,2.67,2.0300000000000002,20.87027538505
2.0700000000000003,2.69,1.05,2.39,24.648999578550004
2.29,1.17,1.67,1.07,2.72525183845
1.33,2.95,1.15,2.09,14.560242331249999
1.01,2.27,1.9100000000000001,1.01,2.2669197752500003
1.13,2.55,2.4299999999999997,2.81,27.676545097049996
2.55,2.99,2.99,2.21,55.67203657275
2.79,2.15,2.6100000000000003,1.03,8.461349580150001
2.5700000000000003,2.5300000000000002,2.4699999999999998,2.6100000000000003,54.71755631865002
2.45,2.49,1.71,2.73,41.651071985250006
2.09,1.71,1.65,1.57,7.272314017649999
1.55,2.87,2.17,2.95,43.65606949375
2.23,1.15,1.77,2.9299999999999997,21.323908628949994
1.47,2.05,2.25,2.23,16.93216504875
2.6100000000000003,1.55,1.81,2.55,24.093625466250003
2.73,2.41,1.97,1.9100000000000001,24.123945914250005
1.65,2.73,2.0300000000000002,2.27,24.60093653325
1.3900000000000001,1.23,1.19,1.6099999999999999,2.6383106627499995
2.13,2.85,2.81,1.81,27.944820132449998
2.31,1.83,1.11,1.13,3.37807406475
1.87,2.17,2.79,2.77,44.81339980975
2.25,2.83,2.27,1.49,16.436538101249997
1.83,1.6099999999999999,2.39,2.4699999999999998,23.178365404349993
2.0300000000000002,2.21,1.75,1.29,6.711148057950002
1.21,1.65,2.33,2.31,13.15774737585
2.99,2.0700000000000003,2.29,2.9699999999999998,62.830631184750004
2.67,1.53,1.29,1.23,4.044492303749999
1.79,1.9300000000000002,1.83,2.51,19.94312720255
2.49,1.51,2.87,1.33,11.58069200925
1.81,2.09,2.5700000000000003,2.19,23.813991398250003
2.75,1.77,2.45,1.37,11.788034678750002
1.95,2.37,2.55,1.9300000000000002,22.007482116750005
1.43,2.59,1.09,1.8900000000000001,10.083650727150001
2.19,1.79,1.69,2.05,13.943724798749997
2.21,2.91,1.27,2.17,26.227407547250003
2.83,2.77,2.15,2.6500000000000004,61.08869589875002
2.77,1.57,1.03,2.59,16.37860764365
2.95,1.9100000000000001,1.95,2.87,45.26026226575
2.33,1.49,1.3900000000000001,2.29,12.683676551650004
1.17,2.1100000000000003,2.05,1.51,5.7720058870500015
1.35,2.9699999999999998,1.33,1.25,5.58446484375
1.37,1.47,1.23,2.13,5.708674652849999
1.97,2.23,1.8900000000000001,2.91,35.63725789125
2.87,2.71,2.73,1.15,14.04078081875
1.23,1.37,2.0700000000000003,1.31,3.2515864813500013
1.25,1.31,2.69,1.85,9.57465765625
1.45,2.33,1.17,2.83,19.735551402250003
2.63,2.25,1.47,2.5300000000000002,30.400341646950004
1.6099999999999999,1.35,1.43,1.53,3.6439116556499993
1.49,2.0300000000000002,1.85,2.45,16.866523791250007
2.01,1.43,2.9699999999999998,1.5899999999999999,13.803589062449994
1.73,1.85,2.63,2.89,37.34884143505
1.77,1.87,2.6500000000000004,1.35,8.483435876250004
1.8900000000000001,2.81,1.5899999999999999,1.05,5.4302915362499995
1.9300000000000002,2.29,1.63,2.71,27.997416703250003
1.4100000000000001,1.4100000000000001,1.87,2.1100000000000003,8.607968396250005
1.15,1.8900000000000001,2.85,1.73,10.062720897750001
2.85,2.6500000000000004,1.21,1.19,8.562735410250001
2.1100000000000003,1.33,1.57,1.65,6.08023956375
2.15,1.95,2.91,1.45,13.866928368750001
1.9100000000000001,1.25,2.59,1.95,15.016876728749995
1.69,1.5899999999999999,2.37,1.4100000000000001,6.841573976250001
2.91,2.35,1.13,2.41,28.730135464350006
2.6500000000000004,2.63,2.09,2.79,58.19636413125
2.4299999999999997,2.9299999999999997,2.19,1.87,28.426151481749994
1.03,2.6100000000000003,2.71,2.69,26.377187296150005
