m,q,h,epsilon,r
2.06,1.02,1.38,1.38,0.390319116995147
2.42,3.66,4.74,3.02,0.666248457938368
4.220000000000001,4.02,4.38,3.34,0.2990751009471929
2.3,4.9,1.46,3.14,0.03858029027113008
1.22,3.5,2.58,1.98,0.28071059847840035
3.74,2.02,3.2600000000000002,4.74,1.050725634923105
4.5,1.58,4.62,4.18,2.5280384353365943
4.140000000000001,2.54,4.66,2.26,0.584874417235254
4.74,2.42,4.0600000000000005,2.66,0.5027762535145542
3.42,3.46,1.7,3.94,0.08852499038221721
2.38,4.82,2.74,4.58,0.19794552929000445
2.34,3.7800000000000002,3.74,4.46,0.5939210709736683
2.9,2.1799999999999997,2.42,2.46,0.3327399762384312
1.82,3.86,3.62,1.74,0.2676520162559843
4.34,3.98,2.34,2.02,0.051212660485225006
1.54,3.9,2.06,3.1,0.1787706943624562
3.3,1.5,4.1,4.02,2.896992933432063
3.5,4.26,4.220000000000001,2.8600000000000003,0.2552429878575066
2.54,2.62,1.8599999999999999,4.62,0.29179758420114493
1.02,1.62,1.6600000000000001,4.34,1.4220859053786905
3.9,3.94,2.54,3.86,0.13093260679975283
3.8200000000000003,2.94,3.7800000000000002,2.5,0.3443623888888643
2.74,3.22,1.02,1.6600000000000001,0.019350680959866345
3.38,4.7,2.9,2.8200000000000003,0.10110737036909277
1.38,4.0600000000000005,1.78,1.5,0.06650437822420086
3.54,2.5,1.1400000000000001,2.54,0.04749088548404585
1.18,4.18,4.18,4.54,1.2246837993850932
3.1,4.54,3.7,4.38,0.29871311202350975
1.62,4.98,1.06,4.98,0.04433201796272835
1.5,1.78,1.82,1.62,0.35939882601780193
1.74,2.38,3.8200000000000003,3.66,1.724863674711564
4.42,1.6600000000000001,3.46,4.1,1.2827668738325098
4.7,2.7800000000000002,4.82,4.82,0.9813045041642967
4.54,2.58,1.22,1.1,0.01724515924310496
3.02,3.62,2.62,1.94,0.10711008300121089
3.62,2.8200000000000003,1.5,3.06,0.07612850210046039
4.46,2.14,1.94,1.3399999999999999,0.0785951921623641
3.7,2.06,4.9,3.5,1.7036256369180969
1.8599999999999999,2.9,3.5,4.78,1.1915305246884704
2.8600000000000003,1.3399999999999999,3.86,3.22,2.9737535841677696
2.02,4.38,4.7,3.38,0.6132858619039837
2.7,3.74,2.2199999999999998,2.94,0.12212271140206958
4.98,1.46,3.18,2.42,0.7338117794097027
2.1799999999999997,4.34,2.38,3.7,0.16246874017715082
1.78,1.1,2.3,4.5,3.51813856467877
4.300000000000001,3.02,3.22,1.78,0.14979576371487857
4.859999999999999,3.34,1.9,1.54,0.03263990207745532
4.1,1.3,4.58,2.38,2.293440508266516
4.58,2.7,1.3399999999999999,2.34,0.04005738320777932
1.98,4.140000000000001,3.02,4.66,0.39864292191825373
4.18,4.859999999999999,2.7,1.1400000000000001,0.026793761463282058
2.1,4.46,4.42,2.98,0.4436310324844995
4.82,1.54,4.859999999999999,2.14,1.4074985602181358
3.14,4.1,4.9399999999999995,1.06,0.1559956646745613
2.46,1.82,3.34,4.42,1.9261382122532644
1.42,4.220000000000001,2.66,3.9,0.3473479669690579
2.8200000000000003,1.9,3.42,2.06,0.7533785476401036
3.94,1.7,1.1,2.1,0.07103309335473383
4.66,1.98,3.3,2.3,0.436404827266761
4.62,3.58,4.02,3.18,0.27626211008083407
3.18,1.26,4.98,1.58,2.470572992593885
3.7800000000000002,2.3,4.54,1.9,0.623401671073757
2.58,4.74,3.94,4.9399999999999995,0.4211076495349462
1.26,4.78,2.98,2.7,0.2651063200361514
1.3399999999999999,3.38,4.300000000000001,2.9,1.1149280387474578
4.9,1.42,3.58,4.220000000000001,1.7424320978898185
4.02,3.54,3.06,3.74,0.22127482468621473
3.06,3.8200000000000003,2.46,3.2600000000000002,0.14063382509189665
2.2199999999999998,3.7,2.8600000000000003,3.58,0.3066964842886432
2.94,3.42,2.7800000000000002,2.2199999999999998,0.1588155968488541
2.14,1.18,1.98,4.9,2.05210132078653
1.9,1.38,3.1,4.0600000000000005,3.432320030422206
3.86,4.66,1.18,1.22,0.006450818674815496
3.98,3.14,2.02,2.1799999999999997,0.07215509313306206
2.66,2.98,4.5,1.7,0.4638845533899015
1.6600000000000001,3.3,3.54,4.140000000000001,0.9135262362154555
3.46,4.5,3.38,1.42,0.07370055289345179
1.3,2.34,2.94,1.46,0.5643162765497551
1.1400000000000001,2.66,2.8200000000000003,2.74,0.8598660105637385
1.7,3.18,1.58,3.98,0.18396881542517843
2.7800000000000002,1.8599999999999999,3.14,2.62,0.8549486490934601
1.1,4.58,1.54,4.26,0.1393726401216699
3.34,4.300000000000001,4.34,4.300000000000001,0.41745980310565434
2.5,1.94,2.14,3.62,0.5608449012921227
1.58,4.62,1.26,3.54,0.053046097781230095
2.98,4.42,2.1799999999999997,3.46,0.08990387492006778
3.58,4.9399999999999995,3.66,3.8200000000000003,0.18643984642215658
4.38,2.2199999999999998,1.42,3.7800000000000002,0.11239281701239202
1.06,1.06,4.140000000000001,4.7,21.529357614513817
3.22,3.06,4.26,1.82,0.34869200426729435
3.2600000000000002,1.1400000000000001,3.98,1.18,1.4043358284155263
1.46,3.2600000000000002,1.3,3.42,0.11857001697860581
4.26,3.1,3.9,4.859999999999999,0.574754822408131
3.66,2.26,1.74,3.3,0.17012361401509185
2.26,2.74,2.1,1.26,0.1042436710486678
1.94,2.8600000000000003,4.78,2.7800000000000002,1.2741393258510856
4.9399999999999995,2.46,1.62,1.3,0.03632673330849173
4.78,1.74,2.26,1.8599999999999999,0.20895537960737032
4.0600000000000005,2.1,2.5,1.02,0.11333542913115432
2.62,1.22,4.46,2.58,4.189079457369767
