omega,c,k
2.765447101228116,5.684477320317317,0.4864910079496533
7.298502349814853,7.217237928256894,1.011259767568392
4.330710970731259,7.781438236658981,0.5565437698045242
3.985629810942765,9.125808788268273,0.4367426387529082
7.948243083300707,9.745333598203203,0.815594766788298
9.773024222692305,7.991916721221219,1.2228636212814437
6.255856832866758,3.910086295686618,1.5999280731394236
3.516711385221925,9.880047534512435,0.3559407354000619
2.6110478108783184,3.7444155145552886,0.6973178592836866
4.079138287080773,5.952956508244893,0.6852289751203682
4.511496524249843,6.501611801615763,0.6939043212528713
9.062640091222711,4.4833750131293515,2.0213879197442104
2.470808542020744,1.1319481664783018,2.182793006951796
5.628357574135585,2.567175079916673,2.192432303572483
2.964432084449692,4.73580458156061,0.6259616572846022
8.979250073925286,6.2670120401595595,1.4327800898395386
9.189205676371182,9.950232955946833,0.9235166369526236
2.019436255611592,8.608710904226509,0.23458056358009824
7.927064643706131,5.538473396253421,1.4312724963287726
1.8006158732400035,9.983345912089849,0.1803619637239509
1.3128024529566429,2.3421422177598266,0.5605135516545576
4.526373829422597,6.7652506407009865,0.6690622520607149
9.616700529680283,6.276864716030165,1.5320866331754266
5.444825102627534,4.251581162786655,1.2806588641151049
8.049185350251623,7.6525232664198,1.0518341558754118
8.114111844856557,6.266950817716736,1.2947463736140834
5.8893490298205045,2.583224014808306,2.2798444873769634
6.18538933016413,5.786070149551043,1.0690138851227151
6.3369662040578225,4.662312492433835,1.3591895039943531
9.790017336514788,4.228915680978655,2.3150183344987347
1.5077062054003294,5.587365075195499,0.26984207853065256
7.253230958751918,1.4851288940846994,4.8839067017291855
9.578556771579269,9.928854252446614,0.9647192443396956
3.071897770387137,3.3329178387448897,0.9216842175575358
2.0075611829159103,6.747386209059899,0.2975316842276352
3.283641902709645,1.7086772782730466,1.9217449336181316
2.6712674438356765,9.060857728773163,0.2948139705750975
7.6586806455469025,7.3851236126956445,1.037041632232261
4.2855804153753185,2.1972289688400672,1.9504478031880792
9.062246732306251,5.8345843831853905,1.5531949042373294
2.788868861000964,7.031738462621484,0.3966115741968669
3.755906636920416,5.4663130291603395,0.6871005405077116
7.492224798044213,2.815670231763384,2.6609027980354143
6.466528422244776,9.237400659829083,0.7000376686448093
5.739658397924619,2.8796090082572072,1.9932075436166128
4.486202696738472,8.671269227393381,0.5173640189334823
3.4268660774563138,9.057110580709812,0.3783619562683696
9.68540654639658,5.117208613447864,1.8927128593006028
4.291285858906306,7.755752634166793,0.5533036007365291
1.5289163282706504,3.1076233429598634,0.4919889444563221
9.055927988144608,6.130132746548932,1.4772808946499254
7.131795462132176,1.585044654657773,4.499428732922357
4.063481725066573,8.321207447278649,0.4883283767183915
3.3303362936270737,6.961946814018973,0.4783627888281074
7.991391907699822,4.535029904631449,1.7621475658933419
7.307474055585325,4.895048866476558,1.4928296437713036
4.1064224880156655,7.88299969419601,0.5209213050000607
8.313787791939781,6.469267593920391,1.2851204052453806
7.584622061573911,2.2128446910556336,3.427543782096917
1.2715646817989008,6.824369482761488,0.18632705702862395
9.563648897325928,4.547331143730838,2.103134474935
9.378778383235405,2.1550261492239007,4.352048529254748
1.9680299930037568,2.1301665923038806,0.9238854839401248
4.214970097937325,8.41108010133453,0.5011211458167618
1.509261188576812,3.8683668711422254,0.3901546153328438
6.428786214621428,5.340608228382241,1.2037554412728029
5.430009303076388,3.3377075049930114,1.6268679310435137
8.938281172984215,1.701299990324153,5.2537948767525595
3.370223335735412,4.860153388114572,0.6934397058284704
4.3598328531896975,7.784699626965509,0.5600515192760455
4.149782694441787,8.083256003042019,0.5133800900132416
6.984588408527102,6.751457037550079,1.034530527215148
5.844291327342588,1.2562920061236496,4.652016648084417
8.620550906591756,3.624908914042044,2.378142764690657
8.879642911290604,9.04977064321686,0.98120087915667
5.461688230336891,8.068206700970972,0.6769395520914954
5.978155505908964,8.521435138923191,0.7015432739260856
5.691863734112125,8.126229632795294,0.7004310721347676
9.014103719165178,8.211262019226321,1.0977732409535874
6.184708186995847,1.4575347304440722,4.243266426393511
1.5472526503636226,9.0173309258998,0.1715865440758712
5.579895661466502,7.265620700801409,0.7679860938585785
6.3712918208702245,4.038130451077501,1.5777825649912232
7.430601893635905,1.0074642472380542,7.375548972588131
7.61423469234766,8.46220850672417,0.8997928479660244
1.8835736809263608,1.7729643168205418,1.062386683734377
8.86781568943177,1.5118067288027714,5.8657072497979685
4.41269019395401,2.76129384421749,1.5980516536459022
3.3118584913753324,1.01833128952623,3.2522407250357066
2.138066471713941,8.662968663838857,0.24680528750365946
4.029881613541706,9.032329776237393,0.4461619220484705
8.351480613692992,6.3131077660276125,1.3228794633657872
6.2445720080426455,8.259021845868798,0.7560909905046698
3.838842204695498,2.9517993729491216,1.3005091876756305
9.99321057919703,4.4199862153872855,2.260914421951746
8.654507612472242,6.511083490628997,1.3291962274678468
1.1930728644466466,7.2233801645617985,0.16516822280791912
5.371604648259157,9.173227463666136,0.5855741253048969
8.139332694706392,7.195069076537098,1.1312376028811884
8.280137826558782,7.321851413794839,1.1308803414063373
