m,q,h,epsilon,r
4.590634083169908,4.823903278284226,4.476681544903436,1.6871399060867132,0.10074970155940828
3.8469508956102367,3.574818165933125,4.699889672954616,2.6159698857107543,0.3741395666174532
2.5630597196926423,4.194439641675169,4.788364834065952,3.752644176597869,0.607372823157465
3.603491185154002,2.365984874372872,3.693898006785535,2.797473795679034,0.6023356418748355
1.6159558485722156,3.679018445917368,2.574164478849973,1.7490595182873694,0.1686684602990841
4.289142102705931,3.2510100566705757,4.378145866135835,1.5753784500255072,0.2120354227172961
2.918323295655189,1.2161177882680074,2.031683840383648,3.0536800859776174,0.9296109548698612
1.775526385064159,2.6259803781928808,4.239999975907674,1.9227532459877341,0.8986597799109332
2.4272426234576203,3.267387685798135,4.5959617483293185,2.8760491000732515,0.7462506260696602
4.41681665158904,4.409553042933993,3.2053409469156278,1.9879465016853963,0.07570154957141334
2.8157602438743985,3.403671496411768,2.64889514834238,4.561400183647644,0.3123107192857468
3.652622813895302,1.4123370514088802,4.653049207834638,4.156840028253413,3.9319428516910016
4.885493053752637,3.14899834163644,3.0667972743694256,1.651566340725199,0.10206175308447787
2.59553615420679,4.1251788166461445,2.3026339803493,4.208586741429901,0.16081390135576035
2.10039534330132,3.5298141071816644,1.3795257416909743,3.0377921585799754,0.07031744559373916
3.599954304232236,2.9620170522394638,2.562364722116385,2.0381999674092666,0.1348673156626575
4.6787498752338985,2.1033067668796317,1.4221098573570026,1.3977499311570347,0.04347212137712498
2.054621821223629,3.662917303873898,4.052335969144283,3.2748261163776986,0.6209593022185339
2.4349399104094482,1.813928586497871,1.5383025094957392,2.6959337470663742,0.2534627958994837
2.154482992296072,4.9185538681898775,4.934986037472324,4.72667947604921,0.7030078953153047
3.7857260110886064,1.2364809435813702,3.7442783330412417,3.764413579154609,2.902416098457276
3.44154447474572,3.4027072075611287,4.130219156074114,2.2396606311307927,0.3051939978940099
3.4168599167075913,2.996196299158425,4.825689368735313,2.9594393950414446,0.7151721648333218
2.37277826705726,4.011735107660884,3.8973305935081615,1.5304513892191154,0.19376820068434264
1.4358358581422404,4.311664182429763,3.2567640981356214,1.0223795587064408,0.12931241941370702
4.325061817066379,2.9262845267574162,2.602540660030054,2.3221804675698543,0.13518102053521247
3.3602094256750887,4.707865577201659,1.108245160041717,1.6488299875845938,0.008655322164259531
1.8440600477336464,3.270858611323129,1.1071628481413875,3.6477406024805874,0.07214371153637836
4.892282730502399,3.393226248476308,1.7820679518936988,3.5059349984515045,0.06291661140222099
2.292140864317637,2.5651544233218297,4.486978739988978,2.486821954938019,1.0566581571843128
4.463597444290839,1.974081144321366,1.823874445371636,1.445277323608487,0.08797842276543848
4.708454586094106,1.9579444560403376,4.0135370670373,4.616028467788416,1.3112757862986366
3.672936685844989,1.1550777225294366,3.880563337569168,3.120612869213208,3.052415970865754
2.5662887953205566,1.4043761630655471,1.4239878431529336,2.5421932882534333,0.3241894157706101
4.05240720494411,2.8031051618996945,3.1378954687945333,3.3120517007595804,0.32601104788550744
2.058006403415164,4.554029869295964,3.671758121581437,2.2046722554781684,0.221668417661482
4.993034330247914,1.838828442605932,4.517147224962852,4.007650561972482,1.5417767350414222
1.4265879676374469,2.8937305593912632,3.9405455979556656,2.7106698740373383,1.1215657356366102
3.518240601821036,1.711245450163681,4.176705699956589,1.0320850719860648,0.556266907821272
1.9795258552185195,3.0754753338776406,3.9702860573188143,3.646349227062187,0.9771614159053758
4.174657379442652,2.0273408522206777,1.4671939438325308,3.5176600428874853,0.14047681845482698
2.701898376331303,3.1937640445486344,2.035546848187479,4.569449479863824,0.2186762142713322
4.021463583573951,1.446095829694705,3.5542054480130347,3.701552701361532,1.7698678211901877
3.716687522382252,4.103581341447535,4.943243551197626,4.321715346045028,0.537091352378826
4.3842973680598485,1.7285612580358642,3.0836202469717566,2.5097488879003937,0.5798726454728934
1.0692299264346263,3.721991522475775,2.5076889996590057,3.9767972277847696,0.5374141035175675
2.2962309029270958,2.624974472596254,4.04494357118263,2.063899626217621,0.6793567711623443
3.995291877445569,1.0901074012721867,3.9118599248517,4.385695795945335,4.499540170436832
3.318938580769533,4.682267836750652,3.204829229192705,3.130090197461131,0.14063876514782586
4.13453354842046,4.84654440050763,4.878444515750665,1.587445246072249,0.12382852792502975
3.365847035721948,1.6125260840722655,3.3281059690568053,3.7605592689493217,1.5149175093575995
1.350750276709547,4.86013971252545,4.1235959345163335,1.164445313556262,0.19753718345270596
4.376418475426783,3.4145140528478444,2.532576150572696,1.6627392313786071,0.06653078458409056
3.3827050844426645,4.040741685888421,3.7362108471232154,4.268766280295578,0.3434226589124764
3.1723560480442043,3.7738380033551535,4.504733579384746,4.024500663358857,0.5753762361000448
2.853906770268612,4.021801716594531,2.460391059190355,4.331137118706874,0.18079201651967605
