h,omega,kb,T,n
1.26,1.58,4.859999999999999,2.62,39.68946316627601
1.1,2.1799999999999997,2.26,2.02,11.468599586884483
4.62,3.3,1.3,3.3,1.314880795208313
4.82,2.62,1.6600000000000001,4.66,3.370429207827223
1.22,4.7,2.94,3.42,10.525381028077645
4.66,4.62,1.9,2.98,1.202551079162224
1.06,3.06,1.74,3.8200000000000003,12.382003729359049
1.58,4.1,4.74,2.58,11.368452613963488
4.58,3.42,4.7,2.8200000000000003,4.832280367067091
1.54,2.8600000000000003,4.02,4.58,25.76861054128948
2.98,1.98,2.14,4.42,9.580706658237194
4.5,1.22,1.02,2.1799999999999997,2.0775234809423377
3.7,4.66,1.42,1.6600000000000001,0.4538812215929324
4.34,4.0600000000000005,4.18,4.859999999999999,6.7554703892297505
3.5,2.42,1.18,2.74,1.9330854790344532
3.1,1.3399999999999999,4.9,4.98,36.41181187606803
2.9,4.46,4.38,3.1,6.108661963633084
1.3399999999999999,1.6600000000000001,2.8600000000000003,2.94,23.25442353799011
3.42,2.54,3.3,4.220000000000001,9.580984277198562
2.7,3.14,1.46,2.46,2.193027669674027
4.78,2.9,1.98,2.34,1.639607999309877
3.74,2.14,2.7800000000000002,1.06,1.8492810830221036
1.8599999999999999,3.62,1.1,2.66,2.26089233472014
1.02,4.5,2.46,1.18,3.4945510108053757
4.1,4.38,4.98,3.02,4.777915996916611
3.38,4.42,4.34,3.54,5.974399798830761
4.42,3.46,3.18,1.78,1.8612893787297393
1.38,4.9399999999999995,3.62,3.7,11.851551713525259
1.94,3.2600000000000002,2.38,4.34,9.770006304831787
4.9399999999999995,1.18,2.98,2.9,8.823994029482082
2.14,3.86,4.140000000000001,1.1,2.987975564478445
2.66,4.54,4.82,1.62,3.583095052036065
2.7800000000000002,2.8200000000000003,1.22,3.9,3.335210644823471
2.8600000000000003,3.58,3.22,4.74,8.875129911215089
2.06,3.34,3.06,1.1400000000000001,2.7117253704262287
3.06,4.9,3.54,4.82,6.661760030451757
2.38,4.18,1.38,2.3,1.5460259903109237
4.140000000000001,3.7,2.54,4.1,3.7911378804689337
3.2600000000000002,1.02,2.1,3.38,12.918353116366314
3.18,2.26,3.14,1.54,3.747301022169752
2.54,3.38,4.9399999999999995,2.5,8.547718909391444
4.02,1.46,4.66,4.0600000000000005,19.75821235535857
4.9,4.140000000000001,1.8599999999999999,3.46,1.5349316023448003
4.54,4.98,3.9,3.06,2.841594239348261
2.26,3.5,3.46,3.14,8.139621049118503
1.62,2.94,1.94,4.7,11.535583277744214
1.9,4.26,3.94,4.62,13.636310284678824
3.9,1.9,3.42,2.38,6.413907256076033
3.66,4.300000000000001,4.78,1.82,2.997158726658128
1.98,2.7,2.2199999999999998,3.74,9.266867991856369
2.74,3.02,2.8200000000000003,4.140000000000001,8.374257005718633
3.3,1.94,1.54,1.8599999999999999,2.3408201996399423
2.34,3.54,3.98,4.5,13.09103023411981
2.3,3.9,3.7,2.26,5.37152197069365
2.1,1.3,1.58,1.46,4.824863328895256
3.02,4.82,2.74,1.3399999999999999,1.1370611682641762
2.62,1.26,2.1799999999999997,3.22,12.86666555084835
3.22,2.34,4.46,4.02,14.456532381006213
3.34,2.2199999999999998,3.2600000000000002,2.7,6.969846169471197
1.5,1.42,2.42,3.86,27.05818407266831
2.1799999999999997,2.74,1.3399999999999999,3.98,5.124818494845123
3.7800000000000002,3.22,1.1400000000000001,4.26,2.040108658832542
1.74,4.859999999999999,2.34,2.2199999999999998,3.3813516409184747
1.46,2.38,4.1,1.3,9.146430653565956
2.42,1.78,2.9,1.74,6.8715547270553525
3.62,2.98,1.26,3.58,2.158935582097807
3.86,4.34,1.82,3.7800000000000002,2.1124909000621077
2.5,2.06,3.34,3.62,14.256859871913996
1.6600000000000001,1.06,2.62,4.300000000000001,39.73074029839561
4.220000000000001,2.3,3.38,4.9399999999999995,10.316651663885862
1.78,2.58,4.5,1.58,9.236255967727471
1.42,2.66,3.58,2.8600000000000003,16.536629737705997
4.7,1.1400000000000001,2.3,1.7,4.103314098807404
3.58,1.54,2.58,4.9,13.91339228335687
1.18,2.1,3.5,4.38,38.372697015841496
2.02,1.38,3.8200000000000003,3.5,29.63843302092825
3.46,4.74,3.1,4.18,4.4811365259231515
1.3,4.02,1.7,3.34,6.338824671699735
3.98,1.62,1.78,2.1,3.1655287257193776
1.82,3.8200000000000003,3.74,1.38,4.182252356781729
3.8200000000000003,4.58,4.220000000000001,4.54,6.392596697841968
4.18,3.7800000000000002,3.66,4.78,6.468954477195746
4.0600000000000005,1.5,3.02,1.5,4.191516098238559
2.2199999999999998,2.7800000000000002,3.86,2.42,9.018854108289483
4.26,1.74,2.02,2.14,3.186973030770065
4.859999999999999,2.46,2.66,2.7800000000000002,3.4077067793973455
4.98,1.8599999999999999,4.58,3.66,10.877947855754224
2.46,1.7,1.62,1.9,4.142502454893901
4.38,3.66,2.06,2.54,1.5912850801847116
4.74,3.98,4.0600000000000005,1.42,1.4633444160226823
3.94,3.74,4.62,1.26,2.015613075501928
2.8200000000000003,2.5,4.42,2.06,7.62511187497822
2.94,3.18,4.300000000000001,1.22,3.0492103821439485
2.58,4.78,1.06,1.94,0.6260637541336745
3.54,3.94,4.54,3.94,7.568435323138099
3.14,2.02,1.5,1.02,1.0702080053239282
1.1400000000000001,1.1,3.7800000000000002,1.98,37.00291761963084
4.300000000000001,3.1,2.5,3.2600000000000002,3.3632255398989623
1.7,1.82,4.26,3.18,27.01338937932047
4.46,4.220000000000001,2.7,4.46,3.5407555646458566
