q,C,Volt
4.300000000000001,4.7,0.9148936170212767
2.02,4.1,0.49268292682926834
2.14,3.8200000000000003,0.5602094240837696
4.78,1.8599999999999999,2.56989247311828
4.220000000000001,3.5,1.205714285714286
1.18,1.5,0.7866666666666666
3.98,2.66,1.4962406015037593
2.3,2.34,0.9829059829059829
3.8200000000000003,1.1,3.4727272727272727
3.94,1.26,3.126984126984127
2.5,4.9,0.5102040816326531
2.54,4.34,0.5852534562211982
3.2600000000000002,2.9,1.1241379310344828
2.1799999999999997,4.98,0.43775100401606415
2.42,2.1,1.1523809523809523
2.9,3.46,0.838150289017341
2.8600000000000003,4.66,0.6137339055793992
4.74,2.26,2.097345132743363
1.82,3.02,0.6026490066225165
3.38,4.46,0.757847533632287
2.26,1.54,1.4675324675324675
3.54,1.42,2.4929577464788735
4.26,3.38,1.2603550295857988
1.1400000000000001,2.06,0.5533980582524273
3.42,1.18,2.898305084745763
2.74,1.82,1.5054945054945055
2.38,1.94,1.2268041237113403
4.7,1.78,2.640449438202247
4.5,4.62,0.974025974025974
3.46,1.1400000000000001,3.0350877192982453
2.98,4.9399999999999995,0.6032388663967612
2.94,3.3,0.890909090909091
3.86,1.22,3.1639344262295084
4.9,3.74,1.3101604278074868
1.46,4.78,0.305439330543933
1.3,4.54,0.28634361233480177
4.1,3.1,1.3225806451612903
3.3,1.3399999999999999,2.4626865671641793
3.22,3.86,0.8341968911917099
1.02,3.34,0.30538922155688625
2.34,2.94,0.7959183673469388
4.98,1.62,3.074074074074074
1.74,1.9,0.9157894736842106
3.18,3.22,0.9875776397515528
3.1,2.42,1.2809917355371903
4.02,4.5,0.8933333333333332
3.74,4.220000000000001,0.886255924170616
4.46,1.3,3.4307692307692306
1.3399999999999999,4.18,0.32057416267942584
4.42,2.62,1.6870229007633586
4.140000000000001,3.42,1.210526315789474
1.94,1.7,1.1411764705882352
3.7,3.54,1.0451977401129944
2.8200000000000003,4.38,0.6438356164383563
3.5,4.26,0.8215962441314555
1.62,2.58,0.627906976744186
1.78,1.6600000000000001,1.072289156626506
1.7,3.06,0.5555555555555556
1.22,3.98,0.3065326633165829
4.0600000000000005,3.2600000000000002,1.245398773006135
4.859999999999999,3.7,1.3135135135135132
3.14,3.58,0.8770949720670391
2.62,2.8600000000000003,0.916083916083916
3.58,1.46,2.452054794520548
3.66,3.7800000000000002,0.9682539682539683
4.54,2.38,1.9075630252100841
2.58,2.8200000000000003,0.9148936170212766
1.06,1.02,1.0392156862745099
1.9,4.42,0.42986425339366513
2.06,4.02,0.5124378109452737
3.02,1.98,1.5252525252525253
4.66,3.62,1.287292817679558
2.46,4.0600000000000005,0.605911330049261
1.5,2.54,0.5905511811023622
2.7,2.14,1.2616822429906542
4.62,2.46,1.878048780487805
4.34,4.300000000000001,1.009302325581395
1.1,2.7,0.40740740740740744
3.9,2.7800000000000002,1.4028776978417266
1.8599999999999999,2.1799999999999997,0.853211009174312
1.54,3.9,0.3948717948717949
4.82,3.94,1.2233502538071066
3.34,4.74,0.7046413502109704
2.7800000000000002,1.38,2.014492753623189
4.18,2.74,1.5255474452554743
3.7800000000000002,2.02,1.8712871287128714
1.6600000000000001,4.140000000000001,0.40096618357487923
1.98,4.58,0.43231441048034935
3.62,1.06,3.4150943396226414
1.58,2.3,0.6869565217391305
2.2199999999999998,4.82,0.46058091286307046
4.9399999999999995,1.74,2.8390804597701145
1.26,1.58,0.7974683544303797
4.58,3.14,1.4585987261146496
2.66,3.66,0.726775956284153
1.38,2.2199999999999998,0.6216216216216216
1.42,3.18,0.4465408805031446
3.06,2.5,1.224
4.38,2.98,1.4697986577181208
2.1,4.859999999999999,0.43209876543209885
