m,v,c,E_n
2.128302487286959,1.9800114208427533,9.106672994788962,180.829244648574
4.6167227406306965,1.8289195789688064,9.300178975510967,407.26849043673667
4.463204283874481,1.6085376107832432,7.875623868498432,282.79345820746653
1.9923515334928448,1.5837241043735475,6.2404311231101595,80.21425688449075
2.6413280995506088,1.0571322627724549,8.061623185665898,173.1544920334071
4.429104295326118,1.228286162920443,8.60346934359651,331.2339265186792
1.7037179864567467,1.2611805749273135,6.200464509928705,66.89922649392858
4.472178940629583,1.6764431473348818,6.050219414074454,170.37595053118585
2.854250251531516,1.2715586150990543,3.6144966728099575,39.83602020843476
1.55493541924566,1.88744957235666,9.270783322919288,136.50158295636174
4.426585601935977,1.921491114196999,9.140127999222578,378.25854862641813
4.802166142791786,1.2984334372707478,7.857278589631479,300.6033983269936
3.987217595830951,1.1993736453473391,3.0454362409659157,40.23149196405213
1.6932981770128157,1.95585879676892,4.791935941296769,42.59184962599
2.0313276152479656,1.17071063175539,7.441687013971263,113.91070879665644
4.2175556727121934,1.7663253589533574,7.73430766375761,259.1403976892997
2.1880689278179397,1.4233024057368475,7.400653462483389,122.11954001744887
3.5014410708051176,1.817689897083249,6.555867606336213,156.63062072904137
3.257896212909131,1.4803791122860548,5.283746654536839,94.74869073719736
1.0344697017207,1.5786446345178216,6.079878169720732,39.59716816356034
4.641949643934486,1.4202776856390869,6.856318921472423,223.05203563190202
4.329177171526609,1.768831786854941,4.955596359174248,113.812631893806
4.756366447601415,1.5840158468375505,5.635186350386324,157.38570724250363
2.405330779110843,1.5586143225870437,8.570663569319255,179.68276836760876
4.432682329298284,1.9275577691626151,9.064748787495336,372.7570373498889
3.400702208245573,1.7331538160240785,6.083240153218321,131.28688076218282
3.5790702433151527,1.327915578615572,9.324337006441064,314.3804578008016
1.3791800979316622,1.8053653033993369,8.217621358395544,95.4674575136708
1.3936935712694574,1.012400227971715,3.2555886712149205,15.542159531100204
4.343927852836662,1.597093441792086,4.712123427272272,102.52121224779256
4.084851366906112,1.2477655653130268,8.015581265250125,265.6887093530869
1.8890278898306816,1.053040873407463,7.404106673657642,104.6215407456057
2.3060977023404714,1.6910994668473804,3.2256929334432405,28.1779350154239
4.155062867338863,1.2973474085384065,5.987098441992577,152.56455363207598
4.801336069894697,1.032111425630851,4.919087374295326,118.82492801036994
