m1,m2,G,x1,x2,y1,y2,z1,z2,F
1.105,1.445,1.005,3.165,1.655,3.515,1.595,3.035,1.695,0.206736401875781
1.5150000000000001,1.475,1.575,3.755,1.075,3.105,1.185,3.085,1.275,0.24882002523877872
1.905,1.615,1.205,3.675,1.2650000000000001,3.9050000000000002,1.125,3.295,1.2349999999999999,0.20850686300976934
1.4849999999999999,1.395,1.865,3.615,1.065,3.215,1.495,3.555,1.115,0.2506398115410814
1.915,1.705,1.775,3.195,1.685,3.425,1.355,3.895,1.625,0.49458590063065905
1.135,1.215,1.755,3.105,1.455,3.345,1.7349999999999999,3.875,1.865,0.25871368135803396
1.245,1.945,1.8250000000000002,3.215,1.865,3.865,1.615,3.745,1.395,0.3561783699375378
1.5550000000000002,1.675,1.9649999999999999,3.245,1.185,3.565,1.305,3.505,1.495,0.3821950165405899
1.525,1.435,1.905,3.9050000000000002,1.975,3.275,1.085,3.195,1.2850000000000001,0.34257704965856145
1.7349999999999999,1.295,1.375,3.685,1.015,3.005,1.345,3.095,1.575,0.2533341294311556
1.025,1.9849999999999999,1.455,3.6550000000000002,1.875,3.995,1.5550000000000002,3.585,1.775,0.23877685895419457
1.275,1.145,1.665,3.9450000000000003,1.5550000000000002,3.555,1.905,3.605,1.155,0.1683642750275332
1.2650000000000001,1.8250000000000002,1.355,3.095,1.525,3.475,1.365,3.235,1.835,0.3523923482032218
1.925,1.995,1.255,3.525,1.925,3.175,1.545,3.685,1.745,0.5366817688324703
1.635,1.035,1.8050000000000002,3.395,1.465,3.665,1.135,3.9450000000000003,1.795,0.20710631903338006
1.895,1.055,1.045,3.025,1.405,3.095,1.175,3.825,1.975,0.2146435561423155
1.505,1.7149999999999999,1.885,3.435,1.8250000000000002,3.755,1.955,3.785,1.455,0.4320510056833318
1.685,1.815,1.135,3.275,1.145,3.295,1.565,3.355,1.335,0.2989734995951836
1.355,1.855,1.425,3.155,1.565,3.615,1.215,3.225,1.125,0.28207157960639784
1.365,1.725,1.605,3.965,1.445,3.305,1.655,3.715,1.365,0.2589290547021665
1.305,1.745,1.655,3.145,1.395,3.165,1.685,3.485,1.815,0.46865221405655444
