c,v,omega_0,omega
4.785,1.925,3.3,5.5211538461538465
6.815,1.115,4.02,4.806368421052631
7.865,1.155,4.82,5.6496721311475415
6.675000000000001,1.7650000000000001,4.1,5.573828920570265
5.695,1.375,4.7,6.195949074074075
8.775,1.845,1.82,2.3045454545454542
6.605,1.035,1.42,1.6838599640933571
6.535,1.185,4.140000000000001,5.056990654205608
3.105,1.975,3.02,8.298318584070797
5.625,1.245,4.54,5.830479452054795
3.315,1.915,3.34,7.9086428571428575
8.844999999999999,1.575,3.42,4.160921595598349
9.965,1.725,2.1799999999999997,2.6363713592233005
3.8049999999999997,1.635,1.62,2.840599078341014
8.355,1.005,3.94,4.478734693877551
9.475000000000001,1.855,4.42,5.495997375328083
5.975,1.875,4.9399999999999995,7.199146341463414
3.665,1.895,3.8200000000000003,7.909774011299436
9.405000000000001,1.645,4.78,5.793286082474227
8.565000000000001,1.665,4.9,6.082391304347826
5.555,1.435,2.94,3.964004854368932
7.375,1.5550000000000002,1.58,2.002147766323024
7.234999999999999,1.495,3.14,3.957822299651568
6.324999999999999,1.775,2.02,2.808021978021978
8.145,1.9649999999999999,2.62,3.4530582524271844
7.445,1.085,4.34,5.080393081761006
6.045,1.045,4.5,5.4405
5.905,1.685,3.5,4.8975118483412325
4.015000000000001,1.615,1.98,3.312375
4.225,1.195,2.38,3.318646864686469
3.455,1.545,2.2199999999999998,4.015759162303664
5.765000000000001,1.695,4.66,6.600712530712531
7.7250000000000005,1.955,1.02,1.3655979202772963
9.615,1.705,2.26,2.747142857142857
7.095,1.5350000000000001,3.7,4.721492805755396
3.035,1.335,2.3,4.1061764705882355
4.505,1.305,2.5,3.51953125
8.004999999999999,1.675,3.06,3.8697156398104267
3.875,1.065,3.9,5.378113879003559
6.955,1.025,3.18,3.729662731871838
3.175,1.325,4.220000000000001,7.242432432432434
6.1850000000000005,1.5150000000000001,3.54,4.688415417558886
4.715,1.625,4.46,6.80546925566343
5.135,1.175,2.66,3.449267676767677
4.295,1.655,3.58,5.824280303030303
6.885,1.135,4.58,5.484052173913043
8.425,1.205,2.06,2.403808864265928
9.055,1.8050000000000002,3.46,4.321420689655173
4.645,1.7349999999999999,1.26,2.011237113402062
7.585,1.475,1.46,1.812454991816694
7.655,1.835,1.8599999999999999,2.4464432989690716
4.575,1.2850000000000001,2.46,3.4208206686930094
6.395,1.125,4.74,5.7518595825426955
4.855,1.255,1.6600000000000001,2.2386944444444445
4.925000000000001,1.905,2.98,4.859768211920529
7.515000000000001,1.405,1.1400000000000001,1.4021440261865796
7.9350000000000005,1.525,3.66,4.530748829953199
4.995,1.755,1.1,1.6958333333333333
3.7350000000000003,1.795,4.26,8.20159793814433
3.9450000000000003,1.865,1.78,3.376009615384615
8.495000000000001,1.055,2.7800000000000002,3.1742069892473124
9.195,1.8250000000000002,2.42,3.0192537313432837
3.5250000000000004,1.565,3.38,6.078826530612243
8.215,1.935,1.3399999999999999,1.7528821656050952
9.754999999999999,1.105,1.06,1.1954104046242775
7.795,1.445,2.34,2.872488188976378
9.895,1.2349999999999999,4.0600000000000005,4.638995381062356
7.165,1.215,2.7,3.2513445378151262
3.245,1.095,3.7800000000000002,5.705162790697674
5.345000000000001,1.385,1.5,2.0246212121212124
8.985,1.945,4.98,6.355866477272729
8.705,1.605,1.7,2.084295774647887
6.465,1.275,4.300000000000001,5.356358381502891
6.255000000000001,1.2650000000000001,1.9,2.3816633266533063
7.305,1.145,1.38,1.6365097402597402
3.5949999999999998,1.165,1.54,2.2783127572016464
9.265,1.395,2.54,2.9902287166454893
4.085,1.885,1.18,2.1910454545454545
5.415,1.995,3.2600000000000002,5.161666666666667
5.484999999999999,1.415,1.94,2.6144717444717447
8.635000000000002,1.225,3.86,4.4981241565452095
5.0649999999999995,1.425,1.22,1.6976098901098902
9.825,1.595,3.1,3.700789793438639
6.115,1.465,2.1,2.7616129032258065
4.155,1.315,3.22,4.710950704225352
5.275,1.015,4.38,5.423591549295774
7.0249999999999995,1.7850000000000001,2.14,2.868988549618321
9.335,1.4849999999999999,2.8200000000000003,3.3534649681528665
8.285,1.7149999999999999,2.8600000000000003,3.606560121765601
4.365,1.745,3.74,6.230954198473283
8.915,1.9849999999999999,2.74,3.5248340548340553
5.205,1.455,4.62,6.41256
9.545,1.585,2.58,3.0937311557788947
9.685,1.355,3.62,4.208847539015606
5.835,1.365,4.18,5.456442953020134
9.125,1.075,1.74,1.972360248447205
6.745,1.505,2.9,3.732919847328244
3.385,1.295,3.98,6.446076555023923
4.4350000000000005,1.345,4.859999999999999,6.975436893203883
8.075,1.815,1.3,1.6769169329073483
