alpha,n,d,k
1.78,4.46,2.46,1.0193654386579591
4.78,3.34,3.42,2.629270036096091
2.1799999999999997,2.14,4.46,1.4351183908523841
1.7,4.98,4.98,0.4306952719393758
4.54,2.34,1.06,11.50042787235741
3.86,2.94,3.54,2.330325462711211
3.18,2.58,4.58,1.690915107548076
1.3399999999999999,4.02,3.7,0.5660527303765392
4.62,1.78,4.62,3.5298793860559465
2.02,3.86,1.18,2.7865184685392914
3.5,3.22,4.42,1.5451468884466817
4.02,4.38,3.74,1.5419142025530446
3.46,2.8600000000000003,2.42,3.1410479631915518
4.300000000000001,4.7,2.58,2.2280798961629737
2.3,4.78,2.5,1.2093160005450247
4.18,3.62,1.1400000000000001,6.3641840127970015
2.66,2.26,1.6600000000000001,4.45497198984372
2.14,2.7800000000000002,3.58,1.3510325707733124
4.220000000000001,3.5,3.1,2.443782672469849
2.2199999999999998,3.42,2.14,1.9058686371999072
1.58,1.9,2.1799999999999997,2.3967727632408855
1.42,1.58,4.66,1.2117839865533506
1.74,2.38,3.66,1.2550790322923817
4.140000000000001,1.62,4.1,3.9163485654506913
1.02,4.54,3.18,0.44391218611110034
3.34,4.9,3.46,1.2378104828347185
4.82,2.5,3.02,4.011252076901405
3.02,2.8200000000000003,4.02,1.6738311657741745
1.9,4.74,3.62,0.6957393339651498
2.7800000000000002,4.42,1.3,3.03989821683941
1.82,1.74,1.78,3.6921726911619683
4.38,3.1,2.34,3.793817431134076
1.8599999999999999,4.140000000000001,2.9,0.973407019103284
3.9,2.46,1.98,5.030882544551282
1.1400000000000001,4.34,3.5,0.4715491277277636
2.54,1.06,2.54,5.927533308659987
4.859999999999999,2.66,1.9,6.042002491668537
3.66,1.6600000000000001,4.34,3.1920018633442457
2.9,2.74,3.9,1.7051504202527419
2.34,4.26,2.94,1.1739207961100118
4.34,3.06,4.5,1.9803212950733045
2.62,1.22,1.58,8.540125287824505
3.06,4.18,3.14,1.4648574528364928
3.62,3.9,4.26,1.3690339961472315
4.98,2.42,1.94,6.664876635800107
3.8200000000000003,3.94,1.22,4.993294473126825
3.3,4.300000000000001,1.38,3.494187986803612
2.58,1.7,4.300000000000001,2.217594814298677
2.26,1.8599999999999999,2.74,2.7862802751404643
2.42,3.54,4.82,0.8911379400435213
4.9,2.2199999999999998,1.5,9.245527929483478
1.5,1.82,1.54,3.36262949934686
1.18,1.1400000000000001,4.54,1.4325215747878335
4.66,2.7,4.859999999999999,2.23134000392142
4.0600000000000005,3.2600000000000002,2.98,2.625862842997192
3.1,3.3,2.7,2.1860689620939078
3.58,3.74,4.140000000000001,1.4527502260264353
1.46,1.18,1.3399999999999999,5.801575100229065
2.8600000000000003,2.06,1.02,8.552213010914533
1.98,1.46,4.220000000000001,2.0192019262831233
1.1,2.1799999999999997,3.34,0.9492259295030417
1.94,1.5,3.86,2.105246890488497
3.38,3.18,3.22,2.074023041746455
2.46,1.54,3.7800000000000002,2.655231886150928
2.7,2.9,4.18,1.399488560417826
3.22,4.62,2.1,2.08532845692829
1.22,3.98,4.9,0.3930615359839552
4.1,1.98,4.78,2.721890427225846
2.98,1.1,2.38,7.151983275552013
2.5,3.14,2.62,1.9093649132042791
4.26,3.38,3.8200000000000003,2.0730482208699956
3.54,2.1,2.8600000000000003,3.7033759552806744
4.9399999999999995,4.66,4.9399999999999995,1.3483230272917568
3.94,4.82,4.38,1.1726136394346032
1.26,2.54,1.62,1.923985002198473
3.42,1.3399999999999999,1.46,10.983691346633709
3.74,1.02,3.06,7.528871283112795
2.06,1.94,1.74,3.8343884739868312
2.94,1.42,1.1,11.826225866266313
3.98,3.58,2.66,2.6260214981491528
1.62,4.5,1.8599999999999999,1.216100382034759
3.2600000000000002,2.3,1.82,4.893259460440863
1.6600000000000001,2.62,3.2600000000000002,1.2211501439982804
2.8200000000000003,4.859999999999999,4.74,0.7691558822666058
4.7,2.98,2.7800000000000002,3.5646481270513313
4.58,3.7,4.7,1.6548009607177978
1.06,4.9399999999999995,1.42,0.9494463741817818
3.7800000000000002,4.220000000000001,3.94,1.428443263955712
2.1,1.3,3.38,3.0028878345646635
1.54,4.0600000000000005,1.26,1.891489829747549
4.42,3.7800000000000002,2.2199999999999998,3.309461730508338
4.74,3.8200000000000003,2.8200000000000003,2.7646855256053655
4.5,2.02,2.26,6.1934491111688725
3.7,3.66,4.0600000000000005,1.5644960588821009
2.74,1.38,2.3,5.424047807710167
1.3,4.1,3.98,0.5005601727744493
2.38,3.02,3.3,1.5004998024370275
4.46,3.46,2.02,4.009472682141154
1.38,4.58,2.06,0.9190227375151383
3.14,1.26,1.7,9.210645128171757
