E_n,d,k,h,v
3.1972770375713075,2.5914800344381193,3.2554951276573103,3.754424595541404,233.9696527754816
2.0243967976459327,2.220201479110884,1.2208569268117264,3.6139722691938188,42.36139337821749
1.6599602976001924,3.993894694466901,4.444528091800531,1.7323345708626208,853.6791365793258
1.7820621795624936,4.839210017775693,4.321619533849153,3.3705910415506946,672.3913629064739
3.5605599724775785,4.35566162042441,2.981524713428477,2.6237453614359647,964.6131218188353
4.588296405055857,2.9461919731077413,4.910868107549057,4.963609861075217,495.15827945895364
1.819828780530928,4.247591800441212,4.70923465989261,4.7935101689694735,405.342945818227
2.19709233402406,3.923718991801213,3.2218563031395826,2.6642498853477767,514.0261068628462
4.071170512439852,3.4340580839628814,2.781910232501112,3.8904398646395406,431.4086360569404
1.1062564240819048,2.1940344033455244,1.0503031686693165,3.373729694828627,20.833245330646747
4.223467091439334,1.184807165405073,3.287695957814784,2.3537549614459143,104.06500798055927
4.091643552483193,1.2032769887002877,3.2345279718321405,3.5152512994437317,68.50044822846338
4.502504040968022,1.6911266998819987,3.5006402333137636,3.8893016416619552,145.64384000715432
2.2455853418764447,3.793581198693954,4.771370720125038,2.9085950168992913,666.1899898084579
1.0280166958967367,1.0828146700845926,1.3376481835245957,3.9475108994743393,5.132593390941545
1.0229402016739102,4.323366238957242,3.9375252398942413,2.884980676728144,327.9326107065224
4.2317961793972305,1.1319842750843736,2.484177690702037,4.161261553900267,40.67925936276554
2.9210552619464627,3.3165254217237314,1.2430478420305595,1.6514548061732055,303.9047227269841
3.849421129939941,4.040986312818975,2.9500200785808577,1.3732788709527668,1696.861056498686
4.591936079334862,4.537979448274854,4.862406630108227,3.154757954238162,1831.538188220441
2.8074218296930917,4.1450825507078335,4.20063704702398,4.238041664770174,600.8054187811548
3.4002236824338845,4.8875314223698405,3.978864465368552,2.80099253654319,1449.9187667176332
4.7035851499662815,4.2619216740153725,1.484682560772398,4.136647098986581,385.331876425732
3.19205080003725,4.590622418827843,3.5618504828299997,2.153812056548846,1397.9469347686859
1.7512585375200242,1.638105142877934,1.5563509717216135,3.189798959617784,28.81296198622561
1.4781014715722236,4.28185937389084,2.228110876625818,2.054129512259475,369.39234373147616
4.424529276082716,4.812481853057786,1.7375798435657948,3.5111858690896063,637.2445015301307
4.879319327014653,4.6319971038008685,1.6695044911515406,1.0883748791978194,2017.9701890903088
1.9362612887139536,4.578203136991265,4.539853964162546,2.6900893679697977,860.6748626694495
3.838389219276995,3.1525986461290736,2.322483325849461,3.01731090140279,369.00205698512076
3.9976206073142238,4.283720351103705,1.4125225074757417,2.5984034415868686,501.12083103469047
2.746141474561953,4.719501549010127,1.1817834214085852,4.764707408387864,190.645559354657
1.2858406818814745,1.776568463085913,2.9725053243660646,2.3508094389061647,64.48610383962668
