mu,Nn,F
3.34,3.7,12.358
2.7800000000000002,2.5,6.950000000000001
4.54,1.94,8.807599999999999
2.26,3.86,8.7236
3.86,4.26,16.4436
1.82,4.9,8.918000000000001
4.9399999999999995,4.78,23.6132
4.38,1.02,4.4676
3.98,3.38,13.452399999999999
2.58,2.1799999999999997,5.6244
3.22,1.26,4.0572
3.2600000000000002,4.7,15.322000000000001
4.74,2.94,13.9356
4.78,1.98,9.464400000000001
3.74,3.18,11.893200000000002
2.9,3.02,8.758
2.8600000000000003,2.42,6.921200000000001
2.46,1.46,3.5915999999999997
2.06,4.38,9.0228
1.8599999999999999,2.26,4.203599999999999
3.62,3.46,12.5252
1.42,1.82,2.5844
1.74,1.6600000000000001,2.8884000000000003
4.02,4.1,16.481999999999996
1.78,4.62,8.223600000000001
1.62,2.98,4.8276
3.42,2.74,9.370800000000001
3.06,1.8599999999999999,5.691599999999999
4.140000000000001,2.66,11.012400000000001
4.34,3.34,14.4956
2.98,2.46,7.3308
2.3,4.18,9.613999999999999
2.42,4.859999999999999,11.761199999999999
3.18,2.34,7.4412
2.7,1.06,2.8620000000000005
1.94,4.82,9.3508
4.26,1.78,7.5828
2.1799999999999997,1.62,3.5315999999999996
4.220000000000001,1.74,7.342800000000001
4.42,4.02,17.768399999999996
4.66,3.3,15.378
2.94,4.9399999999999995,14.523599999999998
3.9,3.58,13.962
1.1,4.42,4.862
1.06,1.3399999999999999,1.4203999999999999
3.38,1.38,4.6644
4.98,4.0600000000000005,20.218800000000005
3.3,3.74,12.342
2.66,1.58,4.202800000000001
4.82,1.3,6.266000000000001
3.66,3.66,13.395600000000002
4.0600000000000005,4.66,18.919600000000003
2.8200000000000003,3.1,8.742
1.6600000000000001,4.46,7.403600000000001
2.62,4.58,11.999600000000001
1.22,3.9,4.758
1.9,1.54,2.9259999999999997
1.7,1.1400000000000001,1.9380000000000002
3.8200000000000003,2.8200000000000003,10.772400000000001
2.2199999999999998,2.2199999999999998,4.928399999999999
3.54,4.140000000000001,14.655600000000002
2.02,4.74,9.5748
1.1400000000000001,2.58,2.9412000000000003
2.54,4.5,11.43
4.18,3.22,13.4596
4.5,3.06,13.77
3.14,3.7800000000000002,11.869200000000001
2.34,1.5,3.51
4.1,3.2600000000000002,13.366
1.54,4.54,6.9916
2.38,2.7800000000000002,6.6164000000000005
2.74,2.1,5.7540000000000004
3.58,3.8200000000000003,13.675600000000001
2.1,2.7,5.670000000000001
3.5,2.14,7.49
3.7800000000000002,2.8600000000000003,10.810800000000002
1.3399999999999999,2.54,3.4035999999999995
3.1,2.62,8.122
4.46,3.54,15.7884
1.38,1.22,1.6835999999999998
1.46,3.62,5.2852
3.46,3.14,10.8644
1.02,2.02,2.0604
4.859999999999999,3.42,16.621199999999998
2.5,1.42,3.55
4.7,4.34,20.398
4.9,1.1,5.390000000000001
3.94,4.220000000000001,16.626800000000003
1.5,4.300000000000001,6.450000000000001
1.26,2.9,3.654
2.14,3.5,7.49
4.62,2.3,10.626
1.98,4.98,9.8604
3.7,1.18,4.366
1.3,3.94,5.122
3.02,3.98,12.0196
4.58,1.9,8.702
1.18,2.38,2.8084
1.58,1.7,2.686
4.300000000000001,2.06,8.858000000000002
