d1,d2,n,foc
4.46,1.1,4.78,0.21883419273110066
2.8600000000000003,1.02,4.58,0.20661812618636144
4.02,2.74,4.7,0.5091430156235555
1.02,3.5,2.9,0.5528027253019512
4.859999999999999,1.9,3.2600000000000002,0.5204129939809283
4.62,3.94,3.9,0.828982603151471
4.9,2.26,2.34,0.8067900335130409
1.3399999999999999,3.3,2.8200000000000003,0.6246821495168672
1.9,2.8600000000000003,1.62,0.9151229370158301
1.7,2.34,2.7800000000000002,0.5629776393999433
2.3,4.9,3.98,0.8019069304112707
2.58,1.94,3.58,0.44783651265165886
4.42,2.62,2.06,0.9876505304813564
1.94,2.02,2.74,0.5342166966573967
3.22,2.9,3.18,0.7106761240829248
2.46,4.62,1.6600000000000001,1.3058044946918517
2.34,3.18,3.54,0.6491154611116926
4.38,2.46,1.02,1.5553438420232115
3.18,3.06,3.46,0.6919532383309156
1.06,4.5,1.94,0.7275334024769691
1.1,2.5,2.14,0.5665430572723528
1.3,1.74,4.859999999999999,0.2807148175725987
3.06,4.7,4.140000000000001,0.8280555491582414
3.54,1.98,4.74,0.37363270005757054
2.54,3.34,4.26,0.5991073698483094
4.7,3.02,1.46,1.4363489172232342
2.66,3.58,3.34,0.7639998716344149
3.66,3.62,2.38,1.0744801634930419
3.58,1.7,2.66,0.5422889118580033
1.74,3.98,4.300000000000001,0.6041877508288257
4.58,3.46,1.58,1.4815077970158184
3.5,4.02,4.42,0.7219086711133915
3.38,3.22,1.18,1.5098496198879086
1.18,4.98,2.98,0.6916341038557507
2.62,3.8200000000000003,3.06,0.8455040043253473
2.14,2.94,4.46,0.5039569382589472
3.1,4.38,4.38,0.7560975609756098
2.02,4.859999999999999,2.2199999999999998,1.0505971490946449
4.220000000000001,2.7800000000000002,2.3,0.9395803299695661
1.22,1.3,3.94,0.2597104866705967
2.7800000000000002,2.58,4.9,0.44268608813726695
1.46,4.66,2.94,0.7599749787766409
4.78,4.34,4.0600000000000005,0.873599811343002
2.26,2.14,1.3399999999999999,0.935763485798313
1.5,1.06,1.1,0.5867158671586716
3.7,4.26,1.5,1.6067278287461775
3.62,3.38,1.78,1.2455311698359053
1.58,4.42,1.26,1.089349223185874
2.9,1.38,4.54,0.27512718273064757
4.5,4.140000000000001,1.1400000000000001,2.0097087378640777
3.34,2.66,4.82,0.47361238458750027
2.94,3.42,1.38,1.3447279730380357
2.1799999999999997,2.1,2.7,0.5732531930879038
2.8200000000000003,1.82,2.8600000000000003,0.5192004208311415
1.8599999999999999,2.2199999999999998,4.02,0.425813636926123
2.74,2.98,4.34,0.5490465047473035
3.9,1.42,1.82,0.6501526179854425
4.26,1.8599999999999999,2.46,0.642127783720704
4.54,3.14,4.66,0.5867371297805437
3.46,2.1799999999999997,3.02,0.5972508155702657
2.1,4.9399999999999995,4.9399999999999995,0.6774193548387096
3.42,4.74,3.1,1.0566288619475948
3.74,3.66,1.9,1.2714471484302436
2.5,4.58,2.1799999999999997,1.1415752741774676
4.34,1.58,2.1,0.6412193753506639
4.0600000000000005,3.86,1.7,1.456197732763427
4.98,2.06,3.7,0.5007712584203846
3.98,4.82,3.74,0.9735298296896252
2.42,3.54,4.62,0.5819678813075732
4.66,4.18,2.58,1.2021872762732366
2.7,4.54,3.8200000000000003,0.8252322606705265
4.9399999999999995,1.26,4.1,0.28931858324811754
4.300000000000001,2.3,4.5,0.4568129330254041
1.62,3.2600000000000002,2.02,0.8084624334088543
4.74,1.62,1.74,0.7781831448376505
3.3,1.3399999999999999,4.18,0.29218977137571034
1.54,3.7,3.62,0.6143528701427524
3.8200000000000003,4.46,3.7800000000000002,0.9014582319202521
1.78,4.0600000000000005,1.54,1.0625771922601894
3.02,4.300000000000001,3.86,0.8138019201363648
1.98,1.22,3.14,0.324799655784435
1.38,1.5,1.42,0.5983350676378771
3.14,1.6600000000000001,3.5,0.41204743083003953
1.42,3.74,3.66,0.5942353309761447
4.140000000000001,1.78,3.38,0.46719752491567984
1.6600000000000001,1.1400000000000001,3.42,0.2775919732441472
3.7800000000000002,1.54,4.98,0.285851780558229
1.1400000000000001,3.9,2.54,0.6542468656189299
3.2600000000000002,2.8200000000000003,1.8599999999999999,1.0348507361880321
2.98,4.1,4.220000000000001,0.7326872796181245
1.26,3.7800000000000002,1.22,0.8957345971563982
2.2199999999999998,1.46,2.26,0.5004014080158093
4.82,3.1,2.42,1.0120289344639808
3.94,2.42,3.3,0.618259629101284
3.86,2.54,1.3,1.297221487165917
1.82,4.220000000000001,2.5,0.8757582668187003
2.06,2.7,1.06,1.1389139159636334
4.1,4.78,1.98,1.519460381454489
2.38,1.18,2.62,0.3787151410539943
4.18,2.38,3.22,0.6280714159448471
